candidate,note,final_equity,total_return,sharpe,calmar,max_drawdown,trade_count,excess_2020,excess_2023,excess_2024,score,sharpe_gain,calmar_gain,final_equity_gain,excess_2020_gain,excess_2023_gain,excess_2024_gain,return_2022_gain,max_drawdown_change,drawdown_penalty
baseline_long_balanced_capture,当前 long participation 最优基线,12083.622187005554,0.20836221870055538,0.3004182882473409,0.16214162790816705,-0.17992555930572673,282.0,-2.7882671911457098,-1.541822358460198,-1.2237345960544155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long_2023_push,中性偏置更友好，试图改善 2023 跟随,12076.118717429466,0.2076118717429467,0.29410913648508685,0.14682466166802044,-0.19803416809408148,285.0,-2.7833436138734724,-1.5393155643427032,-1.2303555912383497,-0.07247267707594512,-0.0063091517622540505,-0.015316966240146612,-7.503469576087809,0.004923577272237356,0.0025067941174947705,-0.00662099518393422,0.0028571368601524316,0.01810860878835474,0.1573033054602569
long_trend_more,只抬 long 进攻性，不动 range,12064.118721211575,0.2064118721211574,0.2926479093975245,0.1478847949658874,-0.19556349820294394,282.0,-2.7829430613441803,-1.5520638436770988,-1.2306671654997803,-0.28019092826406555,-0.007770378849816406,-0.01425683294227964,-19.503465793979558,0.005324129801529409,-0.010241485216900825,-0.0069325694453648,0.00021552019872517203,0.015637938897217207,0.1276552667666065
long_balanced_plus,温和上调 long，同时保持当前 range 收口,12059.644492967864,0.20596444929678648,0.29222531379106864,0.1476081945913975,-0.19553711899246073,282.0,-2.7833341831425162,-1.5521760591933518,-1.2306105381181554,-0.2894169181122015,-0.008192974456272262,-0.01453343331676954,-23.977694037690526,0.0049330080031935175,-0.010353700733153781,-0.0068759420637398705,0.00020642707479689992,0.015611559686734,0.127338716240808
long_soft_range,保留 long 放宽，但少收一点 range，避免过早挤出,11779.122546581946,0.1779122546581946,0.26803538916807496,0.12472809586394157,-0.20196180264387653,282.0,-2.7783142969293433,-1.56768654056282,-1.230672178276559,-0.6482779800131677,-0.03238289907926595,-0.037413532044225484,-304.49964042360807,0.00995289421636647,-0.02586418210262198,-0.006937582222143579,0.003041049080355518,0.022036243338149797,0.20443492005779756
long_2020_push,继续提高 strong long 权限，优先抬 2020,11739.447182895281,0.17394471828952818,0.2603714887456193,0.1153377249567642,-0.21384947504947893,284.0,-2.817873128295759,-1.549588466249112,-1.2283434804069047,-1.126447384504894,-0.04004679950172163,-0.046803902951402854,-344.1750041102732,-0.029605937150049222,-0.007766107788913956,-0.004608884352489184,-0.00023840264966557,0.0339239157437522,0.3470869889250264
