code,strategy,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,trade_count,win_rate,final_equity,max_leverage_observed,average_leverage,turnover_multiple,rebalance_events,exposure_time,long_exposure_time,short_exposure_time
V1,基础趋势跟随与 ATR 仓位,0.19546757102296253,2.249522453105732,0.5167141501160056,2.532552900479806,5.041917005240402,-0.197296489534717,7.0,0.2857142857142857,11954.675710229625,3.5842477660527305,0.6800526731972065,34.88073271606491,13.0,0.2672672672672673,0.2672672672672673,0.0
V2,资金费率拥挤过滤趋势,0.20496212169642924,2.4237147628303544,0.5425487295930784,2.532623738360761,5.042083053326426,-0.20626472864676026,7.0,0.2857142857142857,12049.621216964293,3.763460154355367,0.7140553068570669,36.62476935186816,13.0,0.2672672672672673,0.2672672672672673,0.0
V3,波动率与下行风险自适应,0.3645028576482845,6.779529497207566,0.6221431204501984,3.597022643756165,8.02894769267957,-0.14465163561467453,7.0,0.2857142857142857,13645.028576482846,3.8509402042287872,0.7273070529819997,33.56195247580875,22.0,0.2672672672672673,0.2672672672672673,0.0
V4,稳健长多趋势-反弹混合,0.3911535928049956,7.839039913782077,0.626983089688676,3.777786348676855,8.389267450484171,-0.1279454318876646,8.0,0.25,13911.535928049956,3.8509402042287872,0.7366312139083407,38.16499563565172,25.0,0.27627627627627627,0.27627627627627627,0.0
V5,谨慎对称趋势与空头确认,0.36340222247063214,6.738201463720501,0.628022323054087,3.5607054761458774,7.930224648964935,-0.14534157663877234,19.0,0.2631578947368421,13634.022224706321,3.8509402042287872,0.7848163673793539,43.012741552396314,51.0,0.5135135135135135,0.27627627627627627,0.23723723723723725
