,V1,V2,V3,V4,V5,P
2026-07-01 00:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,58605.4
2026-07-01 04:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9988.118516679155,59169.6
2026-07-01 08:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9996.561706446391,58744.4
2026-07-01 12:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9999.586575859516,58592.9
2026-07-01 16:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9969.121224681385,60118.5
2026-07-01 20:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9976.508129537107,60000.0
2026-07-02 00:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9976.909292893284,59999.6
2026-07-02 04:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9897.198965659367,61032.9
2026-07-02 08:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9894.903225140666,60125.8
2026-07-02 12:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9872.323678357772,61329.1
2026-07-02 16:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,61584.0
2026-07-02 20:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,61452.5
2026-07-03 00:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,61540.6
2026-07-03 04:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,61407.6
2026-07-03 08:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,61733.6
2026-07-03 12:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,61992.8
2026-07-03 16:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,61895.2
2026-07-03 20:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,62178.4
2026-07-04 00:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,62565.5
2026-07-04 04:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,62609.6
2026-07-04 08:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,62549.0
2026-07-04 12:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,62458.7
2026-07-04 16:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,62908.8
2026-07-04 20:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,63268.1
2026-07-05 00:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,63114.8
2026-07-05 04:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,62739.1
2026-07-05 08:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,62995.1
2026-07-05 12:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,62630.0
2026-07-05 16:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,62711.9
2026-07-05 20:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,62744.0
2026-07-06 00:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,63617.1
2026-07-06 04:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,63273.0
2026-07-06 08:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,63064.5
2026-07-06 12:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,62461.4
2026-07-06 16:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,63523.1
2026-07-06 20:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,63709.8
2026-07-07 00:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,64023.6
2026-07-07 04:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,63165.0
2026-07-07 08:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,63062.6
2026-07-07 12:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,63377.7
2026-07-07 16:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9871.774533885498,63910.0
2026-07-07 20:00:00+00:00,9953.121630903308,9950.77967785417,9949.60877152266,9949.60877152266,9822.029449284119,63794.9
2026-07-08 00:00:00+00:00,9805.965216321405,9796.301799487048,9791.471458609574,9791.471458609574,9665.91985943687,63335.4
2026-07-08 04:00:00+00:00,9618.322880870111,9599.471507589726,9714.26734310752,9733.265183839017,9608.459937337637,62741.0
2026-07-08 08:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9730.607081801163,9605.83591893706,62854.1
2026-07-08 12:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9730.607081801163,9605.83591893706,62270.0
2026-07-08 16:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9730.607081801163,9617.335759896987,61674.5
2026-07-08 20:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9730.607081801163,9605.53503486253,62251.9
2026-07-09 00:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9730.607081801163,9605.543826269479,62255.3
2026-07-09 04:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9730.607081801163,9611.857197062742,61943.1
2026-07-09 08:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9730.607081801163,9590.980723478171,62973.7
2026-07-09 12:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9649.452336602746,9510.366551941337,62756.0
2026-07-09 16:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9639.273898389865,9500.334824237621,62835.4
2026-07-09 20:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9639.273898389865,9500.334824237621,63222.9
2026-07-10 00:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9639.273898389865,9500.334824237621,63197.0
2026-07-10 04:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9639.273898389865,9500.334824237621,63917.2
2026-07-10 08:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9639.273898389865,9500.334824237621,63956.1
2026-07-10 12:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9639.273898389865,9500.334824237621,64394.2
2026-07-10 16:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9639.273898389865,9500.334824237621,64018.7
2026-07-10 20:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9639.273898389865,9500.334824237621,63900.4
2026-07-11 00:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9639.273898389865,9500.334824237621,64129.5
2026-07-11 04:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9639.273898389865,9500.334824237621,64117.2
2026-07-11 08:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9639.273898389865,9500.334824237621,64132.6
2026-07-11 12:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9639.273898389865,9500.334824237621,64176.0
2026-07-11 16:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9639.273898389865,9500.334824237621,64139.0
2026-07-11 20:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9639.273898389865,9500.334824237621,64262.0
2026-07-12 00:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9639.273898389865,9500.334824237621,63783.0
2026-07-12 04:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9639.273898389865,9500.334824237621,64201.8
2026-07-12 08:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9639.273898389865,9500.334824237621,63856.4
2026-07-12 12:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9639.273898389865,9500.334824237621,63993.8
2026-07-12 16:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9639.273898389865,9500.334824237621,64149.9
2026-07-12 20:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9639.273898389865,9500.334824237621,64201.9
2026-07-13 00:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9639.273898389865,9500.334824237621,63750.0
2026-07-13 04:00:00+00:00,9608.51720452251,9589.195726929087,9710.553263744985,9639.273898389865,9500.334824237621,62780.2
