,equity
2026-07-01 00:00:00+00:00,10000.0
2026-07-01 04:00:00+00:00,10000.0
2026-07-01 08:00:00+00:00,10000.0
2026-07-01 12:00:00+00:00,10000.0
2026-07-01 16:00:00+00:00,10000.0
2026-07-01 20:00:00+00:00,10000.0
2026-07-02 00:00:00+00:00,10000.0
2026-07-02 04:00:00+00:00,10000.0
2026-07-02 08:00:00+00:00,10000.0
2026-07-02 12:00:00+00:00,10000.0
2026-07-02 16:00:00+00:00,10000.0
2026-07-02 20:00:00+00:00,10000.0
2026-07-03 00:00:00+00:00,10000.0
2026-07-03 04:00:00+00:00,10000.0
2026-07-03 08:00:00+00:00,10000.0
2026-07-03 12:00:00+00:00,10000.0
2026-07-03 16:00:00+00:00,10000.0
2026-07-03 20:00:00+00:00,10000.0
2026-07-04 00:00:00+00:00,10000.0
2026-07-04 04:00:00+00:00,10000.0
2026-07-04 08:00:00+00:00,10000.0
2026-07-04 12:00:00+00:00,10000.0
2026-07-04 16:00:00+00:00,10000.0
2026-07-04 20:00:00+00:00,10000.0
2026-07-05 00:00:00+00:00,10000.0
2026-07-05 04:00:00+00:00,10000.0
2026-07-05 08:00:00+00:00,10000.0
2026-07-05 12:00:00+00:00,10000.0
2026-07-05 16:00:00+00:00,10000.0
2026-07-05 20:00:00+00:00,10000.0
2026-07-06 00:00:00+00:00,10000.0
2026-07-06 04:00:00+00:00,10000.0
2026-07-06 08:00:00+00:00,10000.0
2026-07-06 12:00:00+00:00,10000.0
2026-07-06 16:00:00+00:00,10000.0
2026-07-06 20:00:00+00:00,10000.0
2026-07-07 00:00:00+00:00,10000.0
2026-07-07 04:00:00+00:00,9950.250836428106
2026-07-07 08:00:00+00:00,9948.48396486625
2026-07-07 12:00:00+00:00,9948.48396486625
2026-07-07 16:00:00+00:00,9948.48396486625
2026-07-07 20:00:00+00:00,9948.48396486625
2026-07-08 00:00:00+00:00,9948.48396486625
2026-07-08 04:00:00+00:00,9948.48396486625
2026-07-08 08:00:00+00:00,9948.48396486625
2026-07-08 12:00:00+00:00,9948.48396486625
2026-07-08 16:00:00+00:00,9948.48396486625
2026-07-08 20:00:00+00:00,9948.48396486625
2026-07-09 00:00:00+00:00,9948.48396486625
2026-07-09 04:00:00+00:00,9948.48396486625
2026-07-09 08:00:00+00:00,9948.48396486625
2026-07-09 12:00:00+00:00,9948.48396486625
2026-07-09 16:00:00+00:00,9948.48396486625
2026-07-09 20:00:00+00:00,9948.48396486625
2026-07-10 00:00:00+00:00,9948.48396486625
2026-07-10 04:00:00+00:00,9948.48396486625
2026-07-10 08:00:00+00:00,9948.48396486625
2026-07-10 12:00:00+00:00,9948.48396486625
2026-07-10 16:00:00+00:00,9948.48396486625
2026-07-10 20:00:00+00:00,9948.48396486625
2026-07-11 00:00:00+00:00,9948.48396486625
2026-07-11 04:00:00+00:00,9948.48396486625
2026-07-11 08:00:00+00:00,9948.48396486625
2026-07-11 12:00:00+00:00,9948.48396486625
2026-07-11 16:00:00+00:00,9948.48396486625
2026-07-11 20:00:00+00:00,9948.48396486625
2026-07-12 00:00:00+00:00,9948.48396486625
2026-07-12 04:00:00+00:00,9948.48396486625
2026-07-12 08:00:00+00:00,9948.48396486625
2026-07-12 12:00:00+00:00,9948.48396486625
2026-07-12 16:00:00+00:00,9948.48396486625
2026-07-12 20:00:00+00:00,9948.48396486625
2026-07-13 00:00:00+00:00,9948.48396486625
2026-07-13 04:00:00+00:00,9948.48396486625
2026-07-13 08:00:00+00:00,9948.48396486625
2026-07-13 12:00:00+00:00,9948.48396486625
2026-07-13 16:00:00+00:00,9948.48396486625
2026-07-13 20:00:00+00:00,9948.48396486625
2026-07-14 00:00:00+00:00,9948.48396486625
2026-07-14 04:00:00+00:00,9948.48396486625
2026-07-14 08:00:00+00:00,9948.48396486625
2026-07-14 12:00:00+00:00,9948.48396486625
2026-07-14 16:00:00+00:00,9948.48396486625
2026-07-14 20:00:00+00:00,9948.48396486625
2026-07-15 00:00:00+00:00,9948.48396486625
2026-07-15 04:00:00+00:00,9948.48396486625
2026-07-15 08:00:00+00:00,9948.48396486625
2026-07-15 12:00:00+00:00,9948.48396486625
2026-07-15 16:00:00+00:00,9948.48396486625
2026-07-15 20:00:00+00:00,9917.857965528921
2026-07-16 00:00:00+00:00,9903.877968113977
2026-07-16 04:00:00+00:00,9895.62499698135
2026-07-16 08:00:00+00:00,9870.641128698604
2026-07-16 12:00:00+00:00,9868.593153350717
2026-07-16 16:00:00+00:00,9868.593153350717
2026-07-16 20:00:00+00:00,9868.593153350717
2026-07-17 00:00:00+00:00,9868.593153350717
2026-07-17 04:00:00+00:00,9868.593153350717
2026-07-17 08:00:00+00:00,9868.593153350717
2026-07-17 12:00:00+00:00,9868.593153350717
2026-07-17 16:00:00+00:00,9868.593153350717
2026-07-17 20:00:00+00:00,9868.593153350717
2026-07-18 00:00:00+00:00,9868.593153350717
2026-07-18 04:00:00+00:00,9868.593153350717
2026-07-18 08:00:00+00:00,9868.593153350717
2026-07-18 12:00:00+00:00,9868.593153350717
2026-07-18 16:00:00+00:00,9868.593153350717
2026-07-18 20:00:00+00:00,9868.593153350717
2026-07-19 00:00:00+00:00,9868.593153350717
2026-07-19 04:00:00+00:00,9868.593153350717
2026-07-19 08:00:00+00:00,9863.56277861088
2026-07-19 12:00:00+00:00,9816.740384288158
2026-07-19 16:00:00+00:00,9835.286439728105
2026-07-19 20:00:00+00:00,9823.009255971525
2026-07-20 00:00:00+00:00,9843.566451050898
2026-07-20 04:00:00+00:00,9868.14178780508
2026-07-20 08:00:00+00:00,9750.668823374537
2026-07-20 12:00:00+00:00,9800.49860189231
2026-07-20 16:00:00+00:00,9845.188249197698
2026-07-20 20:00:00+00:00,9766.640557717987
2026-07-21 00:00:00+00:00,9784.138356773856
2026-07-21 04:00:00+00:00,9835.757881811891
2026-07-21 08:00:00+00:00,9939.880409865113
