entry_time,exit_time,side,entry_price,exit_price,bars,pnl
2026-07-07 00:00:00+00:00,2026-07-07 04:00:00+00:00,long,64023.6,63165.0,1,-49.74032958531643
2026-07-15 16:00:00+00:00,2026-07-16 08:00:00+00:00,long,65391.6,64200.0,4,-77.82668521985943
2026-07-19 04:00:00+00:00,2026-07-21 16:00:00+00:00,long,64686.8,66648.5,15,150.8180217007448
2026-07-21 20:00:00+00:00,2026-07-23 16:00:00+00:00,long,66409.5,64940.4,11,-202.84471789412964
2026-07-24 08:00:00+00:00,2026-07-24 12:00:00+00:00,long,65470.0,65045.7,1,-34.174363460811946
2026-07-27 00:00:00+00:00,2026-07-27 16:00:00+00:00,long,65375.1,64517.1,4,-81.1598486795956
2026-08-19 16:00:00+00:00,2026-08-20 12:00:00+00:00,long,68523.7,71896.2,5,934.9677283328638
2026-08-20 16:00:00+00:00,2026-08-21 08:00:00+00:00,long,72429.0,76310.4,4,1099.903844082237
2026-08-21 12:00:00+00:00,2026-08-25 04:00:00+00:00,long,76749.0,80457.6,22,897.6295922606078
