period,year,code,strategy,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,trade_count,win_rate,final_equity,max_leverage_observed,average_leverage,turnover_multiple,rebalance_events
2020,2020,V6,置信度驱动多周期动态风险,1.0780573007496832,1.0756350860617685,0.42592377747082827,1.9260125739413667,3.0152875446317484,-0.2994524130935369,71.0,0.4788732394366197,20780.57300749683,3.1288627934398274,0.35030043426708807,179.64312547171792,206.0
2021,2021,V6,置信度驱动多周期动态风险,0.4168954913979479,0.4172337119151719,0.3501127511277375,1.1678128030311252,2.0299246509274917,-0.19276310605189984,47.0,0.3829787234042553,14168.954913979478,1.5521229122716702,0.20122699108320805,86.84416069439595,152.0
2022,2022,V6,置信度驱动多周期动态风险,-0.16357001730036735,-0.16367233763103184,0.18017923308234282,-0.9020476075530602,-1.3464840054006746,-0.2764612266922647,36.0,0.2777777777777778,8364.299826996326,2.354026217145183,0.12815750564217268,63.40668640698747,128.0
2023,2023,V6,置信度驱动多周期动态风险,0.8820694154203232,0.882884775450979,0.4247962647833144,1.6982232859825792,2.9394453590628835,-0.23745719265946275,56.0,0.42857142857142855,18820.694154203233,4.28145909803949,0.4726778336165621,197.8485398811314,224.0
2024,2024,V6,置信度驱动多周期动态风险,0.12087773927440759,0.12061566810559277,0.3633588841478881,0.49514919815005637,0.733973954864801,-0.3221745571835243,55.0,0.34545454545454546,11208.777392744076,2.6737886749209223,0.40869190945561057,166.6538113834821,198.0
2025,2025,V6,置信度驱动多周期动态风险,0.04551195715516432,0.04554382905366694,0.3259573270774996,0.29953454523949163,0.44526164665839985,-0.25131650655664894,45.0,0.4,10455.119571551642,3.7817589414376647,0.37157178789546047,187.1586837552095,152.0
2026 YTD,2026,V6,置信度驱动多周期动态风险,0.274810428856207,0.45534103098180423,0.2898039627127315,1.4370668945559515,2.5699220547319843,-0.11673930649946784,25.0,0.44,12748.10428856207,3.0612800806301097,0.2717185180674641,78.9086461178674,87.0
