strategy,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,trade_count,win_rate,final_equity,fill_count,liquidation_count,fees_paid,funding_paid,realized_pnl,order_notional,max_leverage_observed,max_margin_ratio,minimum_margin_buffer,max_minute_participation_observed,maker_enabled,maker_order_count,maker_cancel_count,maker_fill_count,taker_fill_count,maker_filled_notional,taker_filled_notional,maker_fill_ratio,maker_fill_events_per_order,maker_fee_saved_vs_taker
V7.1.2_maker_rebate30,130.27998455394393,1.098103742935499,0.4908240454434899,1.7537187325665435,3.1899535316689724,-0.370510695767157,307.0,0.40716612377850164,1312799.8455394392,4473.0,0.0,89942.41721577196,108291.52308710918,1501033.7858423155,533407180.5197169,6.731304305685058,0.13277155133995067,9754.605283590747,0.019999998851032708,1.0,583.0,25.0,2684.0,1665.0,303005180.3798404,230402000.13987577,0.5680560581966904,4.60377358490566,80599.37798103753
V7.1.3_maker_rebate30,46.161098672852994,0.7958694417994288,0.37472723311847234,1.750975726964895,3.1848068166741603,-0.31277652019867397,316.0,0.41455696202531644,471610.9867285299,1837.0,0.0,25950.744925169205,32766.77503435667,520328.5066880552,152505756.36289665,4.996099649679564,0.07392690370024713,9815.903527031493,0.019999998851032708,1.0,531.0,12.0,1030.0,683.0,86740657.03146003,65765099.33143674,0.5687697245017778,1.9397363465160076,23073.014770368365
V7.1.3_taker_rebate30,37.47686801596671,0.741190027568329,0.3743019627772293,1.6696898438712955,3.0242438194504957,-0.32527434062987726,317.0,0.41324921135646686,384768.6801596671,1703.0,0.0,42181.30703841308,28753.813359082364,445703.80055716226,131129261.52748656,4.997991908099093,0.06779270940038883,9805.557955270091,0.019999998851032708,0.0,0.0,0.0,0.0,1579.0,0.0,131129261.52748656,0.0,0.0,0.0
V7.1.3_maker_rebate30_combined_neutral,50.357083071519256,0.819276986981333,0.37473180446864895,1.7856308966102832,3.248842257112145,-0.3095727176216846,0.0,0.0,513570.83071519254,,,,,,,,,,,,,,,,,,,,
V7.1.3_taker_rebate30_combined_neutral,40.86232158375598,0.7636424790167797,0.3743068851944601,1.7040152530182087,3.087359305266912,-0.32213353008877865,0.0,0.0,418623.2158375598,,,,,,,,,,,,,,,,,,,,
