component,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,trade_count,win_rate,final_equity,fill_count,liquidation_count,fees_paid,funding_paid,realized_pnl,order_notional,max_leverage_observed,max_margin_ratio,minimum_margin_buffer,max_minute_participation_observed,final_multiple,active_fraction,state_change_count
direction,26.252648368725406,0.644002279978269,0.36744853313385684,1.5378938343136699,2.6851703871789696,-0.24443730633420724,208.0,0.3557692307692308,272526.4836872541,1057.0,0.0,20446.13747862756,23979.450915467143,306952.07208134833,72512614.87109013,4.902201062272421,0.02730539741773428,9275.165280600813,0.01999989421957985,,,
neutral_sleeve,0.8568065059203362,0.09756746988281373,0.005496358201280695,16.938963420320942,53.56445162815092,-0.0013373820528902458,,,,,,,,,,,,,,1.8568065059203362,0.3385037748798902,26.0
combined,28.590088385649082,0.6644768715192384,0.3674632404090098,1.5716363388598928,2.745638467728154,-0.24068950906173925,0.0,0.0,295900.88385649084,,,,,,,,,,,,,
