year,period_return,annualized_return,max_drawdown,active_fraction,state_change_count
2020,0.13982395786007307,0.13965399199502126,-0.0011577394553834441,0.4899817850637523,9
2021,0.2715671059951117,0.2720558787925873,-0.0013373820528899127,0.7278538812785388,6
2022,0.04022429376501058,0.04028991709409824,-0.0010108939683990403,0.033789954337899546,1
2023,0.05374068217635175,0.053828920931978,-0.0009903147939811507,0.28493150684931506,5
2024,0.09395506876285631,0.09384313651879927,-0.0009597903162413823,0.5500910746812386,4
2025,0.04161689367257759,0.04168483415009705,-0.0009112990604731586,0.16255707762557078,1
2026,0.025702334295767182,0.0400576139568376,0.0,0.0,0
