entry_7d_annualized,entry_30d_annualized,exit_7d_annualized,final_multiple,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,active_fraction,state_change_count
0.1,0.04,0.0,1.8721609851134071,0.8721609851134071,0.09892803945405593,0.005710494438120537,16.520916514005773,41.94482077567087,-0.003481353242832941,0.4437886067261496,42.0
0.1,0.04,0.03,1.8721609851134071,0.8721609851134071,0.09892803945405593,0.005710494438120537,16.520916514005773,41.94482077567087,-0.003481353242832941,0.4437886067261496,42.0
0.1,0.04,0.05,1.8663608947057564,0.8663608947057564,0.09841520803754444,0.0057350948597421885,16.368690479309766,40.80866574634141,-0.003481353242832941,0.4238846945778998,44.0
0.1,0.06,0.0,1.8698307443885585,0.8698307443885585,0.0987221670528351,0.005678772139829034,16.580181699214776,43.11487316345864,-0.003481353242833163,0.43472889498970485,40.0
0.1,0.06,0.03,1.8698307443885585,0.8698307443885585,0.0987221670528351,0.005678772139829034,16.580181699214776,43.11487316345864,-0.003481353242833163,0.43472889498970485,40.0
0.1,0.06,0.05,1.8640378732355425,0.8640378732355425,0.0982094317097979,0.005703495384804592,16.4264996021787,41.89003399635898,-0.003481353242833163,0.414824982841455,42.0
0.1,0.08,0.0,1.8583214049092707,0.8583214049092707,0.09770213010720386,0.0055666606055510765,16.747145545866935,48.1562530757643,-0.003481353242833163,0.3750171585449554,32.0
0.1,0.08,0.03,1.8583214049092707,0.8583214049092707,0.09770213010720386,0.0055666606055510765,16.747145545866935,48.1562530757643,-0.003481353242833163,0.3750171585449554,32.0
0.1,0.08,0.05,1.8581729881483238,0.8581729881483238,0.09768894137945261,0.0055660672473399585,16.746771755510835,48.15056884712039,-0.003481353242833163,0.36636925188743996,32.0
0.12,0.04,0.0,1.8583877883548483,0.8583877883548483,0.09770802883587781,0.005504867301422906,16.93604975463135,53.14372526231762,-0.0013373820528901348,0.3393273850377488,26.0
0.12,0.04,0.03,1.8583877883548483,0.8583877883548483,0.09770802883587781,0.005504867301422906,16.93604975463135,53.14372526231762,-0.0013373820528901348,0.3393273850377488,26.0
0.12,0.04,0.05,1.8584660414136998,0.8584660414136998,0.09771498204985796,0.005504045266566498,16.939729130278476,53.14819012510648,-0.0013373820528901348,0.32999313658201784,26.0
0.12,0.06,0.0,1.8568065059203362,0.8568065059203362,0.09756746988281373,0.005496358201280695,16.938963420320942,53.56445162815092,-0.0013373820528902458,0.3385037748798902,26.0
0.12,0.06,0.03,1.8568065059203362,0.8568065059203362,0.09756746988281373,0.005496358201280695,16.938963420320942,53.56445162815092,-0.0013373820528902458,0.3385037748798902,26.0
0.12,0.06,0.05,1.8568846923944704,0.8568846923944704,0.09757442220644919,0.0054955350282733404,16.942652437721833,53.56897925014165,-0.0013373820528902458,0.32916952642415925,26.0
0.12,0.08,0.0,1.8540030648504036,0.8540030648504036,0.09731802404917222,0.005457375282043574,17.01827466823094,56.091270733539886,-0.0013373820528901348,0.32944406314344543,24.0
0.12,0.08,0.03,1.8540030648504036,0.8540030648504036,0.09731802404917222,0.005457375282043574,17.01827466823094,56.091270733539886,-0.0013373820528901348,0.32944406314344543,24.0
0.12,0.08,0.05,1.8538549929781494,0.8538549929781494,0.0973048399363976,0.005456769335690133,17.01796213218646,56.08501699436522,-0.0013373820528901348,0.32079615648593,24.0
0.15,0.04,0.0,1.8506096950331543,0.8506096950331543,0.09701565822318492,0.00538422638732849,17.19822585839121,65.19262594894076,-0.0013373820528902458,0.2940288263555251,18.0
0.15,0.04,0.03,1.8506096950331543,0.8506096950331543,0.09701565822318492,0.00538422638732849,17.19822585839121,65.19262594894076,-0.0013373820528902458,0.2940288263555251,18.0
0.15,0.04,0.05,1.8504618941758901,0.8504618941758901,0.09700247774329096,0.00538361164550885,17.197957427082024,65.18595279564848,-0.0013373820528902458,0.2853809196980096,18.0
0.15,0.06,0.0,1.8490350308956518,0.8490350308956518,0.09687518792656302,0.005375512587380914,17.20227494322965,66.03466631863354,-0.0013373820528900238,0.29320521619766643,18.0
0.15,0.06,0.03,1.8490350308956518,0.8490350308956518,0.09687518792656302,0.005375512587380914,17.20227494322965,66.03466631863354,-0.0013373820528900238,0.29320521619766643,18.0
0.15,0.06,0.05,1.8488873558005696,0.8488873558005696,0.09686200913439902,0.0053748965875245105,17.202010566108545,66.02795662221135,-0.0013373820528900238,0.284557309540151,18.0
0.15,0.08,0.0,1.843585910029364,0.8435859100293639,0.09638830519342534,0.005358210369402662,17.174950160515404,66.93719500435773,-0.0013373820528902458,0.2896362388469458,18.0
0.15,0.08,0.03,1.843585910029364,0.8435859100293639,0.09638830519342534,0.005358210369402662,17.174950160515404,66.93719500435773,-0.0013373820528902458,0.2896362388469458,18.0
0.15,0.08,0.05,1.8434386701339531,0.8434386701339531,0.09637513225108463,0.005357591471056417,17.174691079482965,66.93043568562217,-0.0013373820528902458,0.2809883321894303,18.0
