timestamp,reason,side,quantity,price,notional,fee,slippage_bps,participation,realized_pnl,position_after,trigger_price
2020-01-27 16:00:00+00:00,signal,buy,0.913,8781.605456928886,8017.605782176073,3.2070423128704295,1.4754113794244126,0.0035314996825972322,0.0,0.913,
2020-01-28 01:02:00+00:00,take_profit,sell,0.913,9107.674487553819,8315.306807136636,3.3261227228546546,1.0,,297.7010249605634,0.0,9108.585346088428
2020-01-28 08:00:00+00:00,signal,buy,1.546,9049.948189475614,13991.2199009293,5.596487960371721,2.131062349124436,0.019989094337607625,0.0,1.546,
2020-01-28 08:01:00+00:00,signal,buy,0.495,9046.434418796454,4477.9850373042445,1.7911940149216978,1.5748117431092945,0.005162633437755397,0.0,2.041,
2020-01-28 12:00:00+00:00,signal,sell,1.234,9087.76685802011,11214.304302796816,4.485721721118726,1.796754439115199,0.009919025566402742,47.719837446399985,0.8069999999999999,
2020-01-29 00:00:00+00:00,signal,buy,0.973,9400.96238254392,9147.136398215232,3.6588545592860933,1.3217229278306482,0.001617275660811319,0.0,1.7799999999999998,
2020-01-29 04:00:00+00:00,signal,sell,1.076,9358.202738962984,10069.426147124172,4.027770458849669,1.6958297536760891,0.0075652975953269825,125.64053290965296,0.7039999999999997,
2020-01-29 08:00:00+00:00,signal,buy,1.102,9374.366446886423,10330.55182446884,4.1322207297875355,1.9807360956894366,0.015028801396690002,0.0,1.8059999999999998,
2020-01-29 10:56:00+00:00,take_profit,sell,1.8059999999999998,9424.537608844252,17020.71492157272,6.808285968629088,1.0,,184.19184022002992,0.0,9425.480156859938
2020-01-29 12:00:00+00:00,signal,buy,0.713,9313.782260122409,6640.726751467278,2.656290700586911,1.462842228345868,0.003347233255315133,0.0,0.713,
2020-01-29 21:20:00+00:00,take_profit,sell,0.713,9424.537608844252,6719.6953151059515,2.6878781260423805,1.0,,78.96856363867398,0.0,9425.480156859938
2020-01-31 00:00:00+00:00,signal,buy,0.713,9527.227548445238,6792.913242041454,2.717165296816582,1.635106449454775,0.006302503158422666,0.0,0.713,
2020-01-31 04:00:00+00:00,signal,buy,1.066,9456.78534244673,10080.933175048214,4.032373270019286,1.7084224257532823,0.007841598957971326,0.0,1.779,
2020-01-31 13:18:00+00:00,stop_loss,sell,1.779,9225.590928803322,16412.32626234111,6.564930504936444,1.0,,-461.5201547485605,0.0,9226.513580161338
2020-02-01 16:00:00+00:00,signal,buy,1.891,9343.154156682434,17667.904510286484,7.067161804114594,1.6851075325962697,0.007333942675314824,0.0,1.891,
2020-02-02 04:00:00+00:00,signal,buy,0.039,9274.958856651914,361.72339540942465,0.14468935816376988,1.2064653389670212,0.0006660615030432335,0.0,1.93,
2020-02-02 04:08:00+00:00,stop_loss,sell,1.93,9225.590928803322,17805.39049259041,7.122156197036165,1.0,,-224.23741310549886,0.0,9226.513580161338
2020-02-02 16:00:00+00:00,signal,buy,0.749,9459.212428942621,7084.950109278023,2.8339800437112093,1.4616766664464598,0.003330396005329933,0.0,0.749,
2020-02-03 00:00:00+00:00,signal,sell,0.749,9339.043363971261,6994.943479614474,2.79797739184579,1.5487795915838314,0.004705610002170576,-90.00662966354868,0.0,
2020-02-03 04:00:00+00:00,signal,buy,0.6970000000000001,9398.292723378749,6550.610028194988,2.6202440112779954,1.7162693406066039,0.008016277629578426,0.0,0.6970000000000001,
2020-02-03 20:00:00+00:00,signal,sell,0.6970000000000001,9330.538343852311,6503.385225665062,2.6013540902660246,1.737707184283616,0.008503310777244704,-47.224802529926826,0.0,
2020-02-06 16:00:00+00:00,signal,buy,1.839,9801.78708997863,18025.4864584707,7.21019458338828,1.6908857113425613,0.0074581729083955765,0.0,1.839,
2020-02-08 00:00:00+00:00,signal,buy,0.11900000000000001,9822.693194507974,1168.900490146449,0.4675601960585797,1.1945141973690956,0.0005911839527834922,0.0,1.958,
2020-02-09 20:00:00+00:00,signal,buy,0.17300000000000001,10093.56066410713,1746.1859948905337,0.6984743979562135,1.3085936394001174,0.0014879692855970254,0.0,2.131,
2020-02-10 04:00:00+00:00,signal,sell,0.005,10105.2555779214,50.526277889607,0.0202105111558428,1.0433304327696398,2.9336350062566884e-05,1.3930706077963806,2.126,
2020-02-10 05:58:00+00:00,stop_loss,sell,2.126,9807.902826593734,20851.601409338276,8.340640563735311,1.0,,-39.83832688759656,0.0,9808.88371496523
2020-02-11 16:00:00+00:00,signal,buy,1.673,10206.300435539886,17075.14062865823,6.830056251463293,1.3821173377531135,0.002281463434555111,0.0,1.673,
2020-02-13 16:00:00+00:00,signal,sell,0.219,10263.572312203163,2247.722336372493,0.8990889345489972,1.2544621133039064,0.001011733861048282,12.542540989257663,1.454,
2020-02-15 00:00:00+00:00,signal,buy,0.11800000000000001,10357.512511176987,1222.1864763188846,0.4888745905275539,1.1997670753907497,0.0006235450689089597,0.0,1.572,
2020-02-15 15:53:00+00:00,stop_loss,sell,1.572,9968.109721809646,15669.868482684764,6.267947393073906,1.0,,-392.27882690911525,0.0,9969.106632472893
2020-02-19 00:00:00+00:00,signal,buy,1.2690000000000001,10176.204045886116,12913.602934229482,5.165441173691793,1.6453299426254229,0.006507042732014557,0.0,1.2690000000000001,
2020-02-19 21:46:00+00:00,stop_loss,sell,1.2690000000000001,9817.782614261585,12458.766137497953,4.983506454999182,1.0,,-454.8367967315295,0.0,9818.764490710655
2020-02-23 12:00:00+00:00,signal,buy,0.5700000000000001,9843.637586228157,5610.87342415005,2.24434936966002,1.5622542223265024,0.004939528289437186,0.0,0.5700000000000001,
2020-02-23 20:00:00+00:00,signal,buy,0.932,9883.80075262745,9211.702301448784,3.6846809205795137,1.7918915723285707,0.009798316598828374,0.0,1.5020000000000002,
2020-02-24 04:00:00+00:00,signal,sell,1.502,9757.217561824942,14655.340777861064,5.862136311144425,2.072331631416705,0.01796711137088769,-167.23494773776935,0.0,
2020-04-05 04:00:00+00:00,signal,buy,0.2,6792.939648876316,1358.5879297752633,0.5434351719101054,1.1036924413417353,0.0001680019123657692,0.0,0.2,
2020-04-06 04:00:00+00:00,signal,sell,0.2,6840.082097038507,1368.0164194077015,0.5472065677630806,1.122525653235757,0.00023457087032576496,9.428489632438142,0.0,
2020-04-07 04:00:00+00:00,signal,buy,0.542,7319.11989754274,3966.9629844681654,1.5867851937872661,1.2160010586434518,0.0007290071458608114,0.0,0.542,
2020-04-07 08:00:00+00:00,signal,sell,0.324,7371.872615085345,2388.486727287652,0.9553946909150608,1.3663384113869803,0.0020969348696490077,17.091880483804264,0.21800000000000003,
2020-04-07 12:00:00+00:00,signal,buy,0.335,7380.9135277601445,2472.6060317996485,0.9890424127198595,1.2378424934208982,0.0008838914324479686,0.0,0.553,
2020-04-07 16:00:00+00:00,signal,sell,0.335,7311.906211032446,2449.4885806958696,0.9797954322783479,1.235898331221871,0.0008695003542697435,-14.95689266837732,0.21800000000000003,
2020-04-09 16:00:00+00:00,signal,sell,0.218,7276.637091460288,1586.3068859383427,0.6345227543753371,1.1994604469276515,0.0006216323420090386,-17.421810161376015,0.0,
2020-04-19 04:00:00+00:00,signal,buy,0.721,7225.698179806111,5209.728387640205,2.0838913550560823,1.4646817088607436,0.0033738920398397,0.0,0.721,
2020-04-19 16:00:00+00:00,signal,sell,0.427,7092.4040050846015,3028.4565101711246,1.2113826040684499,1.220868394123504,0.0007622319925421166,-56.91661260608438,0.294,
2020-04-20 11:47:00+00:00,stop_loss,sell,0.294,6963.696403206773,2047.326742542791,0.8189306970171164,1.0,,-77.02852232020535,0.0,6964.392842491022
2020-04-23 04:00:00+00:00,signal,buy,0.311,7109.064095809074,2210.9189337966222,0.8843675735186489,1.2015624314333189,0.0006348033400829898,0.0,0.311,
2020-04-23 14:20:00+00:00,take_profit,sell,0.311,7463.5306782009875,2321.158040920507,0.9284632163682028,1.0,,110.23910712388498,0.0,7464.2771059115785
2020-04-23 20:00:00+00:00,signal,buy,0.643,7522.300229007731,4836.839047251971,1.9347356189007887,1.3830515202661373,0.002292632299659361,0.0,0.643,
2020-04-26 08:00:00+00:00,signal,buy,0.134,7543.5227368493415,1010.8320467378119,0.4043328186951248,1.4753067644711109,0.0035299456304999396,0.0,0.777,
2020-04-29 06:35:00+00:00,take_profit,sell,0.777,7956.727548854275,6182.377305459771,2.4729509221839088,1.0,,334.70621146998855,0.0,7957.523301184393
2020-04-29 16:00:00+00:00,signal,buy,0.756,8354.683776786029,6316.140935250238,2.5264563741000954,1.2255427992386567,0.0007948367857563913,0.0,0.756,
2020-04-29 16:45:00+00:00,take_profit,sell,0.756,8738.733967133883,6606.482879153215,2.6425931516612864,1.0,,290.3419439029779,0.0,8739.607927926676
2020-04-29 20:00:00+00:00,signal,buy,1.435,8727.850182276741,12524.465011567125,5.00978600462685,1.363846278807959,0.002068501790662485,0.0,1.435,
2020-04-29 20:01:00+00:00,take_profit,sell,1.435,8738.733967133883,12540.083242837123,5.016033297134849,1.0,,15.618231269998796,0.0,8739.607927926676
2020-04-30 04:00:00+00:00,signal,buy,1.223,9307.050876562558,11382.52322203601,4.553009288814405,1.09700544975463,0.00014703214503278167,0.0,1.223,
2020-04-30 09:07:00+00:00,stop_loss,sell,1.223,8940.00677010989,10933.628279844397,4.373451311937759,1.0,,-448.89494219161253,0.0,8940.90086019591
2020-04-30 16:00:00+00:00,signal,buy,0.9560000000000001,8780.068956283973,8393.745922207478,3.3574983688829914,1.3771221821202735,0.002222205316361824,0.0,0.9560000000000001,
2020-05-04 08:00:00+00:00,signal,sell,0.9560000000000001,8651.824498396354,8271.144220466915,3.308457688186766,1.6126963184158445,0.005865574665630156,-122.60170174056321,0.0,
2020-05-04 16:00:00+00:00,signal,buy,0.992,8848.997698130343,8778.205716545299,3.51128228661812,1.1275973444188738,0.000254391910980449,0.0,0.992,
2020-05-06 08:00:00+00:00,signal,buy,0.127,9020.227147539095,1145.5688477374651,0.4582275390949861,1.0612250648832002,5.857044640550139e-05,0.0,1.119,
2020-05-07 13:21:00+00:00,take_profit,sell,1.119,9476.20603598766,10603.87455427019,4.241549821708077,1.0,,680.0999899874263,0.0,9477.153751362795
2020-05-07 20:00:00+00:00,signal,buy,1.012,9872.884094805959,9991.35870394363,3.996543481577452,1.2298778281268776,0.0008256846228801612,0.0,1.012,
2020-05-08 04:00:00+00:00,signal,sell,0.019,9938.507750300265,188.83164725570504,0.07553265890228202,1.0586481692703669,5.3743871230712753e-05,1.2468494543918167,0.993,
2020-05-10 00:13:00+00:00,stop_loss,sell,0.993,9427.252417853815,9361.261650928838,3.7445046603715353,1.0,,-442.5122552134786,0.0,9428.195237377553
2020-05-14 00:00:00+00:00,signal,buy,0.365,9307.041398028423,3397.070110280374,1.3588280441121496,1.2157844084291392,0.000727545483142399,0.0,0.365,
