timestamp,rate,mark_price,position,notional,payment,wallet_after
2020-01-28 00:00:00+00:00,0.0001,8908.26208317,0.913,8133.243281934211,0.8133243281934212,9995.979633358937
2020-01-28 16:00:00+00:00,0.00054394,9026.86871117,0.8069999999999999,7284.68304991419,3.9624304981703244,10322.238538848462
2020-01-29 00:00:00+00:00,0.00062324,9374.42021047,0.8069999999999999,7565.15710984929,4.7149085171424705,10317.52363033132
2020-01-29 08:00:00+00:00,0.00108193,9366.08,0.7039999999999997,6593.720319999998,7.133943825817598,10428.343594397018
2020-01-29 16:00:00+00:00,0.00053694,9285.33052632,0.713,6620.44066526616,3.554779410808012,10595.383857807237
2020-01-31 08:00:00+00:00,0.00077154,9374.1894313,1.779,16676.682998282697,12.866728000495032,10652.048276752537
2020-02-02 00:00:00+00:00,0.00028263,9385.97762632,1.891,17748.88369137112,5.01636699769222,10171.879662697234
2020-02-03 00:00:00+00:00,0.00060677,9332.21105263,0.749,6989.82607841987,4.241216769602825,9933.300207223223
2020-02-03 08:00:00+00:00,0.00035862,9370.35789474,0.6970000000000001,6531.139452633781,2.342197230503526,9835.533158926048
2020-02-03 16:00:00+00:00,0.0001,9269.63231751,0.6970000000000001,6460.933725304471,0.6460933725304472,9834.887065553517
2020-02-07 00:00:00+00:00,0.00035618,9772.66892698,1.839,17971.93815671622,6.401244932659183,9771.449469417279
2020-02-07 08:00:00+00:00,0.00019726,9801.41232224,1.839,18024.79726059936,3.5555715076258294,9767.893897909653
2020-02-07 16:00:00+00:00,0.00034616,9803.45583446,1.839,18028.555279571938,6.240764695576622,9761.653133214077
2020-02-08 00:00:00+00:00,0.00039915,9815.81628582,1.839,18051.286149622978,7.205170866622012,9754.447962347454
2020-02-08 08:00:00+00:00,0.00062858,9769.16634725,1.958,19128.027707915502,12.023495656641526,9741.956906494754
2020-02-08 16:00:00+00:00,0.00099315,9832.45081011,1.958,19251.93868619538,19.12006290619494,9722.836843588559
2020-02-09 00:00:00+00:00,0.00042798,9893.414,1.958,19371.304612,8.29053094784376,9714.546312640716
2020-02-09 08:00:00+00:00,0.00081519,10125.94737564,1.958,19826.60496150312,16.162450098567728,9698.383862542149
2020-02-09 16:00:00+00:00,0.00113954,10099.07136263,1.958,19773.98172802954,22.533243138358785,9675.85061940379
2020-02-10 00:00:00+00:00,0.00106733,10153.97649601,2.131,21638.123912997307,23.095018796059417,9652.057126209775
2020-02-12 00:00:00+00:00,0.003,10221.95266696,1.673,17101.32681182408,51.30398043547225,9547.116982168147
2020-02-12 08:00:00+00:00,0.00108055,10368.75848252,1.673,17346.93294125596,18.744228389674127,9528.372753778473
2020-02-12 16:00:00+00:00,0.00103884,10316.1539433,1.673,17258.9255471409,17.929262215391855,9510.44349156308
2020-02-13 00:00:00+00:00,0.00093553,10328.2399977,1.673,17279.1455161521,16.165159004725773,9494.278332558355
2020-02-13 08:00:00+00:00,0.00084403,10339.29772727,1.673,17297.64509772271,14.599731391830899,9479.678601166524
2020-02-13 16:00:00+00:00,0.00070414,10255.81107051,1.673,17157.97192096323,12.081614348427049,9467.596986818098
