candidate,note,final_equity,sharpe,calmar,max_drawdown,maker_fill_ratio,governor_max_drawdown_observed,score,sharpe_gain,calmar_gain,max_drawdown_change,maker_fill_ratio_gain,governor_drawdown_change,drawdown_penalty
breakout_022_exit3,突破缓冲略收，趋势退出更快,12624.269798155434,0.36965571626049515,0.2979892916890328,-0.1209453665252258,0.7383866074384079,0.16146970014767748,0.029980767813912915,0.011932392693359994,0.01928331065106087,-0.005691387111210089,-0.011287220027159095,-1.0064672473553138e-05,0.0
lighter_short_010,进一步压低做空预算,12627.047332584702,0.364451811782682,0.2896236523345081,-0.12455838197723546,0.7511634850471478,0.16142749106819165,0.018123538662775853,0.006728488215546835,0.010917671296536147,-0.0020783716592004398,0.0014896575815808166,-5.2273751959375225e-05,0.0
baseline,当前 ref_plus_live 基线,12564.56049988787,0.35772332356713515,0.27870598103797195,-0.1266367536364359,0.749673827465567,0.16147976482015103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
governor_earlier_short010,governor 更早介入，同时降低做空,12383.048566328955,0.34863581385810194,0.28483598249830777,-0.11588428313073063,0.7469021379105836,0.15829311388758682,-0.00580376376978513,-0.009087509709033215,0.006130001460335821,-0.01075247050570527,-0.002771689554983414,-0.0031866509325642056,0.0
trend_scale_155,略收趋势杠杆，观察回撤与质量,12349.985900064665,0.3334367912403328,0.25031322584785687,-0.13019082209638966,0.7557802672962288,0.1705853891468403,-0.08312446260096615,-0.024286532326802335,-0.028392755190115082,0.003554068459953763,0.006106439830661836,0.009105624326689266,0.028432547679630105
trail16_short010,更紧的 trailing stop 配合更轻做空,11982.453631348306,0.30262819440286765,0.22985742971842751,-0.12120378816859945,0.7474447391416061,0.1631513367383558,-0.1105793716251256,-0.05509512916426751,-0.048848551319544437,-0.005432965467836448,-0.0022290883239608483,0.0016715719182047728,0.0
confirm3_trail16,趋势确认更严格，移动止损更紧,11943.483451748372,0.2940090354427767,0.2176524482897215,-0.1256636070568048,0.7638512096946297,0.16127114611068927,-0.12927871788829617,-0.06371428812435848,-0.061053532748250455,-0.0009731465796311012,0.01417738222906273,-0.00020861870946176087,0.0
balanced_local_best,局部综合：轻做空、略紧 trailing、略快退出,11542.79777210093,0.2494178625958707,0.15077844701792975,-0.1461637595441353,0.751575246520314,0.16582986913397857,-0.43957520224911883,-0.10830546097126445,-0.1279275340200422,0.019527005907699402,0.0019014190547470555,0.004350104313827541,0.19432407089239281
breakout018_trend165,更积极的突破确认与趋势仓位,9770.940879134134,-0.01430240134137575,-0.0240929640398227,-0.1458716614279737,0.6383106665159515,0.17424920771144048,-0.9277502323902531,-0.3720257249085109,-0.30279894507779465,0.019234907791537803,-0.11136316094961551,0.012769442891289451,0.19081889349845363
