case,total_return,cagr,annualized_volatility,sharpe,sortino,calmar,max_drawdown,trade_count,win_rate,final_equity,fill_count,liquidation_count,fees_paid,funding_paid,realized_pnl,order_notional,max_leverage_observed,max_margin_ratio,minimum_margin_buffer,max_minute_participation_observed,maker_enabled,maker_order_count,maker_cancel_count,maker_fill_count,taker_fill_count,maker_filled_notional,taker_filled_notional,maker_fill_ratio,maker_fill_events_per_order,maker_fee_saved_vs_taker,strategy_drawdown_enabled,governor_peak_equity,governor_max_drawdown_observed,governor_min_scale_observed,governor_recovery_enabled,governor_recovery_max_signal,governor_continuation_reentry_enabled,governor_continuation_reentry_recovery_buffer,train_2020_2022_total_return,train_2020_2022_cagr,train_2020_2022_annualized_volatility,train_2020_2022_sharpe,train_2020_2022_sortino,train_2020_2022_calmar,train_2020_2022_max_drawdown,train_2020_2022_trade_count,train_2020_2022_win_rate,train_2020_2022_final_equity,validation_2023_2024_total_return,validation_2023_2024_cagr,validation_2023_2024_annualized_volatility,validation_2023_2024_sharpe,validation_2023_2024_sortino,validation_2023_2024_calmar,validation_2023_2024_max_drawdown,validation_2023_2024_trade_count,validation_2023_2024_win_rate,validation_2023_2024_final_equity,recent_2025_2026_07_total_return,recent_2025_2026_07_cagr,recent_2025_2026_07_annualized_volatility,recent_2025_2026_07_sharpe,recent_2025_2026_07_sortino,recent_2025_2026_07_calmar,recent_2025_2026_07_max_drawdown,recent_2025_2026_07_trade_count,recent_2025_2026_07_win_rate,recent_2025_2026_07_final_equity
wzy_v72_current,4.720862608817546,0.30341996053839826,0.21582959721501263,1.3374937041032973,2.460305197902163,1.7671183558039334,-0.17170324757356747,489.0,0.40081799591002043,57208.62608817546,1396.0,0.0,4858.196792495698,2606.354593837846,54673.17747450888,15097993.266334094,5.600461558374509,0.024583023597819945,9863.801720712168,0.019999628883742276,1.0,721.0,0.0,743.0,286.0,11517844.609219363,3580148.6571147284,0.7628725490891668,1.030513176144244,4376.780951503358,1.0,61383.74802994252,0.17614991603270225,0.0,1.0,0.25,1.0,0.04,0.391734978128244,0.11636167233575323,0.1667446939725522,0.7467301789643337,1.1879530093928914,0.906214838341581,-0.12840406867393717,0.0,0.0,13917.34978128244,1.8616457007506737,0.6900205103503114,0.29121898163756327,1.9448996655670594,3.954369557809138,4.018680602151496,-0.17170324757356747,0.0,0.0,39863.884937558185,0.43509911735360585,0.25692304263204746,0.18285829749427715,1.3423757603850597,2.4140854566356964,2.6759573171059783,-0.0960116370278683,0.0,0.0,57208.62608817546
wzy_v72_family_execution,9.144918170971575,0.4219477712959565,0.24172310002218164,1.579495077726184,2.963528239505084,1.698416857827837,-0.2484359298197263,503.0,0.40357852882703776,101449.18170971575,1478.0,0.0,5818.971232693322,4213.862114440362,101482.01505684938,25527732.86497691,5.586954914965763,0.025178785799101967,9863.1237789249,0.019999758835034586,1.0,744.0,0.0,799.0,303.0,19701672.979899988,5826059.8850769065,0.7717752721758521,1.0739247311827957,5240.645012653396,1.0,108700.06024260199,0.26216929790244825,0.95,0.0,0.25,0.0,0.03,0.6964663084630429,0.19244815610291566,0.1873844371884368,1.0375672896038797,1.7297617485322518,1.342389834002918,-0.14336234618899635,0.0,0.0,16964.66308463043,2.730492464153241,0.929133268802997,0.3213811334160041,2.202693638548027,4.4942779436094025,3.7399311342655155,-0.2484359298197263,0.0,0.0,63360.18865998069,0.601150246792,0.34712749293400447,0.21309374099196365,1.5050926395973596,2.7646423863806278,2.9450754412448217,-0.11786709707758147,0.0,0.0,101449.18170971576
wzy_v72_no_governor,7.869361124622271,0.3932124164897135,0.2417031190732945,1.494907259864202,2.782504862034765,1.5246257434740331,-0.25790750167561405,503.0,0.3976143141153082,88693.61124622272,1468.0,0.0,7609.789823447097,3933.4783248748327,90236.87939454455,23402720.073984485,5.6005128493806815,0.025111801855159658,9863.801720712168,0.019999758835034586,1.0,743.0,0.0,792.0,300.0,18037746.665319115,5364973.408665372,0.770754280198851,1.065948855989233,6854.343732821263,0.0,95169.84099302023,0.2721239454660739,1.0,1.0,0.25,1.0,0.04,0.6248900835384341,0.1754529575501329,0.18737438663653702,0.9605739334200314,1.5931807174648607,1.2172720258046206,-0.144136194565186,0.0,0.0,16248.900835384342,2.518853111943274,0.8737119334512014,0.3213028583275839,2.1124079795217763,4.268095322435686,3.3876949207554343,-0.25790750167561405,0.0,0.0,57244.550668721065,0.5493808617609728,0.3193897278853348,0.2131779723336103,1.4068982698754435,2.562244236231241,2.646676819623335,-0.1206757566761737,0.0,0.0,88693.61124622272
wzy_v72_wzy_maker_soft_governor,7.830556225021596,0.3922845735652585,0.24145443153273585,1.4934337029571887,2.77928966494652,1.5356107555631229,-0.25545833938979157,503.0,0.3976143141153082,88305.56225021595,1468.0,0.0,7582.019165503822,3919.150129040289,89806.73154476007,23317627.376291245,5.6005128493806815,0.025111801855159658,9863.801720712168,0.019999758835034586,1.0,742.0,0.0,791.0,301.0,17971990.354201447,5345637.022089814,0.7707469574059188,1.0660377358490567,6829.356334596549,1.0,94753.6948010248,0.26917438802463944,0.95,0.0,0.25,0.0,0.03,0.6248900835384341,0.1754529575501329,0.18737438663653702,0.9605739334200314,1.5931807174648607,1.2172720258046206,-0.144136194565186,0.0,0.0,16248.900835384342,2.5036278579579707,0.8696613679209368,0.32067189120479717,2.1091869266775243,4.261173216023427,3.4043177842550776,-0.25545833938979157,0.0,0.0,56996.86689350246,0.549305550693044,0.31934913106661034,0.21321346591211768,1.4065538694049307,2.56183393145519,2.6470675332314944,-0.12064260811538663,0.0,0.0,88305.56225021595
wzy_v72_x_native,6.3700189443153095,0.3545598993073682,0.24094354794700962,1.381769857183067,2.5489402416597935,1.3318521925911184,-0.2662156516163944,503.0,0.3856858846918489,73700.1894431531,1458.0,0.0,12751.496490254494,3544.6314936997533,79996.31742710713,20663855.58526018,5.594135638579941,0.02489710653627443,9830.599971803103,0.019999758835034586,0.0,0.0,0.0,0.0,1082.0,0.0,20663855.58526018,0.0,0.0,0.0,1.0,79242.41662738506,0.2799052781576713,0.95,0.0,0.25,0.0,0.03,0.5345122756595997,0.15326442431487175,0.1869763573718364,0.8597337272271003,1.4145609441141802,1.0335756689417281,-0.1482856349277245,0.0,0.0,15345.122756595996,2.2345539540991814,0.7965643697813194,0.31982582420965616,1.989205083018719,3.9821083948189258,2.992177075032145,-0.2662156516163944,0.0,0.0,49700.201707823406,0.48289517769807766,0.2832627432153303,0.21310000981292587,1.2769171016813032,2.304883332098089,2.2843300235704143,-0.12400254792107046,0.0,0.0,73700.1894431531
wzy_v72_x_native_rebate30,7.25607405233176,0.37812728196671475,0.2411590912264434,1.4524655785779352,2.697592078636564,1.4556714928986005,-0.2597614116999504,503.0,0.3956262425447316,82560.74052331761,1465.0,0.0,9631.292888354945,3769.4333839935616,85961.466795666,22274821.749352183,5.586424086030544,0.02497743250716639,9855.132224717898,0.019999758835034586,0.0,0.0,0.0,0.0,1089.0,0.0,22274821.749352183,0.0,0.0,0.0,1.0,88654.55712560825,0.2734240730841767,0.95,0.0,0.25,0.0,0.03,0.592182143506129,0.16752022907614572,0.18705968715224547,0.9254691339613517,1.5313152742406404,1.1437902251767789,-0.14646062310093144,0.0,0.0,15921.82143506129,2.4003723025534893,0.8419550966618714,0.3202933294405481,2.064680605674348,4.162930637600118,3.24126316973674,-0.2597614116999504,0.0,0.0,54209.68821913805,0.5229886619080495,0.3051181877519149,0.2130746529003834,1.3563681737988573,2.4665784629489287,2.5058332168977424,-0.12176316671612153,0.0,0.0,82560.74052331761
