case,year,total_return,cagr,annualized_volatility,sharpe,sortino,calmar,max_drawdown,trade_count,win_rate,final_equity
wzy_v72_current,2020,0.42023690935919067,0.41921626651818955,0.24314483148019733,1.5594481123949462,2.5844569143172658,3.3277706577767043,-0.125975107550912,0.0,0.0,14202.369093591908
wzy_v72_current,2021,-0.02198477210127181,-0.021999663300429795,0.11554909884540523,-0.13738560605951491,-0.20330923029805456,-0.17788845802721642,-0.12367111134924735,0.0,0.0,13890.133245771143
wzy_v72_current,2022,0.0028993407496449297,0.002901329477494663,0.10298395284080766,0.07968669010904487,0.1162417635208458,0.039428557184050195,-0.0735844698539545,0.0,0.0,13930.405475108604
wzy_v72_current,2023,1.4347505055512388,1.4362348954173725,0.3543787071018688,2.690103283466285,5.6544850942388045,15.467118112029086,-0.09285730444512375,0.0,0.0,33917.06177305442
wzy_v72_current,2024,0.1753342669920852,0.17494523652404315,0.21059895452305627,0.8683424481635514,1.631215042261225,1.0188813490501198,-0.17170324757356747,0.0,0.0,39863.884937558185
wzy_v72_current,2025,0.29628140781994605,0.29651182874161264,0.1795187424693808,1.5342165878702672,2.9815786896846017,3.0882905231117683,-0.0960116370278683,0.0,0.0,51674.81288803027
wzy_v72_current,2026,0.10708917731615086,0.19157452614466286,0.18856242256718225,1.0269531607212883,1.6685508075875033,3.1618481665854126,-0.06058941354908598,0.0,0.0,57208.62608817546
wzy_v72_family_execution,2020,0.6216930963008735,0.6200872502300476,0.26401954317854753,1.9569650279850548,3.3846531972242913,5.043024040110793,-0.12295940794611493,0.0,0.0,16216.930963008735
wzy_v72_family_execution,2021,0.00712410773420058,0.007129004611956091,0.1435692786075122,0.12146356733171344,0.19213348627504576,0.0497271759389166,-0.14336234618899635,0.0,0.0,16332.462126307304
wzy_v72_family_execution,2022,0.03991689718909397,0.03994477645515104,0.12105444533681997,0.3853285801892886,0.6020608143063653,0.5434234434313637,-0.0735058027731117,0.0,0.0,16984.403337847885
wzy_v72_family_execution,2023,1.5895586671800253,1.5912468422872252,0.3608281996931288,2.8194495146774528,6.030048811446634,17.783593191252645,-0.08947836498362571,0.0,0.0,43982.10887040534
wzy_v72_family_execution,2024,0.4405900555308402,0.43951281215011884,0.27697886916238046,1.4505588740099287,2.7572009202156247,1.769119355920235,-0.2484359298197263,0.0,0.0,63360.18865998069
wzy_v72_family_execution,2025,0.43604471294047165,0.4364007118304498,0.22646235609721904,1.7096832747371908,3.315338244151298,3.702481206805372,-0.11786709707758147,0.0,0.0,90988.0639360761
wzy_v72_family_execution,2026,0.11497241859096108,0.20623045542729668,0.1877946508256267,1.0957257705495425,1.7942448799377928,3.513786992435955,-0.05869179203840302,0.0,0.0,101449.18170971576
wzy_v72_no_governor,2020,0.5787007448065458,0.5772243081237909,0.26408484059269416,1.855084419935113,3.1926834851301393,4.470997164829328,-0.12910415436280542,0.0,0.0,15787.007448065457
wzy_v72_no_governor,2021,-0.002682915403243058,-0.002684750547556569,0.14383140527454893,0.0525306624550507,0.08274880290168853,-0.018626484178076334,-0.144136194565186,0.0,0.0,15744.652242611928
wzy_v72_no_governor,2022,0.03323697612796539,0.03326011563684128,0.12057679137368967,0.33265599966915577,0.5160369422660336,0.43918809442254203,-0.07573091360906015,0.0,0.0,16267.956873342737
wzy_v72_no_governor,2023,1.5260214600350972,1.527625206228072,0.36033413406784287,2.753698417219611,5.861770848398413,16.819592727369113,-0.09082414960870577,0.0,0.0,41093.208172989216
wzy_v72_no_governor,2024,0.39304165368982336,0.39209570694354845,0.2774326760628878,1.3280791135152545,2.4840865916443193,1.5202958595470055,-0.25790750167561405,0.0,0.0,57244.550668721065
wzy_v72_no_governor,2025,0.3996182788310074,0.39994061116352886,0.22624630583613084,1.597548295096093,3.072796143339388,3.3141752923641987,-0.1206757566761737,0.0,0.0,80120.51947940978
wzy_v72_no_governor,2026,0.10700244859266217,0.19141370482346565,0.18850864492045213,1.026475053764241,1.6669101300273919,3.169283731729021,-0.060396518906509766,0.0,0.0,88693.61124622272
wzy_v72_wzy_maker_soft_governor,2020,0.5787007448065458,0.5772243081237909,0.26408484059269416,1.855084419935113,3.1926834851301393,4.470997164829328,-0.12910415436280542,0.0,0.0,15787.007448065457
wzy_v72_wzy_maker_soft_governor,2021,-0.002682915403243058,-0.002684750547556569,0.14383140527454893,0.0525306624550507,0.08274880290168853,-0.018626484178076334,-0.144136194565186,0.0,0.0,15744.652242611928
wzy_v72_wzy_maker_soft_governor,2022,0.03323697612796539,0.03326011563684128,0.12057679137368967,0.33265599966915577,0.5160369422660336,0.43918809442254203,-0.07573091360906015,0.0,0.0,16267.956873342737
wzy_v72_wzy_maker_soft_governor,2023,1.5260214600350972,1.527625206228072,0.36033413406784287,2.753698417219611,5.861770848398413,16.819592727369113,-0.09082414960870577,0.0,0.0,41093.208172989216
wzy_v72_wzy_maker_soft_governor,2024,0.3870142884333574,0.3860847506625207,0.27596833662202525,1.3180083117009591,2.4628529684024594,1.5113413466350478,-0.25545833938979157,0.0,0.0,56996.86689350246
wzy_v72_wzy_maker_soft_governor,2025,0.3996701768387143,0.39999255667878253,0.2262929809472795,1.5974276999587345,3.0728474803536505,3.31551649062673,-0.12064260811538663,0.0,0.0,79776.81476408125
wzy_v72_wzy_maker_soft_governor,2026,0.10690759603972921,0.19123782988935512,0.18852128368786644,1.0256322211062316,1.6656117104038062,3.1667527490991625,-0.060389252032308494,0.0,0.0,88305.56225021595
wzy_v72_x_native,2020,0.5185032973203236,0.5172040234471098,0.2635164459216725,1.7114043140045274,2.9172208846280823,3.8463944951514346,-0.13446463281368315,0.0,0.0,15185.032973203237
wzy_v72_x_native,2021,-0.013033942651736408,-0.013042811536103871,0.14355828078249638,-0.021319862901074512,-0.03346084573246973,-0.08795735030207769,-0.1482856349277245,0.0,0.0,14987.11212426578
wzy_v72_x_native,2022,0.02524059754022856,0.02525810213805957,0.12033148407806821,0.2681826924387143,0.41307051646713927,0.3236766276846701,-0.07803498917650098,0.0,0.0,15365.395789684651
wzy_v72_x_native,2023,1.39390610377054,1.3953378357136499,0.35908456178828146,2.6121369365129627,5.486809227849673,14.447663504599632,-0.09657878834660172,0.0,0.0,36783.314767776246
wzy_v72_x_native,2024,0.3511615802326469,0.35032853411874054,0.2756413579557805,1.224481955779297,2.2805369347690894,1.315957690660312,-0.2662156516163944,0.0,0.0,49700.201707823406
wzy_v72_x_native,2025,0.3583222306166982,0.3586071828091624,0.22649206733083524,1.463836131021055,2.7799257364171788,2.8919339870130845,-0.12400254792107046,0.0,0.0,67508.88884587052
wzy_v72_x_native,2026,0.09171089471518235,0.16320108244896914,0.18775714721733963,0.9016691583316843,1.4598998508257672,2.5960045614797327,-0.06286625411626545,0.0,0.0,73700.1894431531
wzy_v72_x_native_rebate30,2020,0.5551729008163886,0.553766275621679,0.2635760062400701,1.8013418631913536,3.0897403576446347,4.255701040357482,-0.13012339691398112,0.0,0.0,15551.729008163886
wzy_v72_x_native_rebate30,2021,-0.005386228918296876,-0.005389908156062551,0.1436453141822648,0.03325302647463681,0.05236134122736283,-0.03680107350320479,-0.14646062310093144,0.0,0.0,15467.963835650597
wzy_v72_x_native_rebate30,2022,0.030664438094980317,0.030685760136530016,0.12046644228980415,0.3120417288560527,0.4836604619972525,0.4051269162231153,-0.07574357295882672,0.0,0.0,15942.2802551443
wzy_v72_x_native_rebate30,2023,1.4618196850251195,1.463339232764402,0.3596817940967456,2.686336745116642,5.683389059775804,15.591891918490902,-0.09385257673759162,0.0,0.0,39247.01935630152
wzy_v72_x_native_rebate30,2024,0.3812434449352424,0.3803295676264329,0.275947806776632,1.3029724021107876,2.4439053879635972,1.4641496022732985,-0.2597614116999504,0.0,0.0,54209.68821913805
wzy_v72_x_native_rebate30,2025,0.3851056633590828,0.38541476275780706,0.22655768142094035,1.5496440783103533,2.9686390061121024,3.165282023720379,-0.12176316671612153,0.0,0.0,75086.14616125826
wzy_v72_x_native_rebate30,2026,0.09954691703056096,0.17762295572818365,0.18753959450424548,0.9684614381396593,1.5755960378861353,2.9244221120534406,-0.06073779670728252,0.0,0.0,82560.74052331761
