code,final_equity,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,holdout_final_equity_rebased,holdout_cagr,holdout_sharpe,holdout_max_drawdown,direction_final_equity,fees_paid,funding_paid,maker_fill_ratio,liquidation_count,calmar,contains_neutral_overlay
V4,470818.46788062545,46.08184678806254,0.7954105969285701,0.4441943038548308,1.538957735451036,2.733257929401712,-0.3039274446274993,12663.799625687408,0.1612470692330359,0.5793410298017243,-0.2662446427509852,470818.46788062545,63833.35856390855,50478.634635916176,0.0,0.0,2.617106848983132,False
V4.1.2,453890.60501997545,44.38906050199755,0.7854499491684954,0.4017894658371435,1.6431615550460328,3.0117795651378723,-0.2419387217475168,14800.333336486105,0.2816944783613535,0.8808402092657269,-0.2208866128830134,453890.60501997545,26431.196480536422,35992.980180617225,0.5824449285329404,0.0,3.246483008156825,False
V4.2.2,222952.31809229945,21.295231809229943,0.6026534146789191,0.3037461448971855,1.7065847756505343,3.140232293635642,-0.1845986159161535,14011.383859843383,0.2380117813639304,0.9363205917462124,-0.1709148854661955,203339.68935904137,9825.79698591023,14231.863749570926,0.5817342805287392,0.0,3.264669194229767,True
V7.1,844208.6131506856,83.42086131506855,0.9619762812095,0.5060560876349245,1.5832801629281266,2.8135420996826235,-0.3748412045734198,12617.713686296784,0.1585701587596981,0.5590957993692302,-0.280832524963821,844208.6131506856,119455.13742058296,91644.72782869372,0.0,0.0,2.566356818493999,False
V7.1.2,1312799.8455394392,130.27998455394393,1.098103742935499,0.4908240454434899,1.7537187325665435,3.1899535316689724,-0.370510695767157,14022.60296804786,0.2386391931957359,0.716544757038145,-0.2829459665866107,1312799.8455394392,89942.41721577196,108291.52308710918,0.5680560581966904,0.0,2.9637572018314664,False
V7.1.3,513570.83071519254,50.357083071519256,0.819276986981333,0.3747318044686489,1.7856308966102832,3.248842257112145,-0.3095727176216846,13987.721852849198,0.2366879142426217,0.8149344904034653,-0.2058755268268789,471610.9867285299,25950.744925169205,32766.77503435667,0.5687697245017778,0.0,2.6464767091735,True
