ema_fast,ema_slow,atr_period,adx_period,adx_enter,adx_exit,trend_separation_atr,rsi_period,rsi_entry,rsi_exit,bb_period,bb_std,mr_stop_atr,mr_max_bars,target_vol,max_leverage,trend_scale,rebound_scale,allow_short,rebalance_bars,vol_risk_enabled,realized_vol_period,vol_baseline_period,vol_shock_enter,vol_shock_exit,vol_shock_scale,vol_momentum_period,momentum_factor_enabled,momentum_factor_period,momentum_factor_threshold,momentum_factor_scale,funding_factor_enabled,funding_lookback,funding_high_threshold,funding_factor_scale,downside_allocation_enabled,downside_vol_period,downside_calm_threshold,downside_stress_threshold,downside_calm_boost,downside_stress_scale,drawdown_brake_enabled,price_drawdown_lookback,price_drawdown_enter,price_drawdown_exit,price_drawdown_scale,raw_score,q25_fold_sharpe,median_fold_sharpe,minimum_fold_sharpe,sharpe_dispersion,median_fold_calmar,worst_fold_drawdown,oos_2021_total_return,oos_2021_cagr,oos_2021_annualized_volatility,oos_2021_sharpe,oos_2021_sortino,oos_2021_max_drawdown,oos_2021_trade_count,oos_2021_win_rate,oos_2021_final_equity,oos_2021_max_leverage_observed,oos_2021_average_leverage,oos_2021_turnover_multiple,oos_2021_rebalance_events,oos_2022_total_return,oos_2022_cagr,oos_2022_annualized_volatility,oos_2022_sharpe,oos_2022_sortino,oos_2022_max_drawdown,oos_2022_trade_count,oos_2022_win_rate,oos_2022_final_equity,oos_2022_max_leverage_observed,oos_2022_average_leverage,oos_2022_turnover_multiple,oos_2022_rebalance_events,oos_2023_total_return,oos_2023_cagr,oos_2023_annualized_volatility,oos_2023_sharpe,oos_2023_sortino,oos_2023_max_drawdown,oos_2023_trade_count,oos_2023_win_rate,oos_2023_final_equity,oos_2023_max_leverage_observed,oos_2023_average_leverage,oos_2023_turnover_multiple,oos_2023_rebalance_events,oos_2024_total_return,oos_2024_cagr,oos_2024_annualized_volatility,oos_2024_sharpe,oos_2024_sortino,oos_2024_max_drawdown,oos_2024_trade_count,oos_2024_win_rate,oos_2024_final_equity,oos_2024_max_leverage_observed,oos_2024_average_leverage,oos_2024_turnover_multiple,oos_2024_rebalance_events,pre_total_return,pre_cagr,pre_annualized_volatility,pre_sharpe,pre_sortino,pre_max_drawdown,pre_trade_count,pre_win_rate,pre_final_equity,pre_max_leverage_observed,pre_average_leverage,pre_turnover_multiple,pre_rebalance_events,neighbor_count,neighbor_median_score,neighbor_q25_score,plateau_score
30,120,20,14,27.0,18.0,0.1,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,60,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.4,True,24,0.4,0.625,1.325,0.3,False,360,0.2,0.1,0.5,0.8834375315068542,0.8244152287580128,1.1856267611589302,-0.15637957466202904,0.7936863880858184,2.3343727659193614,-0.2899992807577846,0.4015818512432068,0.4468268458619835,0.38178587920948215,1.1513468298980267,2.161618541933301,-0.20729712250644927,26.0,0.4230769230769231,14015.818512432068,2.372930492772426,0.18390324282596782,83.46447893682775,124.0,-0.08956010065592512,-0.097563884082145,0.32214402555028293,-0.15637957466202904,-0.22301406879561725,-0.27488598226049,19.0,0.3157894736842105,9104.39899344075,4.4432145282507145,0.2444128130680432,73.53841066454015,84.0,0.6064760080675249,0.6797661666243833,0.5451407538440959,1.2199066924198336,1.9883122901189707,-0.27047234971850276,29.0,0.41379310344827586,16064.760080675249,4.190903862211024,0.5095544505854059,137.44909066782628,119.0,0.8429629969012458,0.9482131362951653,0.45287238061588675,1.6952378604979268,2.930452398686787,-0.2899992807577846,38.0,0.3157894736842105,18429.629969012458,3.556124653997662,0.5115170147967922,179.3825680352627,178.0,51.64966957978868,1.2088651176026928,0.49582620631602453,1.836974382527362,3.4464940584761483,-0.3113482284769793,163.0,0.38650306748466257,526496.6957978868,6.5,0.39310961114101767,725.1979520012969,785.0,54,0.7878175344533616,0.7605639073186723,0.8301768075531699
30,120,20,14,28.0,18.0,0.1,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.4,True,24,0.4,0.625,1.325,0.3,False,360,0.2,0.1,0.5,0.8798421793002501,0.8491265523543403,1.1763147973079047,-0.12732092513569948,0.7688446050187483,2.18678650541221,-0.28823133204786167,0.4151580884808044,0.4621671991569214,0.3822287195214277,1.1780205497647889,2.208011099507119,-0.2123848986669553,26.0,0.46153846153846156,14151.580884808043,2.372930492772426,0.17967275917632095,82.08795714046923,123.0,-0.08284675803640007,-0.09028080796486937,0.32505390574917803,-0.12732092513569948,-0.18130484431004776,-0.26678374358990553,19.0,0.3684210526315789,9171.532419636,4.4432145282507145,0.2465227710551571,71.85739757522606,85.0,0.5658856233043661,0.6333854299461785,0.5399560708201744,1.1746090448510202,1.9106960996732085,-0.28823133204786167,29.0,0.41379310344827586,15658.85623304366,4.190903862211024,0.5022334260255501,135.4034810675784,117.0,0.8264017782029656,0.929123577090798,0.4556875717041068,1.6658062534046596,2.8960950439642974,-0.28299961815745134,38.0,0.34210526315789475,18264.017782029656,3.556124653997662,0.5085049779782967,175.51895206561386,174.0,49.05713949489769,1.1866771816084096,0.4990815834933551,1.8080054536669536,3.37793909298511,-0.3278296025123252,163.0,0.4049079754601227,500571.39494897693,6.5,0.3952428623331213,712.9326942254169,777.0,36,0.7856087604527419,0.7600232805585694,0.8276083738976615
30,120,20,14,28.0,18.0,0.1,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,60,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.4,True,24,0.4,0.625,1.325,0.3,False,360,0.2,0.1,0.5,0.874000519675472,0.8254180452140739,1.1663342388431062,-0.11218344028966964,0.7458349717128588,2.1948651477270333,-0.28568837522262447,0.4217750203922226,0.4696489747306716,0.3806621683542494,1.1947166039708907,2.2447192564042973,-0.20729712250644938,26.0,0.46153846153846156,14217.750203922225,2.372930492772426,0.1786977107719619,81.7111752020017,123.0,-0.07762330860456679,-0.08461059275670124,0.3221361402863284,-0.11218344028966964,-0.1601368030072678,-0.2617118598108369,19.0,0.3684210526315789,9223.766913954332,4.4432145282507145,0.24466861603077739,71.98884762501183,86.0,0.5384773791293398,0.6021310680745722,0.540862979676524,1.1379518737153218,1.842609594864776,-0.28346963419847604,29.0,0.41379310344827586,15384.773791293399,4.190903862211024,0.5024327260691052,136.6740913074139,118.0,0.7788733106773849,0.8744268497991008,0.4499183040677031,1.6176277232128213,2.7953691968825587,-0.28568837522262447,38.0,0.3157894736842105,17788.73310677385,3.556124653997662,0.5029230535892489,176.08030707833848,176.0,45.620681439336124,1.1558034537274784,0.49391227722298325,1.7929966354046623,3.3579598324341737,-0.3236172671880809,163.0,0.3987730061349693,466206.8143933613,6.5,0.3886803671474058,714.4601027272428,781.0,36,0.7856087604527419,0.7631447170856185,0.8253118313906823
30,120,20,14,28.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,60,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.4,True,24,0.4,0.625,1.325,0.3,False,360,0.2,0.1,0.5,0.8837574491729773,0.836480911786833,1.1562224622655948,-0.10719358130428595,0.7324891574508635,2.206418640566152,-0.2910198437576782,0.40014519061627585,0.44520431915283165,0.3804831137890883,1.1510390761505394,2.161159743172764,-0.20729712250644927,26.0,0.46153846153846156,14001.451906162758,2.372930492772426,0.17716254791991548,81.70186380102624,122.0,-0.07654809291587683,-0.08344303736494318,0.32292418682491403,-0.10719358130428595,-0.1532013300354541,-0.26171185981083644,19.0,0.3684210526315789,9234.519070841232,4.4432145282507145,0.2441457161249261,72.11504503473277,86.0,0.5561975028927713,0.6223318742307997,0.5406092135212296,1.16140584838065,1.8806191392012712,-0.274739045582562,29.0,0.3793103448275862,15561.975028927713,4.190903862211024,0.4983686589324021,136.78672645777272,118.0,0.7566110888508546,0.8488524386342879,0.44963529337459884,1.5878601328424025,2.738881830804589,-0.2910198437576782,38.0,0.3157894736842105,17566.110888508545,3.556124653997662,0.4993534524424308,172.40441000532357,172.0,46.95157220101234,1.16796980654204,0.49354014546911373,1.8053730079856125,3.385094484340002,-0.31537585877200713,162.0,0.3950617283950617,479515.72201012337,6.5,0.386234324111572,706.1567060344933,773.0,54,0.7726854992029959,0.7385329927471148,0.8213909728968103
30,120,20,14,27.0,18.0,0.1,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.4,True,24,0.4,0.625,1.325,0.3,False,360,0.2,0.1,0.5,0.8611084990163441,0.8086190603409698,1.1749656524317955,-0.17218101176841444,0.8148978679784292,2.2547445234794976,-0.28213438854071926,0.3953571519983947,0.43979796629433876,0.3833214148658342,1.1355524177107645,2.1268940286032034,-0.2123848986669552,26.0,0.4230769230769231,13953.571519983947,2.372930492772426,0.18475932413017346,83.84126087529526,125.0,-0.09500243874343817,-0.1034643843324492,0.32506399149275345,-0.17218101176841444,-0.2449588498965148,-0.2800952564960202,19.0,0.3157894736842105,9049.975612565619,4.4432145282507145,0.24627839783866098,73.4069606147544,82.0,0.6040810933456979,0.6770265191381168,0.5473686074731637,1.2143788871528265,1.970522190396482,-0.27761438944726036,29.0,0.41379310344827586,16040.81093345698,4.190903862211024,0.5101598912410363,136.2147582645198,118.0,0.8945178080906298,1.0077378671105999,0.45859698284317,1.7451971486370101,3.0356693722498056,-0.28213438854071926,38.0,0.34210526315789475,18945.1780809063,3.556124653997662,0.5170139358093166,178.69750799419887,176.0,54.520372320983405,1.2324362626610368,0.5015939410173264,1.8427572580997629,3.4388885887645366,-0.3178033189046434,163.0,0.39263803680981596,555203.7232098341,6.5,0.39978397813088473,723.5831163076608,781.0,54,0.7878175344533616,0.755515682519788,0.8180026463481381
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,60,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.4,True,24,0.4,0.625,1.325,0.3,False,360,0.2,0.1,0.5,0.8771515716335658,0.7930122010394239,1.175494130546947,-0.15128198096352075,0.7820595409993228,2.337431446737926,-0.29529857361989464,0.3802592253532926,0.4227617905079648,0.3816070452907394,1.1077769283737389,2.0783835851364745,-0.20729712250644938,26.0,0.4230769230769231,13802.592253532926,2.372930492772426,0.18236807997392138,83.45516753585227,123.0,-0.08849879970099461,-0.09641285027672919,0.32293208352307273,-0.15128198096352075,-0.2160089885148934,-0.27488598226048977,19.0,0.3157894736842105,9115.012002990054,4.4432145282507145,0.24388991316219194,73.66460807426111,84.0,0.6249793374450787,0.7009458512306843,0.5448884652369543,1.2432113327201555,2.0263348984351808,-0.26596690199464246,29.0,0.3793103448275862,16249.793374450786,4.190903862211024,0.5054903834487028,137.5617258181851,119.0,0.8198987062579302,0.9216319956176087,0.45259177501555214,1.6657042439526972,2.8741568535773707,-0.29529857361989464,38.0,0.3157894736842105,18198.9870625793,3.556124653997662,0.5079474136499741,175.70667096224778,174.0,53.152671180917345,1.2213309257885276,0.49545538553428026,1.8493310834467345,3.4737180851047897,-0.3070952237343315,162.0,0.38271604938271603,541526.7118091735,6.5,0.3906635681051838,716.8945553085474,777.0,81,0.7686636170923203,0.7330382492942924,0.8157825208033376
30,120,20,14,28.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.4,True,24,0.4,0.625,1.325,0.3,False,360,0.2,0.1,0.5,0.8726938209191291,0.8187988223532344,1.165520090641989,-0.12834185396158385,0.7590448018707102,2.1935447597191593,-0.2856902509567846,0.3936289237952042,0.43784698787166576,0.382050308368664,1.1345123811248405,2.125004962604626,-0.21238489866695565,26.0,0.46153846153846156,13936.289237952042,2.372930492772426,0.1781375963242745,82.07864573949377,122.0,-0.0831763687572884,-0.09063850880579527,0.32519166949602146,-0.12834185396158385,-0.182835011050076,-0.26678374358990686,19.0,0.3684210526315789,9168.236312427116,4.4432145282507145,0.24574798011193869,71.85739757522606,85.0,0.5826467744761785,0.6525240663287519,0.5396681234624708,1.1965278001591373,1.9462660151897881,-0.2805931847480848,29.0,0.3793103448275862,15826.467744761785,4.190903862211024,0.4981951736606444,135.53892330434255,117.0,0.8035447476956961,0.9028028916217763,0.4554085807562259,1.6364312682329902,2.83987765401653,-0.2856902509567846,38.0,0.34210526315789475,18035.44747695696,3.556124653997662,0.5049353768314785,171.84305499259895,170.0,50.3663319153008,1.1979937949247796,0.49863023097320985,1.8195378634817094,3.4033014532939045,-0.32061639302766054,162.0,0.4012345679012346,513663.319153008,6.5,0.39275548953664136,704.5259072093517,769.0,54,0.7697801025353241,0.7350533258891265,0.8142916063979871
30,120,20,14,28.0,18.0,0.1,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,48,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.4,True,24,0.4,0.625,1.325,0.3,False,360,0.2,0.1,0.5,0.8518135651395031,0.8175361128610021,1.1566397566377526,-0.13565828504441185,0.7656318808744165,2.094391335628716,-0.29707618675757685,0.41515555421189076,0.46216433428464554,0.38223039617737553,1.1780119344460318,2.2079898421196353,-0.2123848986669551,26.0,0.46153846153846156,14151.555542118907,2.372930492772426,0.17967496483513543,82.08972519657488,124.0,-0.08521789305636063,-0.09285374634395105,0.32530940335466263,-0.13565828504441185,-0.1930471208365473,-0.2686793425620645,19.0,0.3684210526315789,9147.821069436393,4.4432145282507145,0.24692631310633278,72.1677646202437,87.0,0.5347890160162947,0.5979291063471492,0.5388478149569965,1.1352675788294735,1.8420095332853115,-0.29707618675757685,29.0,0.41379310344827586,15347.890160162946,4.190903862211024,0.5028223538146273,137.8598729013969,119.0,0.8217527988633322,0.9237676749993557,0.45831077623381894,1.6527371549811314,2.87544641986301,-0.28811646372370414,38.0,0.34210526315789475,18217.527988633323,3.556124653997662,0.5112827808169067,176.626775581076,173.0,47.284614760009454,1.1709719961300813,0.4974071093379451,1.7979144705133416,3.365643209122101,-0.33646143631659964,163.0,0.4049079754601227,482846.14760009455,6.5,0.39327858614922706,716.8109044003431,782.0,24,0.7807664853547234,0.7638726311772646,0.8129112544116215
30,120,20,14,27.0,18.0,0.1,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,48,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.4,True,24,0.4,0.625,1.325,0.3,False,360,0.2,0.1,0.5,0.8459865354046617,0.8065372909976547,1.155581191419686,-0.18048291681334566,0.8103211891200609,2.185439865506255,-0.29253316877532765,0.3953546531890533,0.4397951452508384,0.38332308671878323,1.1355440269346548,2.1268734841373145,-0.21238489866695542,26.0,0.4230769230769231,13953.546531890534,2.372930492772426,0.18476152978898788,83.84302893140092,126.0,-0.09734214743364444,-0.10600003589829443,0.32531942496463817,-0.18048291681334566,-0.25659755049660093,-0.2819564409418195,19.0,0.3157894736842105,9026.578525663555,4.4432145282507145,0.24668193988983667,73.71732765977202,84.0,0.5722259699090788,0.6406228670321532,0.5462759634674272,1.1756183559047173,1.9029207729647228,-0.2785154678813836,29.0,0.41379310344827586,15722.259699090788,4.190903862211024,0.5107488190301136,138.6711500983383,120.0,0.8879073526321597,1.0000971814585502,0.4612757996190175,1.7293852562548464,3.0097124945861804,-0.29253316877532765,38.0,0.34210526315789475,18879.073526321597,3.556124653997662,0.5200279486880566,179.95341582593963,175.0,52.50371944106767,1.2159829542968943,0.4999402492303445,1.832391086909163,3.4259635484972657,-0.31894068582839186,163.0,0.39263803680981596,535037.1944106767,6.5,0.397863013585438,727.6094107988656,786.0,36,0.7857064067533284,0.7606414785969864,0.8108334854477266
30,120,20,14,28.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,48,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.4,True,24,0.4,0.625,1.325,0.3,False,360,0.2,0.1,0.5,0.8557880409729026,0.8167092305797894,1.1472272500899225,-0.13667492910464252,0.7555397290212984,2.103867155102404,-0.29342980952773334,0.3936264280807771,0.4378441706507803,0.38205198578105254,1.1345039504746,2.1249842671161545,-0.21238489866695598,26.0,0.46153846153846156,13936.26428080777,2.372930492772426,0.17813980198308896,82.08041379559941,123.0,-0.08554665162791464,-0.09321043550761288,0.32544705760105413,-0.13667492910464252,-0.19457498842092047,-0.2686793425620645,19.0,0.3684210526315789,9144.533483720854,4.4432145282507145,0.2461515221631144,72.1677646202437,87.0,0.5534477786054597,0.6191957841205675,0.5387080053841548,1.159950549705245,1.8824901982675522,-0.2885113876441656,29.0,0.3793103448275862,15534.477786054596,4.190903862211024,0.4988525550687813,137.97250805175574,119.0,0.7989539493455127,0.8975200646904848,0.45803336073268225,1.6235168592260711,2.8195452401708554,-0.29342980952773334,38.0,0.34210526315789475,17989.539493455126,3.556124653997662,0.5077131796700886,172.95087850806107,169.0,48.61869203346537,1.1828343215820825,0.4969835982879924,1.8099810075702853,3.3922912638972704,-0.32837652811618656,162.0,0.4012345679012346,496186.92033465375,6.5,0.39080372758852494,708.3813102978725,774.0,36,0.7699163534496851,0.7361172253185089,0.8060923715850586
