ema_fast,ema_slow,atr_period,adx_period,adx_enter,adx_exit,trend_separation_atr,rsi_period,rsi_entry,rsi_exit,bb_period,bb_std,mr_stop_atr,mr_max_bars,target_vol,max_leverage,trend_scale,rebound_scale,allow_short,rebalance_bars,vol_risk_enabled,realized_vol_period,vol_baseline_period,vol_shock_enter,vol_shock_exit,vol_shock_scale,vol_momentum_period,momentum_factor_enabled,momentum_factor_period,momentum_factor_threshold,momentum_factor_scale,funding_factor_enabled,funding_lookback,funding_high_threshold,funding_factor_scale,robust_score,minimum_sharpe,sharpe_stability,train_total_return,train_cagr,train_annualized_volatility,train_sharpe,train_sortino,train_max_drawdown,train_trade_count,train_win_rate,train_final_equity,train_max_leverage_observed,train_average_leverage,train_turnover_multiple,train_rebalance_events,validation_total_return,validation_cagr,validation_annualized_volatility,validation_sharpe,validation_sortino,validation_max_drawdown,validation_trade_count,validation_win_rate,validation_final_equity,validation_max_leverage_observed,validation_average_leverage,validation_turnover_multiple,validation_rebalance_events,pre_holdout_total_return,pre_holdout_cagr,pre_holdout_annualized_volatility,pre_holdout_sharpe,pre_holdout_sortino,pre_holdout_max_drawdown,pre_holdout_trade_count,pre_holdout_win_rate,pre_holdout_final_equity,pre_holdout_max_leverage_observed,pre_holdout_average_leverage,pre_holdout_turnover_multiple,pre_holdout_rebalance_events
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,1.78542125771833,1.6011974591824327,0.31956918932799905,4.466878807935763,0.761547864150022,0.40383899336279094,1.6011974591824327,2.6699302327647016,-0.3087283918133584,89.0,0.47191011235955055,54668.78807935763,4.309627027710622,0.3069538657768232,313.9363874863343,324.0,6.735476361917687,1.7799751387248235,0.6302978869722237,1.9207666485104318,3.739007209715736,-0.325013949512869,73.0,0.3835616438356164,77354.76361917687,5.244568746965763,0.6508786904393447,303.05105951743553,209.0,41.28891179225575,1.1141775001200713,0.5067216865789554,1.7212792554203658,3.1362076228750952,-0.3250139495128699,162.0,0.43209876543209874,422889.1179225575,5.244568746965763,0.44456144477425247,616.98744700377,533.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,True,24,-0.01,0.25,True,6,0.0002,0.5,1.7835093583207806,1.601027568145785,0.20082631925737893,4.354258084545051,0.7493684735454078,0.39810395250792374,1.601027568145785,2.6844870912544847,-0.2876733766785128,89.0,0.4606741573033708,53542.58084545051,4.309627027710622,0.29165421227438576,315.7216984914628,357.0,5.012661389569508,1.4510699583590645,0.5901642519635261,1.801853887403164,3.3605896500855783,-0.2924570578016171,73.0,0.3698630136986301,60126.613895695074,5.244568746965763,0.6281641198189148,314.74414619599384,241.0,31.19334085473443,1.0019670232195557,0.4841493455496495,1.6683825358448694,2.967640055111868,-0.2952121504079608,162.0,0.41975308641975306,321933.40854734427,5.244568746965763,0.4262950127205001,630.4658446874566,598.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,True,24,-0.01,0.5,True,6,0.0002,0.5,1.7763589497658354,1.6035478258380649,0.1882544665293906,4.399117428856658,0.7542400737942769,0.39957936898862334,1.6035478258380649,2.686270071499508,-0.29523532284803,89.0,0.4606741573033708,53991.17428856658,4.309627027710622,0.2976058381294118,314.809288875477,356.0,4.960836962282779,1.4404887653528777,0.5915084730160165,1.7918022923674555,3.3342932218272896,-0.2940997313282082,73.0,0.3698630136986301,59608.36962282779,5.244568746965763,0.6343214835854724,311.04477041584437,241.0,31.183258733634112,1.0018416547011197,0.4855319314391458,1.6648910310670602,2.956354600541508,-0.30269406615427086,162.0,0.41975308641975306,321832.5873363411,5.244568746965763,0.4323289562620776,625.8540592913214,597.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,True,48,0.0,0.5,True,6,0.0002,0.5,1.7588395692928398,1.5741634337888104,0.35048583439038694,4.2567545658198735,0.7386852281856904,0.4019979845962847,1.5741634337888104,2.629437337756562,-0.3320201813590137,89.0,0.47191011235955055,52567.54565819874,4.309627027710622,0.3017566468880678,319.12702821784615,348.0,6.546264096598408,1.7457806056593896,0.6192054473196155,1.9246492681791973,3.7375474186636692,-0.28547808255708895,73.0,0.3835616438356164,75462.64096598409,5.244568746965763,0.6395173510854157,293.1445252542582,221.0,38.6688582446763,1.087314349314759,0.5003322529318831,1.7115836515193874,3.11417185958083,-0.3390896190912315,162.0,0.43209876543209874,396688.582446763,5.244568746965763,0.4368979029188622,612.2715534721043,569.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,True,24,-0.01,0.25,True,18,0.00012,0.5,1.7509004371602521,1.566709624471569,0.2045346884471997,4.0841248382486315,0.7194418795564226,0.3949291962284889,1.566709624471569,2.6437332045002764,-0.2876733766785128,89.0,0.4606741573033708,50841.248382486316,4.309627027710622,0.2840809671075819,239.52113858050558,268.0,4.733009876670763,1.3934171337124681,0.5853353742543312,1.7712443129187687,3.310039040618889,-0.2924570578016171,73.0,0.3698630136986301,57330.098766707626,5.244568746965763,0.6202768072437389,288.4849667939533,214.0,28.147337911906508,0.9625749252856268,0.48022823601332965,1.636552746270826,2.9224137691529584,-0.2952121504079609,162.0,0.41975308641975306,291473.37911906507,5.244568746965763,0.4185961062096787,528.0061053744588,482.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,True,24,-0.01,0.25,True,36,0.0002,0.5,1.749417986036724,1.5207775379939996,0.25458144532781235,4.652408150943187,0.7812522939044364,0.44295985283488576,1.5207775379939996,2.567461418678297,-0.28767337667851234,89.0,0.42696629213483145,56524.08150943187,4.309627027710622,0.3042219727580945,250.8728108197115,259.0,4.946209917694128,1.43749398604841,0.598624034585704,1.775358983321812,3.3014485014275907,-0.2924570578016171,73.0,0.3698630136986301,59462.09917694128,5.244568746965763,0.6333275808005424,287.130949308217,207.0,32.61040540599351,1.019283354659502,0.5109297127081611,1.623031273274168,2.8795755150572675,-0.29521215040796045,162.0,0.4012345679012346,336104.0540599351,5.244568746965763,0.4359002428615589,538.0037601279284,466.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,True,48,-0.01,0.5,True,6,0.0002,0.5,1.74865449244838,1.5706929893932216,0.40442944916544765,4.255024346614153,0.7384944635945003,0.4031037729443473,1.5706929893932216,2.62171337342089,-0.334201215593094,89.0,0.48314606741573035,52550.24346614153,4.309627027710622,0.30406556426034204,309.656098625956,337.0,7.239574970377069,1.8690857773190488,0.6282640945478712,1.9751224385586692,3.867739315250714,-0.30979533176777774,73.0,0.3835616438356164,82395.74970377069,5.244568746965763,0.6437010546584901,294.3566251203041,218.0,42.299167075084,1.1241804050535058,0.5053639881247985,1.7338518187418503,3.1707411685924023,-0.3412475707631154,162.0,0.4382716049382716,432991.67075084,5.244568746965763,0.4399569400025677,604.01272374626,555.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,36,0.0002,0.5,1.7435096868204831,1.5164314331518163,0.38059152817699693,4.69967508495837,0.7862032421147331,0.44735259537159855,1.5164314331518163,2.5495426112851733,-0.3087283918133584,89.0,0.449438202247191,56996.7508495837,4.309627027710622,0.3188601584572069,245.95907534016538,224.0,6.658044303715207,1.7660327254856694,0.6380938909634793,1.8970229613288132,3.6797531320294015,-0.325013949512869,73.0,0.3835616438356164,76580.44303715207,5.244568746965763,0.6559796447698686,275.4378626296587,175.0,42.64836431739268,1.1275945138292651,0.5319160427494437,1.675426932810652,3.0398858515022456,-0.32501394951286955,162.0,0.41975308641975306,436483.64317392674,5.244568746965763,0.45374485714059803,521.3969379698241,399.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,True,48,0.0,0.25,True,6,0.0002,0.5,1.7422032863463177,1.5479248571774102,0.39108137755936245,4.076369422392438,0.7185672118968531,0.4010518376162763,1.5479248571774102,2.5846584548475144,-0.34503609832050686,89.0,0.47191011235955055,50763.69422392438,4.309627027710622,0.2984896975828033,323.4179798576117,349.0,6.627212371805739,1.7604615088955162,0.6165435388206035,1.9390062347367727,3.765518360057377,-0.26391989499289337,73.0,0.3835616438356164,76272.1237180574,5.244568746965763,0.6342696400043443,289.04357837361437,221.0,37.7185476623281,1.0772195567344451,0.498560723546163,1.7062041836138615,3.103619545162272,-0.3519677845639533,162.0,0.43209876543209874,387185.476623281,5.244568746965763,0.4328384320711156,612.4615582312261,570.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,True,24,-0.01,0.25,True,6,0.00012,0.5,1.7393065342443566,1.5720265525600507,0.26898929896771095,3.943771128110556,0.7034727562505221,0.385429207021754,1.5720265525600507,2.633975316596662,-0.2876733766785128,89.0,0.449438202247191,49437.711281105556,4.309627027710622,0.28165477582001297,261.07176481705335,300.0,4.96142973878691,1.440610054411743,0.5684402569651851,1.8410158515277617,3.521273537956945,-0.2939902730990983,73.0,0.3835616438356164,59614.2973878691,5.244568746965763,0.5929705468767399,322.34383340855845,248.0,28.471944224874484,0.9669255274160928,0.4673085998192471,1.6736580890152866,3.0159729471044328,-0.2952121504079609,162.0,0.41975308641975306,294719.44224874483,5.244568746965763,0.40621516369218996,583.4155982256118,548.0
