candidate,adx_enter,rebalance_bars,funding_factor_scale,downside_stress_threshold,downside_stress_scale,train_sharpe,validation_sharpe,minimum_period_sharpe,pre_total_return,pre_cagr,pre_annualized_volatility,pre_sharpe,pre_sortino,pre_max_drawdown,pre_trade_count,pre_win_rate,pre_final_equity,pre_fees_paid,pre_funding_paid,micro_robust_score
adaptive_v2_stress_030,26.0,60,0.4,0.625,0.3,1.73272636902795,1.8737176101965858,1.73272636902795,34.7627049535856,1.044365448997798,0.463598075890528,1.7744600155154548,3.229725529028666,-0.308177799210937,103.0,0.3883495145631068,357627.049535856,39288.41476362521,36037.145244895975,2.0475909561463173
adaptive_v2_stress_035,26.0,60,0.4,0.625,0.35,1.7380420377585466,1.869616671075241,1.7380420377585466,35.139514533975415,1.0486536872750398,0.4649262854585733,1.7752351063281326,3.2288179510980695,-0.3135714193172001,133.0,0.37593984962406013,361395.1453397542,39718.78222629326,36757.725992044056,2.0438646541173218
adaptive_v2_stress_040,26.0,60,0.4,0.625,0.4,1.7421117713852656,1.8652914101407356,1.7421117713852656,35.506061873253806,1.052790948723807,0.4664517148706345,1.7752850635202706,3.226122565142745,-0.31880925875753996,94.0,0.39361702127659576,365060.6187325381,40147.20002941501,37477.5989994195,2.0395637838953933
adaptive_v1,27.0,72,0.5,0.625,0.35,1.6207427042644449,1.9715928188586451,1.6207427042644449,35.29855623281477,1.0504529131603286,0.469367415358829,1.7647918543485264,3.1893512490768408,-0.3191186277439494,105.0,0.4095238095238095,362985.5623281477,35566.65155786839,36139.216574010985,1.9656845594574426
