ema_fast,ema_slow,atr_period,adx_period,adx_enter,adx_exit,trend_separation_atr,rsi_period,rsi_entry,rsi_exit,bb_period,bb_std,mr_stop_atr,mr_max_bars,target_vol,max_leverage,trend_scale,rebound_scale,allow_short,rebalance_bars,vol_risk_enabled,realized_vol_period,vol_baseline_period,vol_shock_enter,vol_shock_exit,vol_shock_scale,vol_momentum_period,momentum_factor_enabled,momentum_factor_period,momentum_factor_threshold,momentum_factor_scale,funding_factor_enabled,funding_lookback,funding_high_threshold,funding_factor_scale,downside_allocation_enabled,downside_vol_period,downside_calm_threshold,downside_stress_threshold,downside_calm_boost,downside_stress_scale,drawdown_brake_enabled,price_drawdown_lookback,price_drawdown_enter,price_drawdown_exit,price_drawdown_scale,train_cagr,train_sharpe,train_sortino,train_max_drawdown,train_average_leverage,train_turnover_multiple,validation_cagr,validation_sharpe,validation_sortino,validation_max_drawdown,validation_average_leverage,validation_turnover_multiple,pre_cagr,pre_sharpe,pre_sortino,pre_max_drawdown,pre_average_leverage,pre_turnover_multiple
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.6,1.25,0.35,False,360,0.2,0.1,0.5,0.845022414394671,1.7486755757323356,3.1508171029951297,-0.24460393326758412,0.26608440958782725,337.2387617236543,1.4881023565318698,1.8993559864178566,3.5911362559998166,-0.31793817519753087,0.5359888853448228,346.4305121658281,1.079366896870972,1.7942618031941313,3.3178211802368325,-0.3179381751975301,0.37407574608392125,683.6692738894825
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.6,1.25,0.4,False,360,0.2,0.1,0.5,0.850028780628042,1.7493402708416916,3.1473891567084813,-0.24958389248503343,0.2698756487398551,337.7592512076823,1.4985433913115305,1.9014494658121324,3.5903942458449394,-0.32163142538761635,0.5446046500654942,345.800460408378,1.0862416806897897,1.7956685742921148,3.315710802913681,-0.32163142538761613,0.3797973235997578,683.5597116160603
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.6,1.25,0.45,False,360,0.2,0.1,0.5,0.8548743073072964,1.7489839147780453,3.1413756877378756,-0.2545746470927057,0.2736668878918829,338.2797406917103,1.5086160049960746,1.9025535610419857,3.586871540069916,-0.3253313134997048,0.5532204147861656,345.17040865092787,1.0928835540813795,1.7960920273101408,3.3109668286776657,-0.3253313134997051,0.3855189011155942,683.4501493426383
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.6,1.25,0.5,False,360,0.2,0.1,0.5,0.8593412498506872,1.7473662098050433,3.132380058322475,-0.25957564329854754,0.27745450997669774,338.7825328194,1.5183160633272892,1.9026927916862837,3.5806737496190633,-0.32903755247658806,0.561836179506837,344.5403568934778,1.099143819193829,1.7954197442388156,3.3034306712581514,-0.3290375524765886,0.39123830878705995,683.3228897128778
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.625,1.25,0.35,False,360,0.2,0.1,0.5,0.8544791048236653,1.7218783890310592,3.086944895416549,-0.27242934891286685,0.27651137543918,332.5366769960315,1.6902253022701812,2.0073447199838412,3.7959818951697675,-0.3007272163606546,0.5616937081992671,329.7148448908363,1.1519540875374474,1.8331022130577956,3.3817313473144073,-0.30072721636065347,0.3906155271893845,662.2515218868677
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.625,1.25,0.4,False,360,0.2,0.1,0.5,0.8564536347209821,1.7207016450974923,3.080625985235256,-0.2749031411010072,0.27946387337226847,333.9880500464441,1.6891975343853098,2.0026285273808173,3.7832878011631283,-0.30573753142265825,0.568003498037017,330.178671944158,1.152999073788433,1.8302600821460957,3.372474744607055,-0.30573753142265814,0.3949113094039768,664.1667219906021
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.625,1.25,0.45,False,360,0.2,0.1,0.5,0.8583115320867927,1.718888324576623,3.072494586022049,-0.2774030491678007,0.28241637130535696,335.4394230968567,1.6878480492184855,1.9972158237486102,3.7685383349576145,-0.3107373594471601,0.5743132878747669,330.6424989974797,1.1538587563103118,1.8267631913923499,3.3613212842224494,-0.3107373594471593,0.3992070916185691,666.0819220943365
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.625,1.25,0.5,False,360,0.2,0.1,0.5,0.8601176968260862,1.7165380962050025,3.062771979009484,-0.27992883088492737,0.2853733676656802,336.89079614726927,1.6861551816487137,1.9911110734716337,3.7517862587034263,-0.3157264531871231,0.5806218662142957,331.1063260508014,1.1545711449186626,1.82266432907208,3.348411044817421,-0.31572645318712333,0.40350508766515353,667.9971221980707
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.25,0.35,False,360,0.2,0.1,0.5,0.8649616691911832,1.7162818208755337,3.065181779798899,-0.282973090739706,0.28466419737904847,349.1312324311309,1.5313179340739604,1.8871603654562,3.505566666684724,-0.32535979318228425,0.5802973563376602,325.0544426844724,1.10728459955254,1.773379647904755,3.2336347279559816,-0.32535979318228614,0.4029498236509397,674.1856751156033
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.25,0.4,False,360,0.2,0.1,0.5,0.8658110819114329,1.7146565280764554,3.058391027045306,-0.2846156597589147,0.28698501849405295,349.33102317290104,1.5393011062934692,1.8897706956406288,3.5098182172887027,-0.32420004002386393,0.5850548835096252,326.0294257777963,1.1105172027923582,1.773789230794761,3.232185671605993,-0.3242000400238634,0.40624559393268644,675.3604489506974
