ema_fast,ema_slow,atr_period,adx_period,adx_enter,adx_exit,trend_separation_atr,rsi_period,rsi_entry,rsi_exit,bb_period,bb_std,mr_stop_atr,mr_max_bars,target_vol,max_leverage,trend_scale,rebound_scale,allow_short,rebalance_bars,vol_risk_enabled,realized_vol_period,vol_baseline_period,vol_shock_enter,vol_shock_exit,vol_shock_scale,vol_momentum_period,momentum_factor_enabled,momentum_factor_period,momentum_factor_threshold,momentum_factor_scale,funding_factor_enabled,funding_lookback,funding_high_threshold,funding_factor_scale,downside_allocation_enabled,downside_vol_period,downside_calm_threshold,downside_stress_threshold,downside_calm_boost,downside_stress_scale,drawdown_brake_enabled,price_drawdown_lookback,price_drawdown_enter,price_drawdown_exit,price_drawdown_scale,robust_score,minimum_sharpe,minimum_calmar,sharpe_stability,train_total_return,train_cagr,train_annualized_volatility,train_sharpe,train_sortino,train_max_drawdown,train_trade_count,train_win_rate,train_final_equity,train_max_leverage_observed,train_average_leverage,train_turnover_multiple,train_rebalance_events,validation_total_return,validation_cagr,validation_annualized_volatility,validation_sharpe,validation_sortino,validation_max_drawdown,validation_trade_count,validation_win_rate,validation_final_equity,validation_max_leverage_observed,validation_average_leverage,validation_turnover_multiple,validation_rebalance_events,pre_holdout_total_return,pre_holdout_cagr,pre_holdout_annualized_volatility,pre_holdout_sharpe,pre_holdout_sortino,pre_holdout_max_drawdown,pre_holdout_trade_count,pre_holdout_win_rate,pre_holdout_final_equity,pre_holdout_max_leverage_observed,pre_holdout_average_leverage,pre_holdout_turnover_multiple,pre_holdout_rebalance_events
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,48,0.4,0.65,1.25,0.4,False,360,0.2,0.1,0.5,1.5889491425770677,1.7377800750245185,2.949485541774561,0.0007025729599603459,5.230349879515901,0.8399979492929963,0.39471174629609335,1.7384826479844788,3.025049887978781,-0.28479473365636865,89.0,0.48314606741573035,62303.498795159016,4.309627027710622,0.28436287025200513,301.6138586320306,376.0,4.167263754017938,1.2723103977781451,0.5588471391089774,1.7377800750245185,3.1686650543755173,-0.3345081713212864,73.0,0.3287671232876712,51672.63754017938,5.244568746965763,0.5796525117389417,286.65648821976697,267.0,31.19386110727261,1.0019734915704142,0.4673146297956872,1.7121956514081647,3.054585849319289,-0.3345081713212872,162.0,0.41358024691358025,321938.6110727261,5.244568746965763,0.40251105193068637,588.2703468517975,643.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,48,0.4,0.65,1.4,0.4,False,360,0.2,0.1,0.5,1.5852342138992583,1.7286966973996327,2.975464894277779,0.012486399749322308,5.431245486705857,0.8595643286374555,0.40547061985807903,1.7286966973996327,3.013055296531662,-0.2888840430584524,89.0,0.47191011235955055,64312.454867058565,4.309627027710622,0.28864540208653033,308.766551484336,376.0,4.640661917094402,1.3740709518442742,0.593255082095001,1.741183097148955,3.227304641863505,-0.356230646376996,73.0,0.3287671232876712,56406.61917094402,5.444020686907667,0.5935115406866946,298.0127732277428,267.0,35.27648149634704,1.050337852416288,0.48929193877027943,1.7038947146128431,3.0723174009411887,-0.3562306463769941,162.0,0.4074074074074074,362764.8149634704,5.444020686907667,0.41062523094078335,606.7793247120787,643.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,48,0.4,0.65,1.1,0.4,False,360,0.2,0.1,0.5,1.5767004737414307,1.7270701246296818,2.920158334879072,0.01727423486390367,5.026830194917348,0.8197422468038817,0.38491860412893675,1.7443443594935855,3.030022650102056,-0.2807184244130476,89.0,0.48314606741573035,60268.30194917348,4.309627027710622,0.28008033841748,294.6468963952217,376.0,3.7144873677816754,1.1705193473218083,0.5264485826292027,1.7270701246296818,3.0928995640661867,-0.3158392202032516,73.0,0.3287671232876712,47144.87367781675,5.244568746965763,0.5657934827911887,275.79178961593334,267.0,27.41341482170303,0.9525935947041244,0.4469181439823729,1.715069247906158,3.025610957191363,-0.3158392202032525,162.0,0.41358024691358025,284134.1482170303,5.244568746965763,0.39439687292058956,570.4386860111549,643.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.25,0.4,False,360,0.2,0.1,0.5,1.5689001902792938,1.7146565280764554,3.0420359956469825,0.17511416756417342,5.496281029914908,0.8658110819114329,0.41211384517916855,1.7146565280764554,3.058391027045306,-0.2846156597589147,89.0,0.4606741573033708,64962.810299149074,5.065110384599593,0.28698501849405295,349.33102317290104,456.0,5.4535362340119065,1.5393011062934692,0.5782439044561349,1.8897706956406288,3.5098182172887027,-0.32420004002386393,73.0,0.3287671232876712,64535.36234011906,6.0,0.5850548835096252,326.0294257777963,303.0,40.92398501288007,1.1105172027923582,0.4854219565613487,1.773789230794761,3.232185671605993,-0.3242000400238634,162.0,0.4012345679012346,419239.85012880067,6.0,0.40624559393268644,675.3604489506974,759.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.1,0.4,False,360,0.2,0.1,0.5,1.5681943582725666,1.7235582922777435,2.9626629401916746,0.11707910083860429,5.028654735710407,0.8199258483760619,0.39079217945425143,1.7235582922777435,3.049996275462924,-0.2767529971948194,89.0,0.4606741573033708,60286.547357104064,4.457297138447642,0.27719055032233425,327.76790303774425,456.0,4.471176473685142,1.3381482397675488,0.5373754882915064,1.8406373931163478,3.350500301669456,-0.31183984596142345,73.0,0.3424657534246575,54711.764736851415,5.934586397089843,0.5647233586707737,306.1898534175175,304.0,31.983833957989425,1.0117002235007133,0.45510784931223164,1.7572385378431008,3.154574487225126,-0.3118398459614239,162.0,0.4074074074074074,329838.33957989427,5.934586397089843,0.3922351496122682,633.9577564552619,760.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,False,360,0.2,0.1,0.5,1.5643590052078418,1.7003615386914104,3.111717811043021,0.22575533451300078,5.974638582938904,0.910524100883072,0.4349073779735664,1.7003615386914104,3.054751227046662,-0.2926113986466762,89.0,0.43820224719101125,69746.38582938904,5.672923630751543,0.29677948666577175,372.16927415370264,456.0,6.571266560803164,1.75032346278179,0.6210066089195813,1.9261168732044112,3.640758526748455,-0.34131899229744844,73.0,0.3287671232876712,75712.66560803165,6.0,0.6051081854814909,346.7982842756038,303.0,51.80684787669308,1.210181976945465,0.517430876741613,1.782092953777575,3.290821804277487,-0.34131899229744767,162.0,0.3888888888888889,528068.4787669308,6.0,0.4201447186495105,718.9675584293066,759.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.25,0.6,False,360,0.2,0.1,0.5,1.5547001449254667,1.7035414380726075,2.9788254400647256,0.19111913196614427,5.5218489559756145,0.8682554982033797,0.4166912357390407,1.7035414380726075,3.017250799310929,-0.2914757899289707,89.0,0.47191011235955055,65218.48955975615,5.065110384599593,0.29626830295407125,350.31228928867915,456.0,5.6045420236644565,1.5688242281016787,0.5848378410150982,1.8946605700387518,3.5136757698171532,-0.3350751763099583,73.0,0.3287671232876712,66045.42023664457,6.0,0.6040849921974842,330.35443134658914,303.0,42.073825501733204,1.1219655234592234,0.49089591389112236,1.7704266083098181,3.213054118352561,-0.335075176309957,162.0,0.4074074074074074,430738.25501733203,6.0,0.4194286750596733,680.6667206352683,759.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.1,0.6,False,360,0.2,0.1,0.5,1.5525209565583338,1.7106724548475987,2.898637326147361,0.1341291727897993,5.052382188050968,0.8223101500007202,0.39561646740371836,1.7106724548475987,3.004411132951942,-0.2836885258404057,89.0,0.47191011235955055,60523.821880509684,4.457297138447642,0.2864738347823525,328.7491691535223,456.0,4.59919509147228,1.3653324489277598,0.5444678569544769,1.844801627637398,3.3539757142613706,-0.3137193309807931,73.0,0.3424657534246575,55991.9509147228,5.934586397089843,0.583753467358633,310.5148589863104,304.0,32.888468639049286,1.0226124467489166,0.46094334343277216,1.7524765154562294,3.1330036735105247,-0.3137193309807935,162.0,0.41358024691358025,338884.6863904929,5.934586397089843,0.40541823073925515,639.2640281398326,760.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.6,False,360,0.2,0.1,0.5,1.5515578481682528,1.6908858713083015,3.0495751121307095,0.2407963286471213,6.002089218582219,0.9130270961132068,0.4392471916751546,1.6908858713083015,3.017986076363049,-0.29939485421471823,89.0,0.449438202247191,70020.89218582219,5.672923630751543,0.30606277112579,373.1505402694807,456.0,6.748427436821362,1.7823002823980092,0.6271482754020336,1.9316821999554228,3.6453785091903503,-0.35611475259274383,73.0,0.3287671232876712,77484.27436821362,6.0,0.6241382941693502,351.1232898443967,303.0,53.25518021633341,1.222171001066482,0.5225684157891518,1.7799936938690883,3.274262210459951,-0.35611475259274405,162.0,0.3950617283950617,542551.8021633341,6.0,0.4333277997764973,724.2738301138775,759.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,48,0.35,0.65,1.1,0.4,False,360,0.2,0.1,0.5,1.5496152150682516,1.7051037468344798,2.8577414630499853,0.018384082574122607,4.817321457575612,0.7984083199086556,0.3821326949999738,1.7234878294086025,2.986929322284131,-0.2793843775694591,89.0,0.48314606741573035,58173.214575756116,4.309627027710622,0.2775137462612781,292.9779522896157,370.0,3.1657347538414973,1.0403491244618879,0.48624446286331374,1.7051037468344798,2.9160617286501753,-0.29268872375312527,73.0,0.3287671232876712,41657.34753841497,5.244568746965763,0.5511790494036801,272.1501883369048,257.0,23.23341817009064,0.8914485079471441,0.4268082355537157,1.702752473176822,2.9273329437104567,-0.29268872375312494,162.0,0.41358024691358025,242334.1817009064,5.244568746965763,0.3870098254058298,565.1281406265205,627.0
