ema_fast,ema_slow,atr_period,adx_period,adx_enter,adx_exit,trend_separation_atr,rsi_period,rsi_entry,rsi_exit,bb_period,bb_std,mr_stop_atr,mr_max_bars,target_vol,max_leverage,trend_scale,rebound_scale,allow_short,rebalance_bars,vol_risk_enabled,realized_vol_period,vol_baseline_period,vol_shock_enter,vol_shock_exit,vol_shock_scale,vol_momentum_period,train_cagr,train_sharpe,train_max_drawdown,train_turnover_multiple,train_max_leverage_observed,validation_cagr,validation_sharpe,validation_max_drawdown,validation_turnover_multiple,validation_max_leverage_observed,pre_cagr,pre_sharpe,pre_max_drawdown,pre_turnover_multiple,pre_max_leverage_observed,score
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.15,6.0,1.35,0.65,False,72,True,12,90,1.25,1.1,0.25,36,0.8827969279601569,1.3499702439723924,-0.36029973728107023,300.5518667168461,5.097673112777707,2.1844322760001043,1.892315505424162,-0.3759611781575223,324.8948686140819,6.0,1.3231770969618228,1.5866800508390566,-0.3759611781575233,625.446735330928,6.0,1.5090419451101202
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.15,6.0,1.35,0.5,False,72,True,12,90,1.25,1.1,0.25,36,0.8799078300191263,1.3476350332188631,-0.3636166776128469,298.46579390531946,5.097673112777707,2.180121839355921,1.8906546421119992,-0.3754333842655889,323.6612054800786,6.0,1.3197806687869331,1.584671117906804,-0.3754333842655897,622.1269993853981,6.0,1.5054898882224506
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.1,6.0,1.35,0.65,False,72,True,12,90,1.25,1.1,0.25,36,0.8458381979564025,1.3499749250696484,-0.3463026316093697,287.48439425089634,4.87603515135259,2.1251934993096424,1.9038731231627886,-0.3618469826146077,311.15845374200734,5.933854925138408,1.2785322234718262,1.5924929764069664,-0.36184698261460724,598.6428479929036,5.933854925138408,1.4758475611322388
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.1,6.0,1.35,0.5,False,72,True,12,90,1.25,1.1,0.25,36,0.8431213838521259,1.3476397121611765,-0.3495513368295895,285.48902025726215,4.87603515135259,2.121138262739694,1.902232335194134,-0.36133089709305655,309.97842813556946,5.933854925138408,1.275337690224418,1.5904965847208337,-0.361330897093057,595.4674483928316,5.933854925138408,1.4724773183266489
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.15,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,0.820382705245776,1.3507647557744278,-0.33524909667899006,278.95836909707594,4.720067697016395,2.0374827882642976,1.9044252440226532,-0.35196801993327753,301.6015645441147,5.744051484772026,1.2340433027416018,1.5931664943869754,-0.3519680199332774,580.5599336411906,5.744051484772026,1.4393656972157238
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.15,6.0,1.25,0.5,False,72,True,12,90,1.25,1.1,0.25,36,0.8175893801412426,1.3482753531619935,-0.33869592828171335,276.8722962855493,4.720067697016395,2.033371273729315,1.9026723956427718,-0.3514199282838374,300.3679014101115,5.744051484772026,1.2307771894640465,1.5910372442122775,-0.3514199282838374,577.2401976956608,5.744051484772026,1.4359046918263583
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.35,0.65,False,72,True,12,90,1.25,1.1,0.25,36,0.8083198454722533,1.3499796061100124,-0.3321393762663576,274.41692178494645,4.654397189927472,1.9990146936324056,1.9038686458797416,-0.3475279995757813,297.01488766282523,5.664134246723025,1.2138344489623054,1.5924934959875106,-0.34752799957578073,571.4318094477717,5.664134246723025,1.4224638359022292
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.35,0.5,False,72,True,12,90,1.25,1.1,0.25,36,0.8057721396151534,1.3476443910466707,-0.33531401174937614,272.5122466092048,4.654397189927472,1.9952919107642622,1.9022278621018354,-0.3470244936272626,295.88849958395264,5.664134246723025,1.2108640854261146,1.5904971048717138,-0.3470244936272635,568.4007461931574,5.664134246723025,1.419295780677266
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.15,5.0,1.35,0.65,False,72,True,12,90,1.25,1.1,0.25,36,0.8816967159483784,1.3491004514671987,-0.36029973728107056,300.35652049129067,5.0,1.8416502793391518,1.8154812481350002,-0.37596117815752295,322.8948686140819,5.0,1.2189257968023064,1.548923504292608,-0.3759611781575227,623.2513891053726,5.0,1.403190057999498
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.15,5.0,1.35,0.5,False,72,True,12,90,1.25,1.1,0.25,36,0.8788093062511602,1.3467647581738236,-0.3636166776128461,298.27044767976406,5.0,1.8378038312340017,1.8137168785687732,-0.3754333842655886,321.6612054800786,5.0,1.2156817814820364,1.5468526940610907,-0.3754333842655889,619.9316531598427,5.0,1.3997842104688383
