ema_fast,ema_slow,atr_period,adx_period,adx_enter,adx_exit,trend_separation_atr,rsi_period,rsi_entry,rsi_exit,bb_period,bb_std,mr_stop_atr,mr_max_bars,target_vol,max_leverage,trend_scale,rebound_scale,allow_short,short_scale,short_momentum_gate_enabled,rebalance_bars,vol_risk_enabled,realized_vol_period,vol_baseline_period,vol_shock_enter,vol_shock_exit,vol_shock_scale,vol_momentum_period,momentum_factor_enabled,momentum_factor_period,momentum_factor_threshold,momentum_factor_scale,funding_factor_enabled,funding_lookback,funding_high_threshold,funding_factor_scale,downside_allocation_enabled,downside_vol_period,downside_calm_threshold,downside_stress_threshold,downside_calm_boost,downside_stress_scale,drawdown_brake_enabled,price_drawdown_lookback,price_drawdown_enter,price_drawdown_exit,price_drawdown_scale,robust_score,train_total_return,train_cagr,train_annualized_volatility,train_sharpe,train_sortino,train_max_drawdown,train_trade_count,train_win_rate,train_final_equity,train_max_leverage_observed,train_average_leverage,train_turnover_multiple,train_rebalance_events,validation_total_return,validation_cagr,validation_annualized_volatility,validation_sharpe,validation_sortino,validation_max_drawdown,validation_trade_count,validation_win_rate,validation_final_equity,validation_max_leverage_observed,validation_average_leverage,validation_turnover_multiple,validation_rebalance_events,pre_total_return,pre_cagr,pre_annualized_volatility,pre_sharpe,pre_sortino,pre_max_drawdown,pre_trade_count,pre_win_rate,pre_final_equity,pre_max_leverage_observed,pre_average_leverage,pre_turnover_multiple,pre_rebalance_events,holdout_total_return,holdout_cagr,holdout_annualized_volatility,holdout_sharpe,holdout_sortino,holdout_max_drawdown,holdout_trade_count,holdout_win_rate,holdout_final_equity,holdout_max_leverage_observed,holdout_average_leverage,holdout_turnover_multiple,holdout_rebalance_events
30,120,20,14,26.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,0.35,False,60,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.3,True,24,0.4,0.625,1.325,0.3,False,360,0.2,0.1,0.5,1.7453068812286587,6.8010841452833395,0.9831810896886957,0.41635673949781343,1.846829112415249,3.4097371696261645,-0.2559192671790028,93.0,0.41935483870967744,78010.8414528334,5.496850745953556,0.2786683359838298,389.9475634344974,472.0,6.023267413616916,1.648967005450682,0.5945105237509078,1.9226826246922941,3.6780128762686366,-0.3071868664278199,73.0,0.3150684931506849,70232.67413616917,6.5,0.5647028257584625,365.7130204593577,324.0,53.789100068451965,1.2265261262941083,0.49535099349681355,1.8543138277665734,3.4887170502330305,-0.3071868664278208,166.0,0.37349397590361444,547891.0006845196,6.5,0.39311344382469277,755.6605838938551,796.0,0.2484759890589756,0.15087404092367218,0.39691603513163143,0.5507338966367294,0.8787027431892998,-0.27436445189953984,53.0,0.33962264150943394,12484.759890589756,4.491383327994463,0.4446816821631433,258.9736019166271,193.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,0.35,False,60,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.3,True,24,0.4,0.625,1.325,0.3,False,360,0.2,0.1,0.5,1.742906861537208,6.391163683177947,0.9478204424393448,0.41203028300013556,1.8182699747167275,3.3576251775578108,-0.2748859822604911,89.0,0.43820224719101125,73911.63683177947,5.496850745953556,0.2683203323656663,374.2596403831611,452.0,6.433210572034212,1.7251445656096425,0.5926741133340441,1.974595783713861,3.7953242823769475,-0.30709522373433085,73.0,0.3287671232876712,74332.10572034212,6.5,0.5603575415779177,358.8498678701227,323.0,53.94007602943356,1.2277514604035038,0.49229554630496886,1.8638819828583009,3.516487626808131,-0.30709522373433096,162.0,0.3888888888888889,549400.7602943357,6.5,0.38516718509372105,733.1095082532838,775.0,0.24138970443167374,0.14673348081836468,0.39602418090333275,0.5419780977622425,0.864596996514653,-0.2874249986795374,54.0,0.3333333333333333,12413.897044316736,4.491383327994463,0.437461430055221,259.121933512921,194.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,0.35,False,60,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.3,True,24,0.4,0.625,1.325,0.25,False,360,0.2,0.1,0.5,1.7425650998035853,6.3539164577733,0.9445432138293701,0.41121908309002714,1.8169503944339411,3.358402622350794,-0.27241943192914964,89.0,0.43820224719101125,73539.164577733,5.496850745953556,0.26542029248799226,372.61045346797346,453.0,6.424437160292669,1.7235365814598067,0.5915084814623559,1.9763316662413764,3.800703157107705,-0.30185091237082406,73.0,0.3287671232876712,74244.3716029267,6.5,0.55394417919704,358.2087616776451,324.0,53.59869062277995,1.2249768886970793,0.49132705501408086,1.8640547047962073,3.5194563001360506,-0.30185091237082395,162.0,0.3888888888888889,545986.9062277995,6.5,0.38086143161460084,730.8192151456186,777.0,0.24442018003119315,0.1485052647229057,0.3946570992833985,0.5464000212816675,0.8712952095556276,-0.28964952993975845,54.0,0.3333333333333333,12444.201800311932,4.491383327994463,0.4294823366104812,257.6044873288541,194.0
30,120,20,14,26.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,0.35,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.3,True,24,0.4,0.625,1.325,0.3,False,360,0.2,0.1,0.5,1.7418320262680518,6.626728151967527,0.9682959077811049,0.4168465496026754,1.8271481182992935,3.357422966149342,-0.26126479973776073,93.0,0.41935483870967744,76267.28151967528,5.496850745953556,0.2799218557820578,390.2617546381613,472.0,6.545985709429918,1.745729981371027,0.6058822474438594,1.9570296511189014,3.7194163079749996,-0.3136114867797587,73.0,0.3287671232876712,75459.85709429918,6.5,0.5795793883814822,363.93028488495673,321.0,56.551181644453955,1.248528761115296,0.5010808176637821,1.8584422667688867,3.4772580753765956,-0.31361148677975803,166.0,0.3795180722891566,575511.8164445396,6.5,0.3998176720547339,754.1920395231181,793.0,0.2956539523781938,0.17822404393269387,0.3962424580782743,0.6101567029473128,0.9793186047253257,-0.27017175772671487,53.0,0.33962264150943394,12956.539523781938,4.491383327994463,0.4424966781893185,258.6107864129748,197.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,0.35,False,60,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.3,True,24,0.4,0.625,1.325,0.2,False,360,0.2,0.1,0.5,1.7414347295730004,6.314578038994553,0.9410699516891992,0.41055470144795914,1.8148722386267677,3.35693346628825,-0.26998079605575553,89.0,0.43820224719101125,73145.78038994553,5.496850745953556,0.26249386927510154,370.9612665527859,453.0,6.41377143241247,1.721580494389097,0.5905516103964812,1.9773663454657577,3.8039425024706355,-0.3026797165500804,73.0,0.3287671232876712,74137.7143241247,6.5,0.5475300726101121,357.56765548516745,324.0,53.228609705649596,1.221953374172903,0.4905328044210678,1.86350943019571,3.5202750875239914,-0.3026797165500804,162.0,0.3888888888888889,542286.097056496,6.5,0.37653955325862243,728.5289220379533,777.0,0.24726400137919602,0.1501664813198038,0.39353439935220885,0.5505082921947293,0.8774406961412602,-0.2919097056710328,54.0,0.3333333333333333,12472.64001379196,4.491383327994463,0.4215032431657412,256.08704114478724,194.0
30,120,20,14,26.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,0.35,False,60,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.3,True,24,0.4,0.625,1.325,0.25,False,360,0.2,0.1,0.5,1.7413376650498016,6.711822032006127,0.975588599951795,0.4154125375628381,1.8408527447517073,3.4008725081228652,-0.255468423761519,93.0,0.41935483870967744,77118.22032006127,5.496850745953556,0.27561557081798865,388.0667309676402,473.0,6.019184410034842,1.648197251113285,0.5933537562381378,1.9247925184498622,3.683897860309703,-0.30192786144188855,73.0,0.3150684931506849,70191.84410034842,6.5,0.558334051793592,365.3077433747443,325.0,53.1307009800205,1.2211507115088214,0.4943199063877879,1.8522661393176318,3.4869302457804943,-0.3019278614418891,166.0,0.37349397590361444,541307.009800205,6.5,0.388733912138824,753.3744743423845,798.0,0.25067234174574815,0.15215563214112415,0.3955545610841426,0.5540819986353634,0.8836775281556365,-0.27709392868691785,53.0,0.33962264150943394,12506.72341745748,4.491383327994463,0.4366614985213303,257.48735703832665,193.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,0.35,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.3,True,24,0.4,0.625,1.325,0.3,False,360,0.2,0.1,0.5,1.7396621945986084,6.2306119051941495,0.9336145489082228,0.41245833175528257,1.7991374813581162,3.3066580008196724,-0.28009525649602096,89.0,0.43820224719101125,72306.1190519415,5.496850745953556,0.26950089007805833,374.45974562674314,451.0,6.984538696055756,1.8243541768915992,0.6040304977319173,2.0078756920301557,3.83308234934223,-0.31351758509661476,73.0,0.3424657534246575,79845.38696055756,6.5,0.5750806056444693,356.9532825121578,320.0,56.733100553183924,1.2499480306151773,0.4980035555451807,1.868112918666405,3.504666808186667,-0.3135175850966151,162.0,0.3950617283950617,577331.0055318392,6.5,0.39176622783342036,731.4130281389008,771.0,0.28696270550238,0.1732133667982685,0.3953989610589837,0.5998350408459217,0.9624994674334564,-0.2840516539374027,54.0,0.3333333333333333,12869.6270550238,4.491383327994463,0.4353459101976103,258.82784772650666,198.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,0.35,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.3,True,24,0.4,0.625,1.325,0.25,False,360,0.2,0.1,0.5,1.7391074798006407,6.192993258180921,0.9302556381396638,0.41164780181932425,1.7976456591682248,3.3069715782301166,-0.2776464217158059,89.0,0.43820224719101125,71929.9325818092,5.496850745953556,0.2665706379277039,372.81066998769813,452.0,6.973615323121623,1.8224224459105263,0.6028862024367383,2.0094156268880154,3.837804582450156,-0.3084937040945439,73.0,0.3424657534246575,79736.15323121623,6.5,0.5686765705436211,356.2999435487248,321.0,56.354161262541844,1.246987620649532,0.497045803163852,1.868109543111546,3.5070887099528774,-0.30849370409454346,162.0,0.3950617283950617,573541.6126254185,6.5,0.38744608223106214,729.1106135364229,773.0,0.28973487722084545,0.17481292339001864,0.3940192160280983,0.6040136339088299,0.9688274663863995,-0.28617825071389014,54.0,0.3333333333333333,12897.348772208456,4.491383327994463,0.4273497169246178,257.2846894895438,198.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,0.35,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.3,True,24,0.4,0.625,1.325,0.2,False,360,0.2,0.1,0.5,1.7378994159647456,6.154721243517425,0.9268263490165807,0.4109839785656184,1.7955592012353065,3.3053820246403225,-0.27522530082438545,89.0,0.43820224719101125,71547.21243517425,5.496850745953556,0.2636431490969366,371.1615943486532,452.0,6.960663256089411,1.8201302367204115,0.6019468356165384,2.010268130445085,3.8404749844792274,-0.3034598398583851,73.0,0.3424657534246575,79606.63256089411,6.5,0.5622717912367229,355.6466045852918,321.0,55.9563265108319,1.2438627057081306,0.4962603536146897,1.8674793727680135,3.507584575939714,-0.30345983985838376,162.0,0.3950617283950617,569563.265108319,6.5,0.3831272965540706,726.8081989339448,773.0,0.2923104401874137,0.1762979060259502,0.3928860390249615,0.6078375073682853,0.9745248666438263,-0.2883412005905679,54.0,0.3333333333333333,12923.104401874138,4.491383327994463,0.4193535236516255,255.7415312525809,198.0
30,120,20,14,26.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,0.35,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.3,True,24,0.4,0.625,1.325,0.25,False,360,0.2,0.1,0.5,1.737653096405295,6.53822389753274,0.9606531586193785,0.4159032708133941,1.8209984415081297,3.3481480788814513,-0.2608171907787028,93.0,0.41935483870967744,75382.2389753274,5.496850745953556,0.2768388783435365,388.3810334474467,473.0,6.540186778854713,1.744675242059913,0.6047466020365003,1.9589417753671188,3.7246621798338553,-0.3085725304152669,73.0,0.3287671232876712,75401.86778854713,6.5,0.5732203161468886,363.51277502938797,322.0,55.83961616822303,1.2429426561105088,0.5000611780122963,1.8562432220482905,3.475015010904957,-0.30857253041526556,166.0,0.3795180722891566,568396.1616822303,6.5,0.3954238980667168,751.8938084768347,795.0,0.29756150268661385,0.17932213290440324,0.3948682016689955,0.6132657661636141,0.9839194538532896,-0.2728065080240871,53.0,0.33962264150943394,12975.615026866139,4.491383327994463,0.4344593947192529,257.0988294817783,197.0
