ema_fast,ema_slow,atr_period,adx_period,adx_enter,adx_exit,trend_separation_atr,rsi_period,rsi_entry,rsi_exit,bb_period,bb_std,mr_stop_atr,mr_max_bars,target_vol,max_leverage,trend_scale,rebound_scale,allow_short,rebalance_bars,vol_risk_enabled,realized_vol_period,vol_baseline_period,vol_shock_enter,vol_shock_exit,vol_shock_scale,vol_momentum_period,momentum_factor_enabled,momentum_factor_period,momentum_factor_threshold,momentum_factor_scale,funding_factor_enabled,funding_lookback,funding_high_threshold,funding_factor_scale,downside_allocation_enabled,downside_vol_period,downside_calm_threshold,downside_stress_threshold,downside_calm_boost,downside_stress_scale,drawdown_brake_enabled,price_drawdown_lookback,price_drawdown_enter,price_drawdown_exit,price_drawdown_scale,robust_score,minimum_sharpe,minimum_calmar,sharpe_gap,train_total_return,train_cagr,train_annualized_volatility,train_sharpe,train_sortino,train_max_drawdown,train_trade_count,train_win_rate,train_final_equity,train_max_leverage_observed,train_average_leverage,train_turnover_multiple,train_rebalance_events,validation_total_return,validation_cagr,validation_annualized_volatility,validation_sharpe,validation_sortino,validation_max_drawdown,validation_trade_count,validation_win_rate,validation_final_equity,validation_max_leverage_observed,validation_average_leverage,validation_turnover_multiple,validation_rebalance_events,pre_holdout_total_return,pre_holdout_cagr,pre_holdout_annualized_volatility,pre_holdout_sharpe,pre_holdout_sortino,pre_holdout_max_drawdown,pre_holdout_trade_count,pre_holdout_win_rate,pre_holdout_final_equity,pre_holdout_max_leverage_observed,pre_holdout_average_leverage,pre_holdout_turnover_multiple,pre_holdout_rebalance_events
30,120,20,14,26.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,60,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.625,1.325,0.35,False,360,0.2,0.1,0.5,1.7486042757769535,1.7505581481396606,3.672250570454992,0.18616333042587851,6.320687541291761,0.9416101865172248,0.4306202384820739,1.7505581481396606,3.1625878038641213,-0.25641229225830287,93.0,0.40860215053763443,73206.87541291761,5.496850745953556,0.29769209194133833,366.54478892394593,473.0,6.192922878402491,1.6807559865773523,0.5971762859093127,1.9367214785655391,3.699179190639597,-0.31243240623171875,73.0,0.3150684931506849,71929.2287840249,6.5,0.5754082751876565,357.4228376876381,325.0,51.65714090139349,1.2089277844177664,0.503877022241131,1.8156699908512415,3.378706546151484,-0.31243240623171864,166.0,0.3674698795180723,526571.4090139349,6.5,0.4088089665735543,723.9676266115839,798.0
30,120,20,14,26.0,18.0,0.2,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,60,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.625,1.325,0.35,False,360,0.2,0.1,0.5,1.7311992346638776,1.7372794024250289,3.626421156236922,0.17370513409723531,6.188559248708148,0.9298589613647135,0.4303527525892148,1.7372794024250289,3.137741116566737,-0.25641229225830264,93.0,0.40860215053763443,71885.59248708148,5.496850745953556,0.2953529897651011,365.62284758442127,472.0,5.966162258506597,1.6381807564650357,0.5966942341249011,1.9109845365222642,3.64774342949385,-0.33071497186293175,71.0,0.323943661971831,69661.62258506597,6.5,0.5702972449823391,354.7281084992986,321.0,49.076670131389356,1.1868477342950765,0.5035105081733384,1.796682360815294,3.341838937052184,-0.33071497186293164,164.0,0.3719512195121951,500766.70131389354,6.5,0.40536078974528783,720.3509560837199,793.0
30,120,20,14,26.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.625,1.325,0.35,False,360,0.2,0.1,0.5,1.7194198949843142,1.733335932689861,3.5475909115454813,0.237634347607097,6.174466762905577,0.9285971307410945,0.4311744024658932,1.733335932689861,3.1182857254710608,-0.2617542873162222,93.0,0.40860215053763443,71744.66762905577,5.496850745953556,0.2990980308352129,366.81530286223443,473.0,6.729714831368333,1.7789401287812647,0.6084985893310884,1.970970280296958,3.7407608364879796,-0.31863996573294995,73.0,0.3150684931506849,77297.14831368333,6.5,0.5902751360803988,355.6523348841924,322.0,54.45658214439028,1.2319231987101662,0.5095522842873198,1.821425768183877,3.3726441772332234,-0.31863996573295084,166.0,0.3674698795180723,554565.8214439028,6.5,0.4156007478216556,722.4676377464268,795.0
30,120,20,14,26.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,84,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.625,1.325,0.35,False,360,0.2,0.1,0.5,1.7164860233098047,1.7273162128106723,3.5647586337253037,0.20391108127515833,6.167775712248025,0.9279974404900022,0.43294232488076745,1.7273162128106723,3.099257450304033,-0.26032546263032985,93.0,0.40860215053763443,71677.75712248025,5.496850745953556,0.29799637946167534,364.72479809413085,473.0,6.350003494576141,1.709856014996638,0.6078455462051965,1.9312272940858306,3.6377398332260675,-0.31952964482525725,73.0,0.3150684931506849,73500.0349457614,6.5,0.5876651289651099,356.20275064010735,316.0,51.683176533361234,1.209146106558891,0.5101368865326447,1.7999232406337704,3.3147314197605917,-0.3195296448252566,166.0,0.3674698795180723,526831.7653336123,6.5,0.4138955890331098,720.9275487342383,789.0
30,120,20,14,26.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,48,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.625,1.325,0.35,False,360,0.2,0.1,0.5,1.7045148944934274,1.7282394203987361,3.4867921250007767,0.2277074443731555,6.071625969958543,0.9193384338938364,0.42915956361102126,1.7282394203987361,3.114918497670975,-0.26366310377439883,93.0,0.40860215053763443,70716.25969958543,5.496850745953556,0.2973829926813658,367.2983768337897,478.0,6.566381920126952,1.7494365317874534,0.6073542581299554,1.9559468647718916,3.717819110875345,-0.3199988623113351,73.0,0.3150684931506849,75663.81920126952,6.5,0.5882460380304572,359.2919697545837,323.0,52.506622884994464,1.2160069966933351,0.5079829613739686,1.8113838059869725,3.3598176083983846,-0.3199988623113351,166.0,0.3674698795180723,535066.2288499447,6.5,0.41376005132952437,726.5903465883734,801.0
30,120,20,14,26.0,18.0,0.1,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,60,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.625,1.325,0.35,False,360,0.2,0.1,0.5,1.7042925225691892,1.715863591954646,3.5656553319226485,0.2255275131291623,6.015833405805626,0.9142778570613252,0.43122463024140856,1.715863591954646,3.090607037233046,-0.25641229225830264,94.0,0.40425531914893614,70158.33405805627,6.059871996142064,0.2997380463336944,371.51285052804667,477.0,6.238262872505734,1.689187822233376,0.5974302036989562,1.9413911050838084,3.710274844427334,-0.3163373105153491,73.0,0.3287671232876712,72382.62872505734,6.5,0.57899330302793,360.7236376266777,329.0,49.782446460928405,1.192975563060679,0.5043088094106519,1.8001814038494381,3.3461882441124717,-0.3163373105153483,167.0,0.3712574850299401,507824.46460928407,6.5,0.41147071882602404,732.2364881547243,806.0
30,120,20,14,26.0,18.0,0.2,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.625,1.325,0.35,False,360,0.2,0.1,0.5,1.70213672155402,1.720062368995155,3.502997693091366,0.22488769480901905,6.04497755328784,0.9169246646254983,0.43090721826832695,1.720062368995155,3.0935511835699163,-0.2617542873162214,93.0,0.40860215053763443,70449.7755328784,5.496850745953556,0.2967589286589757,365.89336152270977,472.0,6.478830629957751,1.7334905139654095,0.6080109272323492,1.9449500638041741,3.6890353613186977,-0.34100892498178526,71.0,0.323943661971831,74788.30629957751,6.5,0.5851867053807824,352.9949074985393,318.0,51.68819391289388,1.209188169941367,0.5091827127512221,1.802278922155318,3.3356248725506066,-0.34100892498178614,164.0,0.3719512195121951,526881.9391289388,6.5,0.4121616132696165,718.8882690212491,790.0
30,120,20,14,26.0,18.0,0.2,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,84,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.625,1.325,0.35,False,360,0.2,0.1,0.5,1.6996886018184723,1.7144366131913114,3.5209555759260187,0.19147424831990567,6.041336472886161,0.9165943892037811,0.43266691375619204,1.7144366131913114,3.0754335424138333,-0.2603254626303301,93.0,0.40860215053763443,70413.3647288616,5.496850745953556,0.29565217218696355,363.7692856270372,472.0,6.118290826882819,1.666818624056397,0.6073721745497759,1.905910861511217,3.5878577487888683,-0.3485500606300068,71.0,0.30985915492957744,71182.90826882819,6.5,0.5825540987597927,353.50802145176795,312.0,49.122280823941026,1.187245825778108,0.5097701460416886,1.7813165069523635,3.279036906247117,-0.3485500606300065,164.0,0.36585365853658536,501222.8082394102,6.5,0.4104443497046089,717.277307078805,784.0
30,120,20,14,26.0,18.0,0.2,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,48,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.625,1.325,0.35,False,360,0.2,0.1,0.5,1.6873486807558407,1.7149054938370383,3.4427342744581635,0.21633094749789117,5.943992894522632,0.9077220042741458,0.4288910868490678,1.7149054938370383,3.090029611375626,-0.26366310377439983,93.0,0.40860215053763443,69439.92894522632,5.496850745953556,0.2950438905051286,366.376435494265,477.0,6.334604550721964,1.7070171205998577,0.6069478621005625,1.9312364413349294,3.6690126934375407,-0.3474524992156599,71.0,0.323943661971831,73346.04550721963,6.5,0.5831978077476613,356.5972405662443,319.0,49.931441884346526,1.1942604806324915,0.5076516378220494,1.7928147423390408,3.3240675030024223,-0.3474524992156599,164.0,0.3719512195121951,509314.4188434653,6.5,0.4103370013449159,722.9736760605093,796.0
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,60,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.625,1.325,0.35,False,360,0.2,0.1,0.5,1.6815427742475517,1.7308711214434844,3.294077470296909,0.2580363409357056,6.0096116088930245,0.9137118580317583,0.4260367730250384,1.7308711214434844,3.1271734112281293,-0.2773801971176475,89.0,0.43820224719101125,70096.11608893024,5.496850745953556,0.2867839984737551,351.8328409530302,453.0,6.617324363242442,1.758672397191515,0.5953536409387941,1.98890746237919,3.816638781990697,-0.312326299892113,73.0,0.3287671232876712,76173.24363242442,6.5,0.5711075794231191,350.7955142062673,324.0,52.39448528528772,1.215077665431496,0.5006711131244393,1.8296388971285094,3.4137286099057977,-0.31232629989211413,162.0,0.3888888888888889,533944.8528528772,6.5,0.40054455549290396,702.6283551592974,777.0
