ema_fast,ema_slow,atr_period,adx_period,adx_enter,adx_exit,trend_separation_atr,rsi_period,rsi_entry,rsi_exit,bb_period,bb_std,mr_stop_atr,mr_max_bars,target_vol,max_leverage,trend_scale,rebound_scale,allow_short,rebalance_bars,vol_risk_enabled,realized_vol_period,vol_baseline_period,vol_shock_enter,vol_shock_exit,vol_shock_scale,vol_momentum_period,momentum_factor_enabled,momentum_factor_period,momentum_factor_threshold,momentum_factor_scale,funding_factor_enabled,funding_lookback,funding_high_threshold,funding_factor_scale,downside_allocation_enabled,downside_vol_period,downside_calm_threshold,downside_stress_threshold,downside_calm_boost,downside_stress_scale,drawdown_brake_enabled,price_drawdown_lookback,price_drawdown_enter,price_drawdown_exit,price_drawdown_scale,train_cagr,train_sharpe,train_sortino,train_max_drawdown,train_average_leverage,train_max_leverage_observed,train_turnover_multiple,validation_cagr,validation_sharpe,validation_sortino,validation_max_drawdown,validation_average_leverage,validation_max_leverage_observed,validation_turnover_multiple,pre_cagr,pre_sharpe,pre_sortino,pre_max_drawdown,pre_average_leverage,pre_max_leverage_observed,pre_turnover_multiple
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.625,1.325,0.35,False,360,0.2,0.1,0.5,0.876850892074198,1.7142124295083039,3.084087295953075,-0.27648399374964383,0.2814086095250393,5.369017007675568,343.8034719793476,1.8006501548484946,2.0220428143305833,3.8556007555247276,-0.3118322551561704,0.5717203591852,6.0,340.09927413974003,1.2026524529757472,1.8354691632300262,3.407776003083519,-0.31183225515617097,0.39756508954779657,6.0,683.9027461190876
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.5,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.625,1.325,0.35,False,360,0.2,0.1,0.5,0.876850892074198,1.7142124295083039,3.084087295953075,-0.27648399374964383,0.2814086095250393,5.369017007675568,343.8034719793476,1.8014590732633984,2.022112847576095,3.854172808723996,-0.3118322551561713,0.5724043537132438,6.5,341.09927413974003,1.2029069446819114,1.8354775890146846,3.407059580171922,-0.3118322551561713,0.3978387622352624,6.5,684.9027461190876
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,7.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.625,1.325,0.35,False,360,0.2,0.1,0.5,0.876850892074198,1.7142124295083039,3.084087295953075,-0.27648399374964383,0.2814086095250393,5.369017007675568,343.8034719793476,1.8023461522850797,2.0222366695940237,3.8529165440795357,-0.3118322551561702,0.5730302697982069,7.0,342.09927413974003,1.2031859756152188,1.8355121704321489,3.4064248856373913,-0.3118322551561714,0.3980891971877024,7.0,685.9027461190876
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.625,1.325,0.35,False,360,0.2,0.1,0.5,0.9013245741360287,1.7142111917077543,3.084084221556677,-0.28257155702793324,0.28810881451373077,5.496850745953556,351.9892689312368,1.8585454785905426,2.0220120820105856,3.855956586272347,-0.31853121697313047,0.5851373216815969,6.0,347.91116161925765,1.2380822042021404,1.8354604120378535,3.4079537190482285,-0.3185312169731297,0.4069527328168015,6.0,699.9004305504944
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.625,1.325,0.35,False,360,0.2,0.1,0.5,0.9013245741360287,1.7142111917077543,3.084084221556677,-0.28257155702793324,0.28810881451373077,5.496850745953556,351.9892689312368,1.8593711607211012,2.0220939834791696,3.854624584409181,-0.3185312169731297,0.5858213162096407,6.5,348.91116161925765,1.2383408024677287,1.8354756796825553,3.407284377445963,-0.31853121697313047,0.40722640550426725,6.5,700.9004305504944
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,7.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.625,1.325,0.35,False,360,0.2,0.1,0.5,0.9013245741360287,1.7142111917077543,3.084084221556677,-0.28257155702793324,0.28810881451373077,5.496850745953556,351.9892689312368,1.8601709670173063,2.0221300173033763,3.853081021842276,-0.3185312169731299,0.5865053107376845,7.0,349.91116161925765,1.2385912538778352,1.8354670489748255,3.40651239031108,-0.3185312169731297,0.40750007819173306,7.0,701.9004305504944
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.1,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.625,1.325,0.35,False,360,0.2,0.1,0.5,0.9259382271714611,1.7142099538474935,3.0840811470788583,-0.2886332477298108,0.29480901950242216,5.624684484231547,360.1750658831261,1.917116766676862,2.021979211471162,3.856280085935174,-0.32519419260401405,0.5985542841779942,6.0,355.72304909877533,1.2737925485961576,1.83545018824068,3.408115462648423,-0.32519419260401305,0.4163403760858065,6.0,715.8981149819015
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.1,6.5,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.625,1.325,0.35,False,360,0.2,0.1,0.5,0.9259382271714611,1.7142099538474935,3.0840811470788583,-0.2886332477298108,0.29480901950242216,5.624684484231547,360.1750658831261,1.917959409466202,2.0220718501176878,3.855036971577597,-0.32519419260401317,0.599238278706038,6.5,356.72304909877533,1.274055286255467,1.835471677004474,3.40748973604287,-0.32519419260401305,0.4166140487732723,6.5,716.8981149819015
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.1,7.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.625,1.325,0.35,False,360,0.2,0.1,0.5,0.9259382271714611,1.7142099538474935,3.0840811470788583,-0.2886332477298108,0.29480901950242216,5.624684484231547,360.1750658831261,1.91877564627322,2.0221206437319075,3.8535914591837117,-0.32519419260401305,0.5999222732340818,7.0,357.72304909877533,1.27430974707947,1.8354703262804375,3.406765877942943,-0.3251941926040136,0.41688772146073805,7.0,717.8981149819015
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.125,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.625,1.325,0.35,False,360,0.2,0.1,0.5,0.950689229923124,1.7142087159275312,3.0840780725196364,-0.29466890951954783,0.30150922449111356,5.752518222509536,368.36086283501527,1.9763576522576214,2.0219445686527266,3.8565744391043713,-0.33182107200667244,0.6119712466743911,6.0,363.5349365782929,1.3097792117908318,1.835438706735077,3.408262801166439,-0.3318210720066733,0.4257280193548113,6.0,731.8957994133082
