ema_fast,ema_slow,atr_period,adx_period,adx_enter,adx_exit,trend_separation_atr,rsi_period,rsi_entry,rsi_exit,bb_period,bb_std,mr_stop_atr,mr_max_bars,target_vol,max_leverage,trend_scale,rebound_scale,allow_short,rebalance_bars,vol_risk_enabled,realized_vol_period,vol_baseline_period,vol_shock_enter,vol_shock_exit,vol_shock_scale,vol_momentum_period,momentum_factor_enabled,momentum_factor_period,momentum_factor_threshold,momentum_factor_scale,funding_factor_enabled,funding_lookback,funding_high_threshold,funding_factor_scale,downside_allocation_enabled,downside_vol_period,downside_calm_threshold,downside_stress_threshold,downside_calm_boost,downside_stress_scale,drawdown_brake_enabled,price_drawdown_lookback,price_drawdown_enter,price_drawdown_exit,price_drawdown_scale,robust_score,minimum_sharpe,minimum_calmar,sharpe_gap,train_total_return,train_cagr,train_annualized_volatility,train_sharpe,train_sortino,train_max_drawdown,train_trade_count,train_win_rate,train_final_equity,train_max_leverage_observed,train_average_leverage,train_turnover_multiple,train_rebalance_events,validation_total_return,validation_cagr,validation_annualized_volatility,validation_sharpe,validation_sortino,validation_max_drawdown,validation_trade_count,validation_win_rate,validation_final_equity,validation_max_leverage_observed,validation_average_leverage,validation_turnover_multiple,validation_rebalance_events,pre_holdout_total_return,pre_holdout_cagr,pre_holdout_annualized_volatility,pre_holdout_sharpe,pre_holdout_sortino,pre_holdout_max_drawdown,pre_holdout_trade_count,pre_holdout_win_rate,pre_holdout_final_equity,pre_holdout_max_leverage_observed,pre_holdout_average_leverage,pre_holdout_turnover_multiple,pre_holdout_rebalance_events
30,120,20,14,26.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,60,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.4,True,24,0.4,0.6,1.325,0.35,False,360,0.2,0.1,0.5,1.8791178529391774,1.8314853674014013,4.223945038948878,0.003590242525241427,6.507086427304235,0.9579500734067166,0.4109092508082246,1.8350756099266428,3.3704170037398735,-0.22679037358997,93.0,0.43010752688172044,75070.86427304235,5.496850745953556,0.2789766774947786,381.10653835815026,489.0,5.146506641153447,1.4781884626873572,0.5846333142253347,1.8314853674014013,3.5020685378546297,-0.32975558950221273,73.0,0.3013698630136986,61465.06641153447,6.5,0.5473412226763107,376.78420059294433,344.0,45.142356581138344,1.1513629255658833,0.48785910419975803,1.8051876146104637,3.387847626698953,-0.3297555895022136,166.0,0.37349397590361444,461423.5658113834,6.5,0.3863518731859116,757.8907389510946,833.0
30,120,20,14,26.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,60,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.4,True,24,0.4,0.6,1.325,0.4,False,360,0.2,0.1,0.5,1.8789887511404506,1.8340172630718834,4.205376648261277,0.005181979767970857,6.60867364758885,0.9667416378769382,0.4128558750173865,1.8391992428398543,3.373969339172459,-0.2298822956266331,93.0,0.43010752688172044,76086.7364758885,5.496850745953556,0.2829538246908791,382.04258499645346,481.0,5.199145500921254,1.4887726385656568,0.5868519996400614,1.8340172630718834,3.502427794011076,-0.3336554351232349,73.0,0.3013698630136986,61991.45500921254,6.5,0.5561003063189945,376.0050429480392,344.0,46.16727501042844,1.1608333493519862,0.48990614614986305,1.8086347553032005,3.3899691955133995,-0.3336554351232346,166.0,0.37349397590361444,471672.75010428444,6.5,0.39224231843480484,758.0476279444927,825.0
30,120,20,14,26.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,60,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.4,True,24,0.4,0.6,1.325,0.3,False,360,0.2,0.1,0.5,1.8781393274649156,1.8280268738848602,4.239675508155227,0.0012564829871237748,6.3998306070171935,0.9485814292261829,0.4092109152282743,1.829283356871984,3.3630032857513785,-0.22373915819772983,93.0,0.43010752688172044,73998.30607017194,5.496850745953556,0.2749567686461812,380.15599674227474,489.0,5.092240029811201,1.4672294163111275,0.5827042818326075,1.8280268738848602,3.4990157973432563,-0.3258604586516426,73.0,0.2876712328767123,60922.40029811201,6.5,0.5385821390336266,377.56335823784957,344.0,44.08154423789228,1.1413819017799653,0.48607645353479834,1.8004704765451656,3.382488566464633,-0.3258604586516427,166.0,0.3674698795180723,450815.44237892283,6.5,0.38043577562659864,757.7193549801243,833.0
30,120,20,14,26.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,60,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.00018,0.5,True,24,0.4,0.6,1.325,0.3,False,360,0.2,0.1,0.5,1.837600853403269,1.7834368518739243,4.168157191874973,0.012371481282052343,6.21901116039975,0.9325799813459161,0.41314352558626216,1.7958083331559767,3.285712905955229,-0.22373915819772894,93.0,0.43010752688172044,72190.1116039975,5.496850745953556,0.2800990168374939,361.8597665452168,484.0,4.767389109790182,1.4005794557757816,0.5815686683395567,1.7834368518739243,3.404339146312317,-0.3318602508181483,73.0,0.2876712328767123,57673.89109790182,6.5,0.5385649993747007,370.8451607269112,342.0,40.63484634994337,1.1075989339034287,0.4875241822739068,1.763975728128297,3.301431168387995,-0.3318602508181475,166.0,0.3674698795180723,416348.4634994337,6.5,0.38351370388440037,732.704927272128,826.0
30,120,20,14,26.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,60,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.00018,0.5,True,24,0.4,0.6,1.325,0.35,False,360,0.2,0.1,0.5,1.837301392357319,1.7861367588414931,4.147936877704956,0.014074629102146519,6.310533586942924,0.9407121541223171,0.41485627722956103,1.8002113879436397,3.2906347089364067,-0.22679037358996912,93.0,0.43010752688172044,73105.33586942924,5.496850745953556,0.28413666290034917,362.5433242539409,484.0,4.8129105122547085,1.410030276360739,0.5835208557625344,1.7861367588414931,3.405840465397065,-0.32975558950221273,73.0,0.3013698630136986,58129.10512254708,6.5,0.5473242118290061,370.09267199027215,342.0,41.49547753773163,1.1162382134341606,0.4893263368571434,1.767623337687904,3.3047614484039207,-0.32975558950221273,166.0,0.37349397590361444,424954.7753773163,6.5,0.3894404933693411,732.6359962442132,826.0
30,120,20,14,26.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,60,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.00018,0.5,True,24,0.4,0.6,1.325,0.4,False,360,0.2,0.1,0.5,1.83620005736395,1.7879258878045794,4.126756159369896,0.015549480480192335,6.400819039998173,0.9486681794073022,0.4168236371229502,1.8034753682847717,3.2927246803589374,-0.22988229562663376,93.0,0.43010752688172044,74008.19039998173,5.496850745953556,0.28817430896320456,363.22688196266506,484.0,4.856775633079272,1.4191022690490867,0.5857659813624274,1.7879258878045794,3.4046841013629727,-0.3336554351232349,73.0,0.3013698630136986,58567.75633079273,6.5,0.5560834242833117,369.3401832536331,342.0,42.34493661829033,1.1246291464812344,0.4913977842559863,1.7702740784497295,3.305394653132329,-0.3336554351232356,166.0,0.37349397590361444,433449.36618290335,6.5,0.39536728285428185,732.5670652162983,826.0
30,120,20,14,26.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,60,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.6,1.325,0.4,False,360,0.2,0.1,0.5,1.8349521633065415,1.78882140625159,4.114685653655723,0.052452529044175966,6.369246571634359,0.9458933838443537,0.4202593837908082,1.78882140625159,3.2433604609638884,-0.22988229562663376,93.0,0.43010752688172044,73692.46571634359,5.496850745953556,0.2907609258268338,371.2727815104836,489.0,5.2643001659006226,1.5018113178414896,0.5876228938683022,1.8412739352957659,3.514103975285227,-0.3336554351232349,73.0,0.3013698630136986,62643.00165900622,6.5,0.5582648615784624,371.3887786807287,344.0,45.16317252125171,1.151556935011961,0.49403521027417346,1.7889428679811896,3.333598814939268,-0.3336554351232347,166.0,0.37349397590361444,461631.7252125171,6.5,0.39779178353588723,742.6615601912122,833.0
30,120,20,14,26.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,60,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.6,1.325,0.35,False,360,0.2,0.1,0.5,1.8343404258737512,1.7851090106596583,4.134157705393693,0.054398831561096817,6.275272929842505,0.9375871704860925,0.41827491824735774,1.7851090106596583,3.240249255852089,-0.2267903735899709,93.0,0.43010752688172044,72752.72929842505,5.496850745953556,0.28667423389632846,370.44615578586615,489.0,5.216164407021694,1.4921850313084613,0.5853836913265339,1.8395078422207551,3.515492813636866,-0.32975558950221273,73.0,0.3013698630136986,62161.644070216935,6.5,0.5494756011181855,372.2795830468951,344.0,44.22429263785553,1.1427358700071086,0.4919573387629685,1.7860835371136141,3.3325663364967415,-0.32975558950221184,166.0,0.37349397590361444,452242.92637855525,6.5,0.39182354940764613,742.7257388327613,833.0
30,120,20,14,26.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,60,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.6,1.325,0.3,False,360,0.2,0.1,0.5,1.83275458024431,1.7802622089653748,4.152624049710046,0.05654731834884408,6.180132211277973,0.9291046091937749,0.4165473429759175,1.7802622089653748,3.2343618687279374,-0.22373915819773016,93.0,0.43010752688172044,71801.32211277973,5.496850745953556,0.2825875419658231,369.6195300612487,489.0,5.166275204090283,1.4821686546323725,0.5834367232254191,1.8368095273142189,3.514143564944846,-0.33107048104369896,73.0,0.2876712328767123,61662.75204090283,6.5,0.5406863406579084,373.1703874130615,344.0,43.27467121649336,1.133663563738799,0.4901496595279819,1.7822176272555719,3.328821060835119,-0.33107048104369796,166.0,0.3674698795180723,442746.7121649336,6.5,0.3858553152794052,742.7899174743102,833.0
30,120,20,14,26.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.075,6.5,1.25,0.65,False,60,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.00018,0.4,True,24,0.4,0.6,1.325,0.35,False,360,0.2,0.1,0.5,1.829540499795979,1.7695258703398133,4.197604902078879,0.08385643493266381,6.548449654937988,0.9615392462285728,0.4069510696078695,1.8533823052724772,3.4335982611144504,-0.2267903735899689,93.0,0.44086021505376344,75484.49654937988,5.496850745953556,0.2759024083044354,371.6159201246909,484.0,4.6888408992468245,1.384183678982399,0.5826059208191402,1.7695258703398133,3.3749596259015044,-0.32975558950221273,73.0,0.3013698630136986,56888.40899246824,6.5,0.5449285492873732,374.17256507426725,342.0,41.94192912291686,1.1206648098472276,0.48488717146164567,1.7836363447761254,3.3554127142266172,-0.32975558950221273,166.0,0.3795180722891566,429419.2912291686,6.5,0.383542314740411,745.7884851989581,826.0
