ema_fast,ema_slow,atr_period,adx_period,adx_enter,adx_exit,trend_separation_atr,rsi_period,rsi_entry,rsi_exit,bb_period,bb_std,mr_stop_atr,mr_max_bars,target_vol,max_leverage,trend_scale,rebound_scale,allow_short,rebalance_bars,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,trade_count,win_rate,final_equity
30,120,20,14,24.0,19.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,False,72,0.7477372077909898,0.2043301164168514,0.14188158066002265,1.380421782665047,2.1902803777198296,-0.11348239174981412,109.0,0.43119266055045874,17477.3720779099
30,120,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,False,72,0.7477372077909898,0.2043301164168514,0.14188158066002265,1.380421782665047,2.1902803777198296,-0.11348239174981412,109.0,0.43119266055045874,17477.3720779099
30,120,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,False,72,0.7477372077909898,0.2043301164168514,0.14188158066002265,1.380421782665047,2.1902803777198296,-0.11348239174981412,109.0,0.43119266055045874,17477.3720779099
30,120,20,14,21.0,16.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,False,72,0.7074534858717783,0.19501437860650772,0.14666033998906364,1.2872344020142052,2.030516363322744,-0.11765924891623081,141.0,0.425531914893617,17074.534858717783
30,120,20,14,21.0,16.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,False,72,0.7074534858717783,0.19501437860650772,0.14666033998906364,1.2872344020142052,2.030516363322744,-0.11765924891623081,141.0,0.425531914893617,17074.534858717783
30,120,20,14,21.0,16.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,False,72,0.7074534858717783,0.19501437860650772,0.14666033998906364,1.2872344020142052,2.030516363322744,-0.11765924891623081,141.0,0.425531914893617,17074.534858717783
30,120,20,14,21.0,16.0,0.15,14,30.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,False,72,0.6794262596819316,0.18844617346286507,0.14686190427073123,1.2481645245595028,1.9660259376106521,-0.13232658504479144,145.0,0.4206896551724138,16794.262596819317
30,120,20,14,21.0,16.0,0.15,14,30.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,False,72,0.6794262596819316,0.18844617346286507,0.14686190427073123,1.2481645245595028,1.9660259376106521,-0.13232658504479144,145.0,0.4206896551724138,16794.262596819317
30,120,20,14,21.0,16.0,0.15,14,30.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,False,72,0.6794262596819316,0.18844617346286507,0.14686190427073123,1.2481645245595028,1.9660259376106521,-0.13232658504479144,145.0,0.4206896551724138,16794.262596819317
30,120,20,14,24.0,19.0,0.15,14,30.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,False,72,0.6473183610897082,0.1808311736736199,0.14250141249674383,1.236843631950637,1.9529805281181414,-0.14411415941326544,118.0,0.4067796610169492,16473.183610897082
30,120,20,14,24.0,19.0,0.15,14,30.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,False,72,0.6473183610897082,0.1808311736736199,0.14250141249674383,1.236843631950637,1.9529805281181414,-0.14411415941326544,118.0,0.4067796610169492,16473.183610897082
30,120,20,14,24.0,19.0,0.15,14,30.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,False,72,0.6462780434869331,0.18058279329096893,0.14250190367296958,1.2353645202374977,1.9506609536625525,-0.14411415941326522,119.0,0.40336134453781514,16462.78043486933
30,120,20,14,27.0,22.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5682252613572301,0.1616406843357312,0.1313410087001649,1.2056873778790766,1.8632201889856546,-0.11324897202047457,97.0,0.4536082474226804,15682.2526135723
24,120,20,14,24.0,19.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,False,72,0.6168030133001328,0.1735015664810775,0.1426872090946866,1.1918065961907267,1.8798220425249663,-0.1346800396232678,113.0,0.3893805309734513,16168.030133001328
24,120,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,False,72,0.6168030133001328,0.1735015664810775,0.1426872090946866,1.1918065961907267,1.8798220425249663,-0.1346800396232678,113.0,0.3893805309734513,16168.030133001328
24,120,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,False,72,0.6168030133001328,0.1735015664810775,0.1426872090946866,1.1918065961907267,1.8798220425249663,-0.1346800396232678,113.0,0.3893805309734513,16168.030133001328
