ema_fast,ema_slow,atr_period,adx_period,adx_enter,adx_exit,trend_separation_atr,rsi_period,rsi_entry,rsi_exit,bb_period,bb_std,mr_stop_atr,mr_max_bars,target_vol,max_leverage,trend_scale,rebound_scale,allow_short,rebalance_bars,vol_risk_enabled,realized_vol_period,vol_baseline_period,vol_shock_enter,vol_shock_exit,vol_shock_scale,vol_momentum_period,momentum_factor_enabled,momentum_factor_period,momentum_factor_threshold,momentum_factor_scale,funding_factor_enabled,funding_lookback,funding_high_threshold,funding_factor_scale,downside_allocation_enabled,downside_vol_period,downside_calm_threshold,downside_stress_threshold,downside_calm_boost,downside_stress_scale,drawdown_brake_enabled,price_drawdown_lookback,price_drawdown_enter,price_drawdown_exit,price_drawdown_scale,train_cagr,train_sharpe,train_sortino,train_max_drawdown,train_average_leverage,train_turnover_multiple,validation_cagr,validation_sharpe,validation_sortino,validation_max_drawdown,validation_average_leverage,validation_turnover_multiple,pre_cagr,pre_sharpe,pre_sortino,pre_max_drawdown,pre_average_leverage,pre_turnover_multiple,score
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,360,0.25,0.15,0.25,0.9666576867550511,1.806513501379592,3.3169548760658385,-0.22334101591960898,0.2730936917947847,348.77108884747906,1.75032346278179,1.9261168732044112,3.640758526748455,-0.34131899229744844,0.6051081854814909,346.7982842756038,1.2489093461255623,1.8315564588205997,3.4147208687167017,-0.3413189922974479,0.40593583458897314,695.5693731230829,1.7547621773559108
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,360,0.2,0.15,0.25,0.9620783675862621,1.8011930199378219,3.3068583022555296,-0.2233410159196093,0.27284458779624693,348.09075636297166,1.7501738813052077,1.9260302343644926,3.640579370664366,-0.34131899229744844,0.6050534376382416,346.55816023511227,1.2457178604247234,1.828856003618136,3.4095299725796275,-0.34131899229744755,0.4057644943285393,694.6489165980838,1.750507553804105
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,180,0.15,0.05,0.25,0.9260082129395455,1.7578476472291633,3.2534795723290855,-0.2630186425346761,0.2818540444825768,351.6390558578894,1.8738005630831398,2.0002819334659114,3.796096256074538,-0.34131899229744844,0.5959770190189777,336.9046030084327,1.2602739232434077,1.8436525106960515,3.4576456532806357,-0.341318992297448,0.4075376210485917,688.5436588663221,1.738648696445951
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,360,0.25,0.15,0.5,0.9536818094780908,1.7822956492177118,3.2598730171132453,-0.22343520234586922,0.28105022408905067,356.58815848279426,1.75032346278179,1.9261168732044112,3.640758526748455,-0.34131899229744844,0.6051081854814909,346.7982842756038,1.2399968331603297,1.8204101585189247,3.3886038958596703,-0.34131899229744833,0.41070888297130226,703.3864427583981,1.7351901105259095
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,360,0.2,0.15,0.5,0.9506546310323334,1.7788021363260804,3.2532394531683644,-0.22872781874622095,0.28088415475669215,356.13460349312254,1.750223844323381,1.9260593120125593,3.640639578960348,-0.34131899229744844,0.6050716869193248,346.6382015819428,1.2378817760318293,1.8186285483973603,3.385172231048055,-0.3413189922974479,0.4105946561310132,702.7728050750654,1.7323917092539267
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,360,0.15,0.05,0.75,0.8800509807759804,1.780661767390814,3.2705799106035727,-0.2685300135252563,0.27283197060178443,349.47454651112685,1.6983363267757627,1.929413706585384,3.6814232004690446,-0.33614757984135746,0.5722260820532781,331.429907726214,1.1723199195994445,1.815433936434276,3.406449970728585,-0.33614757984135757,0.39262238957881884,680.9044542373408,1.723125624043883
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,180,0.15,0.05,0.5,0.921389404590071,1.7440078966222552,3.2084923101546927,-0.2721079227646691,0.28687354349020733,358.5600295238355,1.832406256569123,1.976166912962138,3.7478772889579712,-0.34131899229744844,0.5990207411731489,340.2024967641564,1.2439584120744414,1.825732092120573,3.4140031830758537,-0.34131899229744767,0.41176659302837393,698.7625262879919,1.719690832140456
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,360,0.15,0.05,0.5,0.8228627349276962,1.7851086283065685,3.3011159214749104,-0.2463257977589911,0.24908990026587596,327.6938115263953,1.6513029570048467,1.9241925202157637,3.6999290163862963,-0.3337340339405721,0.5395253320237826,315.88786089239795,1.1174893740959608,1.8082325103177157,3.420043703243154,-0.3337340339405731,0.36529586666709646,643.5816724187932,1.717353139745665
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,360,0.25,0.1,0.5,0.8816166194222903,1.7684421627325744,3.2098383784487807,-0.22343520234586833,0.2748072164223675,348.5008417590632,1.755280893826281,1.9286588153073065,3.6466608441924655,-0.3413189922974472,0.6044773903070132,346.7982842756038,1.1916391866764764,1.8067497373123553,3.3556407617419386,-0.341318992297448,0.40671137466521146,695.299126034667,1.7143765452727693
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,360,0.25,0.1,0.75,0.905882292549782,1.760750064474925,3.2066768940559762,-0.25837294250850107,0.2853885622469358,360.15930560794516,1.7547131412001469,1.9282866753985182,3.645840937401549,-0.34131899229744755,0.6050448692327048,346.7982842756038,1.2083677726390558,1.8070214865108227,3.3597681312746976,-0.34131899229744833,0.4132860775214827,706.957589883549,1.7121395031458495
