strategy,window,total_return,cagr,sharpe,annualized_volatility,max_drawdown,days,cycles,cycles_per_year,entries_per_month,fills,fills_per_year,median_holding_hours,median_entry_gap_days,short_cycles,long_cycles,neutral_state_changes
V4.1.2,full,50.015428281035966,0.817432947748604,1.5133578527285125,0.45920432518047255,-0.23653007414008476,2404,233,35.400686356073216,2.9500571963394346,1679,255.097649750416,36.0,5.833333333333333,0,233,
V4.1.2,post2024,1.4337829148690884,0.4112944941543777,1.0395225908872026,0.40670818789222296,-0.2202473635196288,943,88,34.084835630965,2.8404029692470836,918,355.5668080593849,36.8,5.833333333333333,0,88,
V4.1.2,post2026_01_15,-0.1336899826783089,-0.23259222971314908,-0.9828974119068902,0.23987795910179632,-0.19536545647271153,198,17,31.35984848484848,2.4595959595959593,220,405.8333333333333,28.0,5.333333333333333,0,17,
V4.2.2,full,21.657688010720936,0.6065849715579441,1.5447937020335487,0.3440870131491778,-0.1839424079927393,2396,261,39.65484608985025,3.3045705074875213,1159,176.09182612312813,29.783333333333335,5.416666666666666,0,261,26.0
V4.2.2,post2024,1.132950918777314,0.3409833737890977,1.107956300350681,0.3055286880977081,-0.17051386511876465,942,103,39.89475079533404,3.3245625662778364,482,186.69194061505831,33.333333333333336,5.583333333333334,0,103,5.0
V4.2.2,post2026_01_15,-0.0897706692004343,-0.15929108586745344,-0.8748992631360787,0.1806206800360406,-0.14395838655200877,197,19,35.04924242424242,2.767045454545454,82,151.2651515151515,28.0,5.333333333333333,0,19,
V4.5.2,full,36.29166491823974,0.7329327016770937,1.5788318945225301,0.3952630309463813,-0.29404164169513314,2404,495,75.2074667221298,6.267288893510816,1967,298.85472129783693,24.0,3.2083333333333335,98,397,
V4.5.2,post2024,3.427213967686882,0.7793616685269906,1.6821898645795426,0.3845881233261527,-0.22435674177354603,943,186,72.04294803817604,6.003579003181335,906,350.9188759278897,24.0,3.2083333333333335,41,145,
V4.5.2,post2026_01_15,0.1972709850025467,0.3939313639820756,1.2159440133833894,0.31256131782648167,-0.1491215246413824,198,46,84.8560606060606,6.917613636363636,290,534.9621212121211,20.016666666666666,3.125,17,29,
V4.5.3,full,47.17500081455857,0.8016826718810313,1.673780440266594,0.39634035317802174,-0.2727252239028457,2404,493,74.90359816971714,6.241966514143096,2117,321.64486272878537,24.0,3.2083333333333335,98,395,
V4.5.3,post2024,3.9484663284386414,0.8577518062019063,1.789613642478316,0.3858717421877544,-0.21661270372932784,943,184,71.26829268292683,5.939024390243902,1041,403.20811240721105,24.008333333333333,3.2083333333333335,41,143,
V4.5.3,post2026_01_15,0.21999142215147516,0.44311880217978183,1.3215316068179923,0.31422243883805895,-0.14742344325312529,198,45,83.01136363636363,6.763888888888888,353,651.1780303030303,20.0,3.125,17,28,
