year,start_equity,end_equity,total_return,annualized_volatility,sharpe,max_drawdown
2020,10000.0,13319.284094397744,0.33192840943977453,0.25045110491387684,1.2653242966996896,-0.14469152305561528
2021,13319.284094397744,12432.740820388066,-0.06656088027903617,0.10874168264949566,-0.5878973546341986,-0.13681926789892707
2022,12432.740820388066,12315.131081806507,-0.009459679107015173,0.08904587217435637,-0.06277111713241423,-0.07084960892465342
2023,12315.131081806507,21131.97477785614,0.715935838399236,0.3302126348651167,1.8017090262210236,-0.12468764614230254
2024,21131.97477785614,20144.82341978929,-0.04671363506932025,0.15950644550586893,-0.2197618890728819,-0.17833011378765296
2025,20144.82341978929,20251.570143964742,0.005298965493566454,0.06910226553646932,0.11104271711896654,-0.04099181969745347
2026,20251.570143964742,19660.454328294927,-0.029188641249427993,0.05064949869407861,-0.9862374744401904,-0.04031975819449629
