timestamp,reason,side,quantity,price,notional,fee,slippage_bps,participation,realized_pnl,position_after,liquidity,limit_price,trigger_price
2020-01-23 16:00:00+00:00,signal,sell,0.139,8366.9083245,1163.0002571055002,0.023260005142110005,-0.5,0.0011480422388889591,0.0,-0.139,maker,8366.9083245,
2020-01-24 20:00:00+00:00,signal,buy,0.139,8505.11687322476,1182.2112453782418,0.47288449815129674,1.3133504524477555,0.0015341954070189551,-19.21098827274171,0.0,taker,,
2020-01-27 16:00:00+00:00,signal,buy,2.157,8779.8709845,18938.1817135665,0.37876363427133003,-0.5,0.008343313050780097,0.0,2.157,maker,8779.8709845,
2020-01-28 01:02:00+00:00,take_profit,sell,2.157,9129.559321924075,19692.45945739023,7.876983782956092,1.0,,754.2777438237301,0.0,taker,,9130.47236916099
2020-01-28 04:00:00+00:00,signal,buy,1.454,9124.0737735,13266.403266669,0.26532806533338005,-0.5,0.01998635455043694,0.0,1.454,maker,9124.0737735,
2020-01-28 04:01:00+00:00,signal,buy,1.264,9129.5435,11539.742984,0.23079485968000002,-0.5,0.0114096301373789,0.0,2.718,maker,9129.5435,
2020-01-28 04:10:00+00:00,take_profit,sell,2.718,9129.559321924075,24814.142236989635,9.925656894795855,1.0,,7.995986320636133,0.0,taker,,9130.47236916099
2020-01-28 08:00:00+00:00,signal,buy,1.546,9047.567599,13987.539508054,0.27975079016108,-0.5,0.019989094337607625,0.0,1.546,maker,9047.567599,
2020-01-28 08:01:00+00:00,signal,buy,0.468,9044.5577495,4232.853026766,0.08465706053532,-0.5,0.004881035250241466,0.0,2.0140000000000002,maker,9044.5577495,
2020-01-28 12:00:00+00:00,signal,sell,1.317,9087.74289908648,11968.557398096893,4.787422959238757,1.8231136417367235,0.010586188550204548,53.83199176226823,0.6970000000000003,taker,,
2020-01-28 14:12:00+00:00,take_profit,sell,0.6970000000000003,9129.559321924075,6363.302847381083,2.545321138952433,1.0,,57.63571889570906,0.0,taker,,9130.47236916099
2020-01-28 16:00:00+00:00,signal,buy,1.915,9029.5485,17291.585377500003,0.3458317075500001,-0.5,0.011392711074376465,0.0,1.915,maker,9029.5485,
2020-01-28 17:32:00+00:00,stop_loss,sell,1.915,8913.859624306939,17070.04118054779,6.828016472219116,1.0,,-221.54419695221387,0.0,taker,,8914.75109941688
2020-01-28 20:00:00+00:00,signal,buy,0.653,9017.969079,5888.733808587001,0.11777467617174002,-0.5,0.0010758962454042442,0.0,0.653,maker,9017.969079,
2020-01-28 22:45:00+00:00,take_profit,sell,0.653,9129.559321924075,5961.602237216421,2.3846408948865685,1.0,,72.86842862942041,0.0,taker,,9130.47236916099
2020-01-29 16:01:00+00:00,signal,buy,0.789,9301.8848825,7339.187172292501,0.14678374344585002,-0.5,0.0053794852471185746,0.0,0.789,maker,9301.8848825,
2020-01-30 08:00:00+00:00,signal,buy,1.5170000000000001,9397.5001015,14256.007653975501,0.28512015307951005,-0.5,0.014066841375202123,0.0,2.306,maker,9397.5001015,
2020-01-30 12:00:00+00:00,signal,sell,1.494,9348.693037316069,13966.947397750206,5.586778959100083,1.611690320989151,0.005846328887372044,-24.041791514490637,0.812,taker,,
2020-01-30 16:00:00+00:00,signal,buy,1.534,9391.9403795,14407.236542153,0.28814473084306,-0.5,0.015456090921046677,0.0,2.346,maker,9391.9403795,
2020-01-30 20:00:00+00:00,signal,sell,1.554,9513.51075740963,14783.995717014564,5.913598286805826,1.5861685948861304,0.005368650337980944,203.52634514376462,0.792,taker,,
2020-01-31 00:00:00+00:00,signal,buy,1.498,9525.1937165,14268.740187317,0.28537480374634,-0.5,0.013241444223446218,0.0,2.29,maker,9525.1937165,
2020-01-31 04:00:00+00:00,signal,sell,1.693,9453.380348755107,16004.572930442397,6.401829172176959,1.892775322806001,0.012453871515802488,-38.05331403884414,0.597,taker,,
2020-01-31 08:00:00+00:00,signal,buy,1.112,9380.170968,10430.750116416002,0.20861500232832006,-0.5,0.008367517701517798,0.0,1.709,maker,9380.170968,
2020-01-31 12:00:00+00:00,signal,sell,1.113,9336.36311144809,10391.372143041724,4.15654885721669,1.5923243058190555,0.005482001301000406,-85.96105324614861,0.5960000000000001,taker,,
2020-01-31 12:41:00+00:00,stop_loss,sell,0.5960000000000001,9273.683293659231,5527.115243020902,2.210846097208361,1.0,,-83.38842722848963,0.0,taker,,9274.610754734704
2020-02-01 12:00:00+00:00,signal,buy,0.638,9364.411756,5974.494700327999,0.11948989400656,-0.5,0.003344166816597485,0.0,0.638,maker,9364.411756,
2020-02-02 04:00:00+00:00,signal,sell,0.47100000000000003,9272.247212773518,4367.228437216328,1.7468913748865311,1.7175056141607432,0.008043973536752898,-43.40949985967271,0.16699999999999998,taker,,
