window,total_return,sharpe,max_drawdown
recent_2024_2026_08,-0.06963478165340209,-0.19682763839267317,-0.18120707283040205
recent_2025_2026_08,-0.024044345358646413,-0.2133787378252933,-0.06835290992711818
recent_2026_ytd,-0.029188641249427993,-0.9862374744401904,-0.04031975819449629
