timestamp,reason,side,quantity,price,notional,fee,slippage_bps,participation,realized_pnl,position_after
2020-01-26 20:00:00+00:00,signal,buy,0.552,8567.155559231143,4729.069868695591,1.8916279474782365,2.131335548243225,0.019998751917481235,0.0,0.552
2020-01-26 20:01:00+00:00,signal,buy,0.16,8565.02427878046,1370.4038846048736,0.5481615538419494,2.1303703994526635,0.01996464437435584,0.0,0.7120000000000001
2020-01-26 20:02:00+00:00,signal,buy,0.314,8564.632344388288,2689.2945561379224,1.0757178224551691,1.415724544969168,0.0027004202701534645,0.0,1.026
2020-01-27 12:00:00+00:00,signal,buy,1.614,8738.565560870917,14104.044815245661,5.641617926098265,1.5171391319413638,0.004178638777891676,0.0,2.64
2020-01-28 04:00:00+00:00,signal,buy,0.795,9126.205530494655,7255.333396743251,2.9021333586973004,1.8362923839968341,0.010927889867673568,0.0,3.435
2020-01-28 08:00:00+00:00,signal,sell,0.9550000000000001,9046.31086286738,8639.226874038348,3.4556907496153393,1.8889625936053838,0.012347726450462667,257.4277683722422,2.48
2020-01-28 12:00:00+00:00,signal,sell,1.497,9087.693408790397,13604.277032959226,5.441710813183691,1.8775620058557037,0.012033048033148223,465.47780659047083,0.9829999999999999
2020-01-28 16:00:00+00:00,signal,buy,1.361,9031.55303381971,12291.943679028625,4.91677747161145,1.7198602654593458,0.008096856277924995,0.0,2.344
2020-01-28 20:00:00+00:00,signal,sell,1.415,9017.169798812156,12759.2952653192,5.103718106127681,1.3862751877211599,0.0023313831351408965,130.8477423602394,0.9289999999999998
2020-01-29 00:00:00+00:00,signal,buy,1.939,9401.086875203435,18228.70745101946,7.291482980407785,1.4541658724246833,0.0032229162449261537,0.0,2.868
2020-01-29 04:00:00+00:00,signal,sell,1.738,9358.026292611363,16264.249696558549,6.50569987862342,1.8843450426105113,0.012219783662340424,193.3540820937798,1.13
2020-01-30 08:00:00+00:00,signal,buy,1.766,9399.871907369947,16600.173788415326,6.640069515366131,2.023742755027464,0.016375769194862853,0.0,2.896
2020-01-30 12:00:00+00:00,signal,sell,1.734,9348.64880828718,16210.55703356997,6.484222813427989,1.6589930833772761,0.006785498186548275,14.763536080572102,1.162
2020-01-30 16:00:00+00:00,signal,buy,1.7770000000000001,9394.354661868652,16693.768234140596,6.677507293656239,2.070461009104749,0.017904480812711832,0.0,2.939
2020-01-30 20:00:00+00:00,signal,sell,1.8,9513.468233033267,17124.24281945988,6.849697127783952,1.6308604361662118,0.006218513904997233,252.99121253576706,1.139
2020-01-31 00:00:00+00:00,signal,buy,1.744,9527.568739955495,16616.079882482383,6.646431952992954,1.9932875645437655,0.015415940404332579,0.0,2.883
2020-01-31 04:00:00+00:00,signal,sell,2.028,9453.300599916001,19171.29361662965,7.66851744665186,1.9771194848946578,0.01491816387126252,-26.70752412551202,0.855
2020-01-31 08:00:00+00:00,signal,buy,1.284,9382.315714930402,12046.893377970637,4.818757351188255,1.78635458817588,0.009661774036644652,0.0,2.1390000000000002
2020-01-31 12:00:00+00:00,signal,sell,1.288,9336.321215231485,12025.181725218152,4.810072690087261,1.6371913968581715,0.0063439511910948106,-102.56679426566468,0.8510000000000002
2020-02-02 04:00:00+00:00,signal,sell,0.467,9272.250044289454,4330.140770683175,1.73205630827327,1.714452384930031,0.00797565953644077,-67.10966301165591,0.3840000000000002
2020-02-02 08:00:00+00:00,signal,sell,0.384,9377.965976559743,3601.1389349989413,1.4404555739995766,1.5289074357174968,0.004370985555582156,-14.587331679463853,0.0
2020-02-02 16:00:00+00:00,signal,buy,2.361,9459.551023608336,22333.99996673928,8.933599986695713,1.8196812676236762,0.01049808407020557,0.0,2.361
2020-02-02 20:00:00+00:00,signal,sell,1.395,9448.433589832304,13180.564857816065,5.2722259431264265,1.6575768970315132,0.006756365242337396,-15.508820117563591,0.9660000000000002
2020-02-03 00:00:00+00:00,signal,sell,0.966,9338.973827319784,9021.448717190911,3.6085794868763648,1.6232260622479977,0.006068917572892893,-116.47757161474117,0.0
2020-02-03 04:00:00+00:00,signal,buy,0.35000000000000003,9398.096613145119,3289.333814600792,1.3157335258403169,1.5075677208529665,0.004025390488310544,0.0,0.35000000000000003
2020-02-03 16:00:00+00:00,signal,buy,0.5650000000000001,9285.075326837006,5246.067559662909,2.0984270238651637,1.2336659550488096,0.0008531215398261292,0.0,0.915
2020-02-03 20:00:00+00:00,signal,sell,0.915,9330.43799590535,8537.350766253396,3.4149403065013586,1.8452363596961732,0.011162882871131855,1.949391989695887,0.0
2020-02-06 20:00:00+00:00,signal,buy,0.874,9755.826109914553,8526.59202006532,3.410636808026128,1.7593710902918471,0.009010069574547325,0.0,0.874
2020-02-07 16:00:00+00:00,signal,buy,1.5290000000000001,9812.067279257222,15002.650869984294,6.001060347993718,1.6281373443097775,0.006164945676820937,0.0,2.403
2020-02-07 20:00:00+00:00,signal,sell,1.117,9781.65484321076,10926.108459866418,4.370443383946568,2.131247139887103,0.01999562642973047,-11.121797389271514,1.286
