year,code,return,max_drawdown
2020,V1,2.9853387566689773,-0.2561243606995547
2020,V2,3.1114272395591307,-0.16578379287339817
2020,V3,3.697553803458108,-0.16218273724992893
2020,V4.1,4.091449623303893,-0.1674802686379041
2020,V5,3.6506537518732145,-0.1835605878771418
2020,V6,1.075908066460657,-0.2994524130935369
2020,BTC,3.004220642097028,-0.5619870406211882
2021,V1,0.548763766922705,-0.2319070324170205
2021,V2,0.5945080705069536,-0.1798143537623036
2021,V3,0.6210921607926654,-0.21170659025887317
2021,V4.1,0.6146560977719147,-0.20930540506833717
2021,V5,0.584609578486589,-0.21910727047599743
2021,V6,0.41750875859767533,-0.19276310605190028
2021,BTC,0.5787553606561,-0.542222950548744
2022,V1,-0.13964893745523488,-0.2821770852338015
2022,V2,-0.1665958994064196,-0.3087283918133584
2022,V3,-0.09784282939816757,-0.28257155702793324
2022,V4.1,-0.05142650110995017,-0.2559192671790028
2022,V5,-0.02157696684159105,-0.23798862053692316
2022,V6,-0.16357001730036735,-0.2764612266922648
2022,BTC,-0.6415473000110796,-0.6721240323018176
2023,V1,4.032664154761956,-0.3212526225798954
2023,V2,3.962361622376225,-0.3250139495128699
2023,V3,3.972948689436029,-0.31853121697313047
2023,V4.1,3.549462441765841,-0.3071868664278208
2023,V5,3.4511603874216137,-0.3040197849237535
2023,V6,0.8820694154203277,-0.2374571926594623
2023,BTC,1.5795701915634677,-0.21284007301655639
2024,V1,0.45517405613691797,-0.3528911260769326
2024,V2,0.5588296360823339,-0.2675304427500512
2024,V3,0.6456727853112312,-0.28814516470949025
2024,V4.1,0.5437576424723432,-0.2786944187102691
2024,V5,0.5832753469787255,-0.265728188949125
2024,V6,0.1208777392744047,-0.3221745571835244
2024,BTC,1.2251689748073926,-0.30086008291564437
2025,V1,0.3203729479501092,-0.26555456565799496
2025,V2,0.35079858527868457,-0.25845111934787257
2025,V3,0.5690415925595036,-0.21631170876637396
2025,V4.1,0.5048084231308376,-0.2363414368297836
2025,V5,0.4860220882694013,-0.22447360845498066
2025,V6,0.04551195715516121,-0.2513165065566486
2025,BTC,-0.06449995670713382,-0.34364332990579727
2026,V1,0.22127127855418838,-0.27911636203727763
2026,V2,0.22410793321192113,-0.29481787408411786
2026,V3,0.27331460971436017,-0.2853725868470621
2026,V4.1,0.3121932987220466,-0.26568352900441183
2026,V5,0.29854280620702967,-0.2682054570871215
2026,V6,0.2748104288562072,-0.11673930649946807
2026,BTC,-0.0907072625621802,-0.3997621932529536
