timestamp,reason,side,quantity,price,notional,fee,slippage_bps,participation,realized_pnl,position_after,liquidity,limit_price
2020-01-23 16:00:00+00:00,signal,sell,0.389,8365.27396647049,3254.0915729570206,1.3016366291828083,1.4534572198249394,0.0032128664095525537,0.0,-0.389,taker,
2020-01-23 20:00:00+00:00,signal,buy,0.389,8380.405434419878,3259.9777139893326,1.303991085595733,1.4982837398516253,0.0038794794593831595,-5.886141032311942,0.0,taker,
2020-01-24 04:00:00+00:00,signal,sell,0.403,8328.86002265814,3356.5305891312305,1.3426122356524923,1.3685202183202883,0.002121986739231764,0.0,-0.403,taker,
2020-01-24 08:00:00+00:00,signal,buy,0.403,8347.115755461784,3363.887649451099,1.3455550597804398,1.7203576722115437,0.008108049623656775,-7.35706031986841,0.0,taker,
2020-01-27 16:00:00+00:00,signal,buy,3.214,8781.971220704392,28225.255503343917,11.290102201337568,1.8919841149030308,0.012431807206864737,0.0,3.214,taker,
2020-01-28 04:00:00+00:00,signal,buy,0.9570000000000001,9126.279675805377,8733.849649745747,3.493539859898299,1.917551704447043,0.013154705161463654,0.0,4.171,taker,
2020-01-28 08:00:00+00:00,signal,sell,1.178,9046.22187606466,10656.449370004168,4.262579748001667,1.9873120697593243,0.01523101754831939,218.22691247848516,2.9930000000000003,taker,
2020-01-28 12:00:00+00:00,signal,sell,1.952,9087.58022012586,17738.956589685677,7.095582635874271,2.002090208528563,0.015690387281700288,442.3434851949015,1.0410000000000004,taker,
2020-01-28 16:00:00+00:00,signal,buy,1.794,9031.649308021055,16202.778858589772,6.481111543435909,1.8264762137934611,0.010672858311974608,0.0,2.8350000000000004,taker,
2020-01-28 20:00:00+00:00,signal,sell,1.853,9017.119512598158,16708.722456844385,6.683488982737755,1.442034637821133,0.0030530409536509407,89.2089551775447,0.9820000000000004,taker,
2020-01-29 00:00:00+00:00,signal,buy,2.49,9401.143743392113,23408.847921046363,9.363539168418546,1.514665747611529,0.004138762996320848,0.0,3.4720000000000004,taker,
2020-01-29 04:00:00+00:00,signal,sell,2.279,9357.906180793756,21326.66818602897,8.530667274411588,2.0126725132137233,0.016023525297165605,180.0274721615019,1.1930000000000005,taker,
2020-01-30 08:00:00+00:00,signal,buy,2.156,9399.972847569015,20266.3414593588,8.10653658374352,2.1311491407354786,0.019992162165415807,0.0,3.3490000000000006,taker,
2020-01-30 08:01:00+00:00,signal,buy,0.14200000000000002,9394.166241447288,1333.971606285515,0.533588642514206,1.2948450138535879,0.001358337221786288,0.0,3.4910000000000005,taker,
2020-01-30 12:00:00+00:00,signal,sell,2.2680000000000002,9348.560288982975,21202.53473541339,8.481013894165356,1.7536641109551292,0.008875149877215393,-22.239037379011084,1.2230000000000003,taker,
2020-01-30 16:00:00+00:00,signal,buy,1.984,9394.411609084636,18638.512632423917,7.455405052969567,2.1310921101585216,0.019990146275982144,0.0,3.2070000000000003,taker,
2020-01-30 16:01:00+00:00,signal,buy,0.329,9395.122599833223,3090.9953353451306,1.2363981341380523,1.2056642951749292,0.0006609031610906321,0.0,3.5360000000000005,taker,
2020-01-30 20:00:00+00:00,signal,sell,2.329,9513.385701181134,22156.675298050865,8.862670119220347,1.7175989318643992,0.008046066047076975,305.97265399293104,1.2070000000000003,taker,
2020-01-31 00:00:00+00:00,signal,buy,2.262,9527.700132281976,21551.65769922183,8.620663079688732,2.1312225617470313,0.019994757565711178,0.0,3.4690000000000003,taker,
2020-01-31 00:01:00+00:00,signal,buy,0.011,9521.887288245072,104.7407601706958,0.04189630406827832,1.0789868195423546,9.748308845963254e-05,0.0,3.4800000000000004,taker,
2020-01-31 04:00:00+00:00,signal,sell,2.577,9453.183028623536,24360.852664762853,9.744341065905141,2.101465522527759,0.018956660895583587,-61.765277945049505,0.9030000000000005,taker,
2020-01-31 08:00:00+00:00,signal,buy,1.493,9382.373487259856,14007.883616478966,5.603153446591587,1.8479413556607402,0.011234445978746468,0.0,2.396000000000001,taker,
2020-01-31 12:00:00+00:00,signal,sell,1.5,9336.27411230195,14004.411168452923,5.6017644673811695,1.6876344105453658,0.007388141915094888,-122.72837969083776,0.8960000000000008,taker,
2020-01-31 20:00:00+00:00,signal,sell,0.896,9315.169208624811,8346.39161092783,3.3385566443711325,1.7074512761831921,0.007820114190206673,-92.21974583004298,0.0,taker,
2020-02-01 12:00:00+00:00,signal,buy,0.96,9366.34793682048,8991.69401934766,3.596677607739064,1.5674913298217028,0.005031975147231325,0.0,0.96,taker,
2020-02-02 04:00:00+00:00,signal,sell,0.709,9272.096226206706,6573.916224380554,2.6295664897522215,1.8803147275496208,0.012108656555324424,-66.82446282516631,0.251,taker,
2020-02-02 08:00:00+00:00,signal,buy,1.7570000000000001,9381.399085651436,16483.118193489572,6.593247277395829,2.1313577109795885,0.019999535471765226,0.0,2.008,taker,
2020-02-02 08:01:00+00:00,signal,buy,0.009000000000000001,9385.978844201767,84.47380959781592,0.03378952383912637,1.0429879613919868,2.887445038498349e-05,0.0,2.017,taker,
2020-02-02 12:00:00+00:00,signal,sell,1.027,9441.361668542082,9696.278433592717,3.878511373437087,1.5867348005990074,0.00537902697240558,63.484155317793864,0.99,taker,
2020-02-02 16:00:00+00:00,signal,buy,1.643,9459.422489612905,15541.831150434004,6.216732460173602,1.6837790623279143,0.007305528219969399,0.0,2.633,taker,
2020-02-02 20:00:00+00:00,signal,sell,1.611,9448.387211368306,15221.351797514342,6.088540719005737,1.7066546367133653,0.007802512118570284,30.605524782579277,1.022,taker,
2020-02-03 00:00:00+00:00,signal,sell,1.022,9338.957191866797,9544.414250087866,3.817765700035147,1.6410361053902105,0.006420738881466394,-92.42168456878217,0.0,taker,
2020-02-03 04:00:00+00:00,signal,buy,0.231,9398.007140067586,2170.9396493556123,0.868375859742245,1.4123499657163043,0.002656757722284959,0.0,0.231,taker,
2020-02-03 16:00:00+00:00,signal,buy,0.461,9285.054346730873,4280.410053842932,1.712164021537173,1.2110676522464587,0.000696086778513001,0.0,0.6920000000000001,taker,
2020-02-03 20:00:00+00:00,signal,sell,0.6920000000000001,9330.540817594223,6456.734245775203,2.582693698310081,1.7350564132818396,0.008442311417293163,5.384542576657893,0.0,taker,
2020-02-04 00:00:00+00:00,signal,buy,0.713,9302.066952756399,6632.373737315312,2.652949494926125,1.5450058290664956,0.00464111490181966,0.0,0.713,taker,
2020-02-04 04:00:00+00:00,signal,sell,0.461,9292.381347489414,4283.7878011926205,1.7135151204770482,1.526450440707203,0.00433046978938763,-4.465064028079885,0.25199999999999995,taker,
2020-02-04 12:00:00+00:00,signal,sell,0.252,9192.564087059312,2316.5261499389467,0.9266104599755787,1.289912104078456,0.0013132660639249612,-27.594722155665725,0.0,taker,
2020-02-06 00:00:00+00:00,signal,buy,2.811,9631.666412543213,27074.61428565897,10.829845714263588,1.7304387779984944,0.008336575131311464,0.0,2.811,taker,
2020-02-06 04:00:00+00:00,signal,sell,1.817,9642.479981663691,17520.386126682926,7.008154450673171,1.679802507552874,0.007220803894924613,19.648255091910087,0.994,taker,
2020-02-07 16:00:00+00:00,signal,buy,1.936,9812.144462207205,18996.31167883315,7.59852467153326,1.7068114037410211,0.00780597438216176,0.0,2.9299999999999997,taker,
2020-02-07 20:00:00+00:00,signal,sell,1.117,9781.65484321076,10926.108459866418,4.370443383946568,2.131247139887103,0.01999562642973047,34.33368178773732,1.8129999999999997,taker,
2020-02-07 20:01:00+00:00,signal,sell,0.775,9784.163789928567,7582.7269371946395,3.033090774877856,1.8048464187188062,0.010121527464445121,25.76592286072928,1.0379999999999998,taker,
2020-02-08 00:00:00+00:00,signal,buy,1.965,9823.278466695738,19302.742187057127,7.721096874822851,1.7904221502763544,0.009761987119492119,0.0,3.003,taker,
2020-02-08 04:00:00+00:00,signal,sell,1.997,9725.219739265225,19421.263819312655,7.768505527725062,1.8199471108472145,0.010504894759167098,-145.87450623800618,1.006,taker,
2020-02-08 08:00:00+00:00,signal,buy,1.9180000000000001,9781.013331315307,18759.98356946276,7.5039934277851055,2.048603401886209,0.017180767100739545,0.0,2.9240000000000004,taker,
2020-02-08 12:00:00+00:00,signal,sell,1.746,9823.516020914283,17151.85897251634,6.860743589006536,2.1311441078134115,0.0199919842600156,63.845507699237665,1.1780000000000004,taker,
2020-02-08 12:01:00+00:00,signal,sell,0.13,9832.429820305559,1278.2158766397226,0.5112863506558891,1.1696449252878434,0.0004496781355612182,5.91246860637606,1.0480000000000005,taker,
2020-02-10 00:00:00+00:00,signal,buy,0.429,10168.66554967256,4362.357520809528,1.7449430083238113,1.2742230021719125,0.0011749727331277614,0.0,1.4770000000000005,taker,
2020-02-10 04:00:00+00:00,signal,sell,0.379,10104.918109876533,3829.763963643206,1.5319055854572825,1.3772485936667285,0.00222369533474257,78.49012220855973,1.0980000000000005,taker,
2020-02-10 08:00:00+00:00,signal,sell,0.854,9984.091722284844,8526.414330831256,3.4105657323325027,1.6005681281467123,0.005635657446025719,73.67591240068168,0.24400000000000055,taker,
2020-02-10 12:00:00+00:00,signal,sell,0.244,9825.41311047827,2397.400798956698,0.9589603195826792,1.3604594822601328,0.002030172474238173,-17.66732059489496,0.0,taker,
2020-02-12 00:00:00+00:00,signal,buy,0.9,10232.02897235938,9208.826075123441,3.6835304300493767,1.2599013946013238,0.001055448983058015,0.0,0.9,taker,
2020-02-14 08:00:00+00:00,signal,sell,0.6970000000000001,10134.438043859336,7063.703316569958,2.8254813266279832,1.4719479521498284,0.0034802323365377636,-68.02087716453029,0.20299999999999996,taker,
2020-02-14 12:00:00+00:00,signal,buy,0.606,10281.668606865487,6230.691175760485,2.492276470304194,1.477222477773251,0.0035584577076881413,0.0,0.8089999999999999,taker,
2020-02-15 08:00:00+00:00,signal,sell,0.597,10234.714556971367,6110.124590511906,2.4440498362047625,1.3925591371675057,0.002407854315214007,-20.59537873187035,0.21199999999999997,taker,
2020-02-15 16:00:00+00:00,signal,sell,0.212,9981.915408642244,2116.166066632156,0.8464664266528624,1.1164860345583034,0.00021201556636122284,-60.90702127350683,0.0,taker,
2020-02-26 04:00:00+00:00,signal,sell,0.323,9177.69904882106,2964.3967927692024,1.185758717107681,1.3301686679271136,0.0017033023325119469,0.0,-0.323,taker,
2020-02-29 00:00:00+00:00,signal,buy,0.323,8701.034553748352,2810.434160860718,1.1241736643442872,1.35008350519567,0.0019149759470326055,153.9626319084846,0.0,taker,
2020-02-29 04:00:00+00:00,signal,sell,0.073,8724.179665806523,636.8651156038761,0.25474604624155045,1.2152493151783805,0.0007239416825744031,0.0,-0.073,taker,
2020-03-01 04:00:00+00:00,signal,sell,0.248,8626.382753609829,2139.3429228952377,0.8557371691580952,1.4572309347278523,0.0032665644948766484,0.0,-0.321,taker,
