code,final_equity,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,holdout_final_equity_rebased,holdout_cagr,holdout_sharpe,holdout_max_drawdown,direction_final_equity,fees_paid,funding_paid,maker_fill_ratio,liquidation_count
V4,470818.46788062545,46.08184678806254,0.7954105969285701,0.44419430385483083,1.538957735451036,2.733257929401712,-0.3039274446274993,12663.799625687407,0.1612470692330359,0.5793410298017243,-0.26624464275098525,470818.46788062545,63833.35856390855,50478.634635916176,0.0,0.0
V4.1.2,453890.60501997545,44.38906050199755,0.7854499491684954,0.4017894658371435,1.6431615550460328,3.0117795651378723,-0.24193872174751685,14800.333336486103,0.28169447836135353,0.8808402092657269,-0.22088661288301348,453890.60501997545,26431.196480536426,35992.980180617225,0.5824449285329404,0.0
V4.2.2,222952.31809229945,21.295231809229946,0.6026534146789191,0.3037461448971855,1.7065847756505343,3.140232293635642,-0.18459861591615356,14011.383859843385,0.23801178136393042,0.9363205917462123,-0.1709148854661955,203339.68935904137,9825.79698591023,14231.863749570926,0.5817342805287392,0.0
V7.1,844208.6131506856,83.42086131506855,0.9619762812094999,0.5060560876349245,1.5832801629281266,2.8135420996826235,-0.37484120457341985,12617.713686296784,0.15857015875969815,0.5590957993692302,-0.28083252496382105,844208.6131506856,119455.13742058295,91644.72782869372,0.0,0.0
V7.1.2,1312799.8455394392,130.27998455394393,1.098103742935499,0.4908240454434899,1.7537187325665435,3.1899535316689724,-0.370510695767157,14022.602968047859,0.2386391931957359,0.716544757038145,-0.28294596658661075,1312799.8455394392,89942.41721577196,108291.52308710918,0.5680560581966904,0.0
V7.1.3,513570.83071519254,50.357083071519256,0.819276986981333,0.37473180446864895,1.7856308966102832,3.248842257112145,-0.3095727176216846,13987.721852849198,0.2366879142426217,0.8149344904034653,-0.20587552682687893,471610.9867285299,25950.744925169205,32766.77503435667,0.5687697245017778,0.0
BTC,87043.68115319907,7.704368115319907,0.3892749280542711,0.6003650548396215,0.850592686830481,1.3401618343261834,-0.7708301064203099,,,,,,0.0,0.0,0.0,0.0
