entry_time,side,equity_before,entry_permission_reason,entry_trend_quality,entry_direction_context,exit_time,holding_minutes,pnl,exit_reason,equity_at_trigger
2020-01-23 16:00:00+00:00,short,10000.0,confirmed_short,0.9170152775207757,short_release,2020-01-24 20:00:00+00:00,1680.0,-17.776933136241496,signal,
2020-01-27 16:00:00+00:00,long,9982.223066863759,confirmed_long,0.9809002986361695,long_continuation,2020-01-28 17:32:00+00:00,1532.0,281.4714279625405,stop_loss,10271.255467242952
2020-01-28 20:00:00+00:00,long,10263.694494826299,confirmed_long,0.8,long_continuation,2020-01-28 23:36:00+00:00,216.0,154.4920247563441,take_profit,10420.877098268844
2020-01-29 16:00:00+00:00,long,10418.186519582643,confirmed_long,0.7903039760520708,long_continuation,2020-01-31 12:41:00+00:00,2681.0,-82.67490121063929,stop_loss,10337.980431481303
2020-02-01 12:00:00+00:00,long,10335.511618372004,probe_long,0.37,long_probe,2020-02-02 04:08:00+00:00,968.0,-80.81646620720676,stop_loss,10255.378955509981
2020-02-02 08:00:00+00:00,long,10254.695152164797,probe_long,0.0,long_probe,2020-02-03 17:00:00+00:00,1980.0,-18.047461652955462,stop_loss,10237.3363848824
2020-02-06 00:00:00+00:00,long,10236.647690511842,confirmed_long,0.6354953871308744,long_continuation,2020-02-09 04:00:00+00:00,4560.0,106.37668215866688,signal,
2020-02-09 20:00:00+00:00,long,10343.024372670508,confirmed_long,0.7749961687389499,long_continuation,2020-02-10 05:58:00+00:00,598.0,-94.33903639645541,stop_loss,10251.934985600397
2020-02-10 08:00:00+00:00,long,10248.685336274053,probe_long,0.0,long_probe,2020-02-10 08:00:00+00:00,0.0,-3.9227923614071187,stop_loss,10245.49022612376
2020-02-12 00:00:00+00:00,long,10244.762543912646,confirmed_long,0.5430070354608629,long_probe,2020-02-13 08:14:00+00:00,1934.0,-67.41709890987659,stop_loss,10180.063297905444
2020-02-14 04:00:00+00:00,long,10177.34544500277,probe_long,0.4,long_probe,2020-02-15 15:52:00+00:00,2152.0,-113.34294533171851,stop_loss,10064.644839112209
2020-02-26 04:00:00+00:00,short,10064.00249967105,confirmed_short,0.9806192915378646,short_release,2020-02-26 16:45:00+00:00,765.0,57.325565418432234,take_profit,10121.790392643858
2020-02-29 04:00:00+00:00,short,10121.328065089483,probe_short,0.4,short_probe,2020-03-02 13:21:00+00:00,3441.0,-5.349410461860316,stop_loss,10116.427603366912
2020-03-08 20:00:00+00:00,short,10115.978654627623,confirmed_short,0.9800000000000001,short_release,2020-03-09 04:34:00+00:00,514.0,16.870972952589,take_profit,10132.990336136463
2020-03-10 04:00:00+00:00,short,10132.849627580212,confirmed_short,0.8,short_release,2020-03-12 07:14:00+00:00,3074.0,20.719547037197117,take_profit,10153.705168169095
2020-03-13 04:00:00+00:00,short,10153.569174617409,confirmed_short,0.8,short_release,2020-03-13 13:34:00+00:00,574.0,-44.87661682722319,stop_loss,10108.8612684633
2020-03-17 08:00:00+00:00,short,10108.692557790186,confirmed_short,0.539839533843367,short_release,2020-03-17 20:00:00+00:00,720.0,-0.07122312060346303,signal,
2020-03-18 08:00:00+00:00,short,10108.621334669582,confirmed_short,0.4825026735799057,short_probe,2020-03-19 04:00:00+00:00,1200.0,-1.4218939422389667,signal,
2020-03-29 04:00:00+00:00,short,10107.199440727343,confirmed_short,0.6668672454973887,short_release,2020-03-30 05:13:00+00:00,1513.0,-1.6414509542446467,stop_loss,10105.824502862839
2020-04-04 16:00:00+00:00,long,10105.557989773099,probe_long,0.3961947296578307,long_probe,2020-04-05 08:00:00+00:00,960.0,2.1157825908139785,signal,
2020-04-06 00:00:00+00:00,long,10107.673772363913,probe_long,0.31539292885437875,long_probe,2020-04-06 23:57:00+00:00,1437.0,120.21281520428238,take_profit,10228.829796584403
