code,strategy,effective_taker_fee_bps,fee_rebate_rate,final_equity,total_return,cagr,sharpe,sortino,max_drawdown,fill_count,fees_paid,funding_paid
V4,V4 稳健长多趋势-反弹混合,2.8,0.3,598505.3598305288,58.850535983052886,0.8505124539775644,1.5170040784150776,2.634581051565311,-0.3180558501488665,1698.0,51321.77493974843,53653.60471206482
V4.1,V4.1 稳健长多趋势-反弹混合优化,2.8,0.3,612360.3572719264,60.236035727192636,0.8568933407723462,1.5220132288175048,2.6419571252936604,-0.318782909416348,1722.0,52943.114570312544,56755.466021505825
V4.2,V4.2 方向策略+资金费中性覆盖,1.9599999999999997,0.3,313150.27623326605,30.315027623326603,0.678722372949792,1.5951149299350464,2.787788687219257,-0.23670885576164802,,,
BTC,BTCUSDT 价格基准,,0.3,110309.27835051547,10.030927835051546,0.43489842683108715,0.9054265782806168,0.0,-0.7708301064203099,,,
