year,code,return,max_drawdown
2020,V4,2.8396659275335536,-0.2465946638074632
2020,V4.1,3.037975469976965,-0.21767462022192152
2020,V4.2,2.0762839863642784,-0.16451762214650234
2020,BTC,3.004220642097028,-0.5619870406211882
2021,V4,0.28835199590520966,-0.3180558501488665
2021,V4.1,0.2871049415180198,-0.31012003518929787
2021,V4.2,0.27321633689718694,-0.2309282972397929
2021,BTC,0.5787553606561,-0.542222950548744
2022,V4,-0.0491094503959969,-0.2530539707969476
2022,V4.1,-0.04843483709895491,-0.25347374631431996
2022,V4.2,-0.01798870700851163,-0.18699870755334136
2022,BTC,-0.6415473000110796,-0.6721240323018176
2023,V4,3.016403681346274,-0.3034103331413701
2023,V4.1,3.0353466441899117,-0.30379851721116624
2023,V4.2,2.0932410595153024,-0.2297899452079104
2023,BTC,1.5795701915634677,-0.21284007301655639
2024,V4,0.6299501631130042,-0.31599182491723854
2024,V4.1,0.618586280784825,-0.318782909416348
2024,V4.2,0.5234283856020925,-0.23670885576164802
2024,BTC,1.2251689748073926,-0.30086008291564437
2025,V4,0.5172601781395672,-0.21756522585182492
2025,V4.1,0.48636755538501997,-0.2317651457352583
2025,V4.2,0.40302936724820126,-0.17791185251668917
2025,BTC,-0.06449995670713382,-0.34364332990579727
2026,V4,0.27902742266212166,-0.2619432721998649
2026,V4.1,0.27347105028484586,-0.2660646423560131
2026,V4.2,0.22987396621250045,-0.20000568033401578
2026,BTC,-0.0907072625621802,-0.3997621932529536
