timestamp,reason,side,quantity,price,notional,fee,slippage_bps,participation,realized_pnl,position_after
2020-01-26 20:00:00+00:00,signal,buy,0.552,8567.155559231143,4729.069868695591,1.8916279474782365,2.131335548243225,0.019998751917481235,0.0,0.552
2020-01-26 20:01:00+00:00,signal,buy,0.16,8565.02427878046,1370.4038846048736,0.5481615538419494,2.1303703994526635,0.01996464437435584,0.0,0.7120000000000001
2020-01-26 20:02:00+00:00,signal,buy,1.9120000000000001,8565.154822309283,16376.57602025535,6.5506304081021405,2.025852182051988,0.016443323428450396,0.0,2.624
2020-02-02 08:00:00+00:00,signal,sell,1.7570000000000001,9377.400914348564,16476.093406510427,6.590437362604171,2.1313577109795885,0.019999535471765226,1426.3908713970252,0.867
2020-02-02 08:01:00+00:00,signal,sell,0.867,9383.66552349225,8135.63800886778,3.254255203547112,1.4219248883868054,0.0027815720537534097,709.2907704253674,0.0
2020-02-02 16:00:00+00:00,signal,buy,2.636,9459.594928826886,24935.49223238767,9.974196892955069,1.8661033523393649,0.011720859639585718,0.0,2.636
2020-02-03 00:00:00+00:00,signal,sell,2.636,9338.594340036696,24616.534680336732,9.846613872134693,2.029508048618922,0.016560731596424086,-318.9575520509403,0.0
2020-02-03 04:00:00+00:00,signal,buy,1.738,9398.682486967227,16334.91016234904,6.5339640649396165,2.1310579558167886,0.019988939053382074,0.0,1.738
2020-02-03 04:01:00+00:00,signal,buy,0.662,9407.341042557639,6227.659770173157,2.491063908069263,1.6702965920271873,0.00702027377005096,0.0,2.4
2020-02-03 20:00:00+00:00,signal,sell,1.639,9330.171087025712,15292.150411635143,6.1168601646540575,2.1312461148200033,0.019995590192114873,-116.20463811647693,0.7609999999999999
2020-02-03 20:01:00+00:00,signal,sell,0.761,9333.278901444713,7102.625243999427,2.841050097599771,1.832994524136285,0.010841873081891187,-51.58963877115389,0.0
2020-02-06 20:00:00+00:00,signal,buy,1.94,9756.188947892926,18927.006558912275,7.57080262356491,2.131355800709217,0.019999467934349893,0.0,1.94
2020-02-06 20:01:00+00:00,signal,buy,0.233,9762.278888037166,2274.6109809126597,0.9098443923650639,2.1299645879842797,0.019950312032788794,0.0,2.173
2020-02-06 20:02:00+00:00,signal,buy,0.14400000000000002,9762.269258850372,1405.7667732744537,0.5623067093097815,2.13034669445026,0.019963807025853576,0.0,2.317
2020-02-06 20:03:00+00:00,signal,buy,0.193,9760.94323559457,1883.8620444697522,0.753544817787901,1.3148363719319185,0.001548780329550833,0.0,2.5100000000000002
2020-02-10 08:00:00+00:00,signal,sell,2.5100000000000002,9983.663300398957,25058.994884001386,10.023597953600555,2.0296039643167343,0.016563817552136484,567.7485264322394,0.0
2020-02-11 16:00:00+00:00,signal,buy,2.396,10206.377148925574,24454.479648825676,9.781791859530271,1.4572905005114265,0.003267415654031109,0.0,2.396
2020-02-15 16:00:00+00:00,signal,sell,2.396,9981.640755555081,23916.011250309974,9.56640450012399,1.391606000301512,0.002396175929252311,-538.4683985157008,0.0
2020-02-19 00:00:00+00:00,signal,buy,0.448,10175.937578527582,4558.820035180357,1.8235280140721428,1.3834334633459786,0.002297206575210812,0.0,0.448
2020-02-19 12:00:00+00:00,signal,buy,1.3860000000000001,10214.348104872506,14157.086473353294,5.662834589341318,1.310196379427052,0.001503465528275806,0.0,1.834
2020-02-20 00:00:00+00:00,signal,sell,1.834,9591.621273706047,17591.03341597689,7.036413366390756,1.7603166101725458,0.009032521057879238,-1124.8730925567622,0.0
2020-02-23 12:00:00+00:00,signal,buy,1.9000000000000001,9844.09453214316,18703.77961107201,7.481511844428804,2.0265310687358338,0.016465094298123952,0.0,1.9000000000000001
2020-02-24 04:00:00+00:00,signal,sell,1.671,9757.16025570741,16304.214787287081,6.5216859149148325,2.1310514882209386,0.019988710453231244,-145.26717592414093,0.2290000000000001
2020-02-24 04:01:00+00:00,signal,sell,0.229,9752.441766136437,2233.3091644452443,0.8933236657780977,1.3105090812141058,0.0015064982736941886,-20.988483415539807,0.0
2020-04-04 08:00:00+00:00,signal,buy,1.455,6726.939777350512,9787.697376044995,3.915078950417998,1.9028279016652316,0.012735909687894455,0.0,1.455
2020-04-06 04:00:00+00:00,signal,buy,0.23900000000000002,6841.625711489344,1635.1485450459534,0.6540594180183814,1.1339402111485364,0.00028031219003928916,0.0,1.6940000000000002
2020-04-10 04:00:00+00:00,signal,sell,1.694,7171.807303165623,12149.041571562566,4.859616628625027,1.230635695083596,0.0008311378726045844,726.195650471619,0.0
2020-04-12 16:00:00+00:00,signal,buy,2.207,7015.157317323767,15482.452199333551,6.192980879733421,1.236500520748007,0.0008739452549074767,0.0,2.207
2020-04-13 04:00:00+00:00,signal,sell,2.207,6670.045615180757,14720.790672703928,5.888316269081572,1.445635397405077,0.003102982928443452,-761.661526629623,0.0
2020-04-24 00:00:00+00:00,signal,buy,1.8800000000000001,7484.464576868466,14070.793404512717,5.628317361805087,1.4760440075934582,0.003540904643213133,0.0,1.8800000000000001
