,main_v43,xuyujian_v71_ref,wzy_v71_risk_adjusted_plus
2024-02-17 20:00:00+00:00,41275.14272330253,18190.19093703184,20087.463843817743
2024-02-18 00:00:00+00:00,41275.14272330253,18211.92607869832,20087.463843817743
2024-02-18 04:00:00+00:00,41275.14272330253,18196.756860638405,20087.463843817743
2024-02-18 08:00:00+00:00,41275.14272330253,18213.138543305206,20087.463843817743
2024-02-18 12:00:00+00:00,41275.14272330253,18226.821283914913,20171.07215539989
2024-02-18 16:00:00+00:00,41275.14272330253,18222.236483914912,20143.66755539989
2024-02-18 20:00:00+00:00,41275.14272330253,18220.005090042516,20130.32990566259
2024-02-19 00:00:00+00:00,41275.14272330253,18252.614206134596,20325.24348594025
2024-02-19 04:00:00+00:00,41275.14272330253,18245.9171726222,20285.21349017299
2024-02-19 08:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-19 12:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-19 16:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-19 20:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-20 00:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-20 04:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-20 08:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-20 12:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-20 16:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-20 20:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-21 00:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-21 04:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-21 08:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-21 12:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-21 16:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-21 20:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-22 00:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-22 04:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-22 08:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-22 12:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-22 16:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-22 20:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-23 00:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-23 04:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-23 08:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-23 12:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-23 16:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-23 20:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-24 00:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-24 04:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-24 08:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-24 12:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-24 16:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-24 20:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-25 00:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-25 04:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-25 08:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-25 12:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-25 16:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-25 20:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-26 00:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-26 04:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-26 08:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-26 12:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-26 16:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-26 20:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-27 00:00:00+00:00,41275.14272330253,18243.953169407287,20272.49991367784
2024-02-27 04:00:00+00:00,41275.14272330253,18243.953169407287,22240.894500274677
2024-02-27 08:00:00+00:00,41275.14272330253,18243.953169407287,22536.281850921692
2024-02-27 12:00:00+00:00,41361.48799454279,18243.953169407287,22896.366298971632
2024-02-27 16:00:00+00:00,41398.24372311785,18243.953169407287,22896.366298971632
2024-02-27 20:00:00+00:00,41509.262913939696,18243.953169407287,22896.366298971632
2024-02-28 00:00:00+00:00,41451.361713939696,18243.953169407287,22896.366298971632
2024-02-28 04:00:00+00:00,41428.11883315098,18243.953169407287,22896.366298971632
2024-02-28 08:00:00+00:00,41668.6274753931,18243.953169407287,24046.88379835762
2024-02-28 12:00:00+00:00,41798.0621708289,18243.953169407287,25103.02969717471
2024-02-28 16:00:00+00:00,42164.392921264596,18243.953169407287,25103.02969717471
2024-02-28 20:00:00+00:00,42166.064591664704,18243.953169407287,25103.02969717471
2024-02-29 00:00:00+00:00,42428.801167219004,18243.953169407287,25103.02969717471
2024-02-29 04:00:00+00:00,41875.21918559412,18243.953169407287,25103.02969717471
2024-02-29 08:00:00+00:00,42291.69759830705,18243.953169407287,25103.02969717471
2024-02-29 12:00:00+00:00,42373.348166433294,18243.953169407287,25158.646099088004
2024-02-29 16:00:00+00:00,42293.81491565269,18243.953169407287,25113.64702298845
2024-02-29 20:00:00+00:00,41846.27566029851,18243.953169407287,24693.425182098556
2024-03-01 00:00:00+00:00,41723.610586106035,18243.953169407287,24693.425182098556
2024-03-01 04:00:00+00:00,41711.35190483795,18243.953169407287,24693.425182098556
2024-03-01 08:00:00+00:00,41785.557919375155,18243.953169407287,24693.425182098556
2024-03-01 12:00:00+00:00,41893.19167768825,18243.953169407287,24693.425182098556
2024-03-01 16:00:00+00:00,41738.83822573165,18243.953169407287,24566.868106193822
2024-03-01 20:00:00+00:00,41971.570143420045,18243.953169407287,24758.42437690658
2024-03-02 00:00:00+00:00,42015.52311437805,18243.953169407287,24794.60105300278
2024-03-02 04:00:00+00:00,41996.435551149814,18243.953169407287,24778.890520191853
2024-03-02 08:00:00+00:00,41917.81155114981,18243.953169407287,24714.176920191854
2024-03-02 12:00:00+00:00,41863.89041424225,18243.953169407287,24625.925929257715
2024-03-02 16:00:00+00:00,41846.86041424225,18243.953169407287,24604.94449477769
2024-03-02 20:00:00+00:00,41928.91324909689,18243.953169407287,24658.27883743321
2024-03-03 00:00:00+00:00,41891.22363157809,18243.953169407287,24633.78058604599
2024-03-03 04:00:00+00:00,41872.14884329411,18243.953169407287,24621.3819736614
2024-03-03 08:00:00+00:00,41780.04659143951,18243.953169407287,24561.51550995591
2024-03-03 12:00:00+00:00,41840.12936201877,18243.953169407287,24600.569310832427
2024-03-03 16:00:00+00:00,41921.27887939497,18243.953169407287,24595.242138523357
2024-03-03 20:00:00+00:00,42065.50213390641,18243.953169407287,24927.13359201213
2024-03-04 00:00:00+00:00,42164.41925011861,18243.953169407287,24992.517139451185
2024-03-04 04:00:00+00:00,42242.57681219185,18243.953169407287,25181.914929576873
2024-03-04 08:00:00+00:00,42401.69704754905,18243.953169407287,25294.111630830877
2024-03-04 12:00:00+00:00,42729.407593979435,18243.953169407287,25549.365417755413
2024-03-04 16:00:00+00:00,42751.62156384802,18243.953169407287,25549.365417755413
2024-03-04 20:00:00+00:00,42751.62156384802,18243.953169407287,25549.365417755413
2024-03-05 00:00:00+00:00,42924.21086956039,18243.953169407287,25549.365417755413
2024-03-05 04:00:00+00:00,42898.21897088239,18243.953169407287,25549.365417755413
2024-03-05 08:00:00+00:00,42478.07627939335,18243.953169407287,25549.365417755413
2024-03-05 12:00:00+00:00,42476.27568668826,18265.810932841665,25549.365417755413
2024-03-05 16:00:00+00:00,42480.714504181975,18270.358014176687,25549.365417755413
