timestamp,rate,mark_price,position,notional,payment,wallet_after
2024-07-15 08:00:00+00:00,3.202e-05,62821.11483688,0.000999999999990564,62.821114836287215,0.0020115320970579167,272640.2595603433
2024-07-15 16:00:00+00:00,-5.14e-06,62992.92755319,0.000999999999990564,62.992927552595596,-0.0003237836476203414,272640.25988412695
2024-07-16 00:00:00+00:00,-5.062e-05,64694.98063121,0.000999999999990564,64.69498063059953,-0.0032748599195209483,272640.26315898687
2024-07-16 08:00:00+00:00,8.814e-05,62881.8,10.734999999999989,675036.1229999993,59.49768388121994,272302.81796425657
2024-07-16 16:00:00+00:00,2.717e-05,64842.43587234,2.450999999999988,158928.81032310455,4.31809577647875,256618.6407250548
2024-07-17 00:00:00+00:00,-3.419e-05,65007.25863121,6.709999999999988,436198.7054154184,-14.913633738153155,256523.08463871697
2024-07-17 08:00:00+00:00,1.775e-05,65236.46422695,6.709999999999988,437736.6749628337,7.769825980590299,256515.31481273638
2024-07-17 16:00:00+00:00,2.143e-05,64695.8,6.709999999999988,434108.8179999993,9.302951969739985,256506.01186076665
2024-07-18 00:00:00+00:00,6.89e-06,64057.3,6.709999999999988,429824.48299999925,2.9614906878699947,256503.0503700788
2024-07-18 08:00:00+00:00,1.546e-05,64643.7,6.822999999999988,441063.9650999992,6.818848900445988,252989.95237895934
2024-07-18 16:00:00+00:00,3.127e-05,63507.16174468,6.822999999999988,433309.3645839509,13.549583830540143,252976.4027951288
2024-07-19 00:00:00+00:00,4.029e-05,63959.9,2.320999999999988,148450.92789999925,5.98108788509097,246822.4492963936
2024-07-19 08:00:00+00:00,4.855e-05,63673.9,2.320999999999988,147787.12189999924,7.1750647682449635,246815.27423162537
2024-07-19 16:00:00+00:00,4.606e-05,65799.9,2.320999999999988,152721.5678999992,7.034355417473964,246808.2398762079
2024-07-20 00:00:00+00:00,-3.077e-05,66631.11457447,6.810999999999988,453824.52136671444,-13.964180522453802,246704.02431517476
2024-07-20 08:00:00+00:00,1.944e-05,66526.3,6.810999999999988,453110.6292999993,8.808470633591986,246695.21584454118
