entry_time,side,equity_before,exit_time,pnl,exit_reason,equity_at_trigger
2020-02-04 16:00:00+00:00,long,10000.0,2020-02-04 20:00:00+00:00,-8.693574324843212,signal,
2020-04-02 04:00:00+00:00,short,9991.306425675157,2020-04-02 12:00:00+00:00,-21.046431873921392,signal,
2020-04-18 20:03:00+00:00,short,9970.259993801235,2020-04-20 04:00:00+00:00,12.001608841166671,signal,
2020-08-08 16:00:00+00:00,short,9982.261602642402,2020-08-09 13:40:00+00:00,28.15971227924456,take_profit,10011.353466168846
2020-08-17 04:00:00+00:00,short,10010.421314921647,2020-08-17 13:23:00+00:00,-80.08302928895682,stop_loss,9931.452488784156
2020-08-21 16:00:00+00:00,long,9930.33828563269,2020-08-21 20:00:00+00:00,-14.002911245970608,signal,
2020-08-31 04:00:00+00:00,short,9916.33537438672,2020-08-31 20:00:00+00:00,-18.939948923121847,signal,
2020-09-13 00:00:00+00:00,short,9897.395425463597,2020-09-13 04:00:00+00:00,-36.14851198190809,signal,
2020-09-27 20:00:00+00:00,short,9861.24691348169,2020-09-28 00:00:00+00:00,-15.816317320619419,signal,
2020-10-06 04:00:00+00:00,short,9845.43059616107,2020-10-06 16:00:00+00:00,13.488179090170888,signal,
2021-02-14 16:00:00+00:00,short,9858.91877525124,2021-02-15 02:19:00+00:00,53.19988004467996,take_profit,9912.617104609528
2021-03-20 16:00:00+00:00,short,9912.11865529592,2021-03-21 04:29:00+00:00,58.58616162259932,take_profit,9971.300827745243
2021-03-29 04:00:00+00:00,short,9970.70481691852,2021-03-29 09:36:00+00:00,-73.95813910962352,stop_loss,9897.461393188023
2021-04-01 20:00:00+00:00,short,9896.746677808896,2021-04-02 19:07:00+00:00,19.836839069193957,take_profit,9917.330229745185
2021-05-03 12:00:00+00:00,short,9916.58351687809,2021-05-04 00:51:00+00:00,103.696623391299,take_profit,10021.00895431931
2021-06-02 12:00:00+00:00,short,10020.28014026939,2021-06-03 08:00:00+00:00,-46.96664343526754,signal,
2021-07-12 08:01:00+00:00,short,9973.313496834122,2021-07-12 12:31:00+00:00,56.12273434842609,take_profit,10030.26811268429
2021-08-16 08:00:00+00:00,short,10029.436231182548,2021-08-16 15:11:00+00:00,59.73670732145365,take_profit,10089.920000318438
2021-08-19 08:00:00+00:00,long,10089.172938504002,2021-08-19 12:00:00+00:00,-21.29491067922754,signal,
2021-08-26 20:00:00+00:00,long,10067.878027824774,2021-08-27 15:03:00+00:00,69.18548294316861,take_profit,10137.87820093095
2021-09-01 08:01:00+00:00,long,10137.063510767943,2021-09-01 16:38:00+00:00,48.7243665591468,take_profit,10186.701370709963
2021-10-20 04:00:00+00:00,short,10185.78787732709,2021-10-20 12:00:00+00:00,0.055638385563725024,signal,
2021-11-03 00:00:00+00:00,short,10185.843515712653,2021-11-03 04:00:00+00:00,-0.896174652627451,signal,
2021-11-05 20:00:00+00:00,long,10184.947341060026,2021-11-06 04:00:00+00:00,-1.4306702217563725,signal,
2021-11-15 08:00:00+00:00,short,10183.51667083827,2021-11-15 15:45:00+00:00,53.849513338189354,take_profit,10238.320547094478
2021-11-25 20:00:00+00:00,short,10237.366184176459,2021-11-26 07:30:00+00:00,56.988584132770484,take_profit,10295.133930818567
2022-02-01 08:00:00+00:00,short,10294.35476830923,2022-02-02 04:00:00+00:00,-7.852822658016521,signal,
2022-02-13 12:00:00+00:00,long,10286.501945651213,2022-02-14 16:00:00+00:00,4.168647167891322,signal,
2022-03-13 04:01:00+00:00,long,10290.670592819104,2022-03-13 16:00:00+00:00,-14.115129091333074,signal,
2022-04-18 04:00:00+00:00,long,10276.555463727771,2022-04-18 04:24:00+00:00,-78.27254013536731,stop_loss,10199.418981965975
2022-05-18 20:00:00+00:00,long,10198.282923592404,2022-05-19 00:00:00+00:00,-28.84593438986849,signal,
2022-05-24 00:00:00+00:00,long,10169.436989202535,2022-05-24 23:09:00+00:00,38.35819844560501,take_profit,10208.519288231217
2022-06-25 12:00:00+00:00,short,10207.79518764814,2022-06-27 13:35:00+00:00,22.531642621324863,take_profit,10230.854842528443
2022-07-07 04:00:00+00:00,short,10230.326830269465,2022-07-07 12:00:00+00:00,-3.542179270527413,signal,
2022-07-24 00:02:00+00:00,long,10226.784650998938,2022-07-24 12:00:00+00:00,11.670923569889055,signal,
2022-08-03 08:01:00+00:00,long,10238.455574568827,2022-08-03 20:00:00+00:00,45.95944929309917,signal,
2022-08-04 16:01:00+00:00,long,10284.415023861926,2022-08-04 20:00:00+00:00,-53.576979068808214,signal,
2022-08-13 08:00:00+00:00,short,10230.838044793118,2022-08-14 08:00:00+00:00,-34.78427279848074,signal,
2022-08-16 20:00:00+00:00,long,10196.053771994637,2022-08-17 06:44:00+00:00,55.73036327344926,take_profit,10252.73673170668
2022-10-21 04:00:00+00:00,long,10251.784135268086,2022-10-21 12:13:00+00:00,-78.17367716301305,stop_loss,10175.03717775701
2022-11-25 16:01:00+00:00,short,10173.610458105073,2022-11-26 00:00:00+00:00,-5.306532371612775,signal,
2023-02-23 20:01:00+00:00,long,10168.30392573346,2023-02-24 16:00:00+00:00,-67.35251682508897,signal,
2023-04-05 08:00:00+00:00,short,10100.951408908371,2023-04-05 15:03:00+00:00,57.13105325338438,take_profit,10159.133819072846
2023-04-08 00:00:00+00:00,long,10158.082462161756,2023-04-09 18:53:00+00:00,12.608039661852672,take_profit,10172.009845001443
2023-04-30 20:02:00+00:00,short,10170.690501823608,2023-05-01 01:38:00+00:00,12.16759421840652,take_profit,10183.907281969861
2023-07-05 20:00:00+00:00,long,10182.858096042015,2023-07-06 04:00:00+00:00,6.356644033663542,signal,
2023-07-17 04:00:00+00:00,long,10189.214740075678,2023-07-17 18:34:00+00:00,-78.02063878184526,stop_loss,10112.83676690018
2023-08-05 20:00:00+00:00,long,10111.194101293833,2023-08-06 04:00:00+00:00,-3.8688919608885044,signal,
2023-08-08 04:00:00+00:00,short,10107.325209332945,2023-08-08 12:00:00+00:00,-59.91293729306926,signal,
2023-11-21 00:00:00+00:00,short,10047.412272039875,2023-11-21 14:35:00+00:00,57.18975104614765,take_profit,10105.766263432473
2024-01-07 12:00:00+00:00,short,10104.602023086023,2024-01-08 02:17:00+00:00,31.612409200744878,take_profit,10137.210605306444
2024-02-24 04:00:00+00:00,long,10136.214432286768,2024-02-24 17:39:00+00:00,44.29583107286817,take_profit,10181.767733387542
2024-05-11 08:01:00+00:00,long,10180.510263359636,2024-05-12 00:00:00+00:00,-11.409697788309131,signal,
2024-05-14 00:00:00+00:00,short,10169.100565571327,2024-05-14 06:14:00+00:00,60.014007701965966,take_profit,10230.263159367372
2024-05-30 00:00:00+00:00,long,10229.114573273293,2024-05-30 17:16:00+00:00,62.0855790789974,take_profit,10292.438908520775
