timestamp,rate,mark_price,position,notional,payment,wallet_after
2020-04-02 08:00:00+00:00,3.28e-05,6645.55286625,-0.245,1628.16045223125,-0.053403662833185,9991.340417458443
2020-04-19 00:00:00+00:00,-0.00019142,7247.26766532,-0.336,2435.08193554752,0.4661233841025063,9969.764858121789
2020-04-19 08:00:00+00:00,-5.966e-05,7146.07986363,-0.336,2401.08283417968,0.1432486018871597,9969.621609519902
2020-04-19 16:00:00+00:00,8.514e-05,7097.47536424,-0.336,2384.7517223846403,-0.20303776164382828,9969.824647281546
2020-04-20 00:00:00+00:00,-1.31e-05,7120.79939455,-0.336,2392.5885965688003,0.03134291061505128,9969.79330437093
2020-08-09 00:00:00+00:00,0.0001,11765.72,-0.224,2635.52128,-0.263552128,9982.493581959841
2020-08-09 08:00:00+00:00,0.00021066,11708.47,-0.224,2622.69728,-0.5524974090047999,9983.046079368845
2020-08-17 08:00:00+00:00,0.00039806,11817.06,-0.265,3131.5209,-1.246533209454,10011.630143339156
2020-08-31 08:00:00+00:00,0.0001,11625.21196953,-0.382,4440.830972360461,-0.4440830972360461,9916.725907727401
2020-08-31 16:00:00+00:00,0.00015461,11749.0,-0.382,4488.118,-0.6939079239800001,9917.419815651381
2020-09-28 00:00:00+00:00,0.0001,10767.81700517,-0.367,3951.78884089739,-0.395178884089739,9861.594847282722
2020-10-06 08:00:00+00:00,-8.313e-05,10708.07,-0.497,5321.91079,0.44241044397269996,9844.924023526708
2020-10-06 16:00:00+00:00,6.937e-05,10729.89083246,-0.497,5332.7557437326195,-0.3699332659427318,9845.293956792651
2021-02-15 00:00:00+00:00,0.0011786,48652.01,-0.031,1508.2123100000001,-1.777579028566,9860.678262985528
2021-03-21 00:00:00+00:00,0.00031366,58156.27824689,-0.03,1744.6883474067,-0.5472389470475855,9912.644550680243
2021-03-29 08:00:00+00:00,0.0001,55931.47164717,-0.036000000000000004,2013.5329792981204,-0.20135329792981205,9970.882229290182
2021-04-02 00:00:00+00:00,0.00071058,58794.01,-0.037,2175.37837,-1.5457803621546,9898.26626384508
2021-04-02 08:00:00+00:00,0.00106221,59517.0,-0.037,2202.129,-2.3391234450900003,9900.60538729017
2021-04-02 16:00:00+00:00,0.0010197,59545.06723004,-0.037,2203.16748751148,-2.246569887015456,9902.851957177185
2021-05-03 16:00:00+00:00,0.00067307,57665.81068377,-0.038,2191.30080598326,-1.4748988334831528,9918.031634427376
