timestamp,funding_rate,trailing_7d_annualized,trailing_30d_annualized,positive_ratio_7d,observation_count_30d,active,state_changed,reason,funding_return,idle_return,transition_cost_return,neutral_return,neutral_equity,drawdown
2020-01-01 00:00:00+00:00,-0.00012359,,,,0,False,False,hold_idle,0.0,0.0,0.0,0.0,1.0,0.0
2020-01-01 08:00:00+00:00,-0.00012383,-0.0064487496428571435,-0.00150470825,0.0,1,False,False,hold_idle,0.0,3.5794127387411834e-05,0.0,3.5794127387411834e-05,1.0000357941273874,0.0
2020-01-01 16:00:00+00:00,-9.664e-05,-0.012910022142857146,-0.003012338500000001,0.0,2,False,False,hold_idle,0.0,3.5794127387411834e-05,0.0,3.5794127387411834e-05,1.0000715895359944,0.0
2020-01-02 00:00:00.002000+00:00,3.662e-05,-0.017952559285714285,-0.004188930499999999,0.0,3,False,False,hold_idle,0.0,3.5794129873201186e-05,0.0,3.5794129873201186e-05,1.0001073862283527,0.0
2020-01-02 08:00:00+00:00,0.0001,-0.016041780000000002,-0.0037430820000000004,0.25,4,False,False,hold_idle,0.0,3.579412490162248e-05,0.0,3.579412490162248e-05,1.0001431841970505,0.0
2020-01-02 16:00:00+00:00,1.04e-06,-0.010823922857142858,-0.002525582,0.4,5,False,False,hold_idle,0.0,3.5794127387411834e-05,0.0,3.5794127387411834e-05,1.0001789834495913,0.0
2020-01-03 00:00:00+00:00,-1.664e-05,-0.010769657142857143,-0.00251292,0.5,6,False,False,hold_idle,0.0,3.5794127387411834e-05,0.0,3.5794127387411834e-05,1.0002147839835351,0.0
2020-01-03 08:00:00+00:00,-1.553e-05,-0.011637908571428572,-0.0027155120000000002,0.42857142857142855,7,False,False,hold_idle,0.0,3.5794127387411834e-05,0.0,3.5794127387411834e-05,1.000250585798928,0.0
2020-01-03 16:00:00.001000+00:00,0.0001,-0.012448241785714286,-0.00290458975,0.375,8,False,False,hold_idle,0.0,3.579412863019549e-05,0.0,3.579412863019549e-05,1.0002863888970583,0.0
2020-01-04 00:00:00+00:00,0.0001,-0.007230384642857143,-0.00168708975,0.4444444444444444,9,False,False,hold_idle,0.0,3.5794126144406135e-05,0.0,3.5794126144406135e-05,1.000322193274243,0.0
2020-01-04 08:00:00+00:00,8.4e-07,-0.0020125274999999994,-0.0004695897499999999,0.5,10,False,False,hold_idle,0.0,3.5794127387411834e-05,0.0,3.5794127387411834e-05,1.0003579989342575,0.0
2020-01-04 16:00:00+00:00,7.387e-05,-0.0019686974999999995,-0.00045936274999999993,0.5454545454545454,11,False,False,hold_idle,0.0,3.5794127387411834e-05,0.0,3.5794127387411834e-05,1.0003938058759043,0.0
2020-01-05 00:00:00+00:00,0.0001,0.0018857335714285717,0.00044000450000000003,0.5833333333333334,12,False,False,hold_idle,0.0,3.5794127387411834e-05,0.0,3.5794127387411834e-05,1.0004296140992295,0.0
2020-01-05 08:00:00+00:00,0.0001,0.007103590714285715,0.0016575045000000001,0.6153846153846154,13,False,False,hold_idle,0.0,3.5794127387411834e-05,0.0,3.5794127387411834e-05,1.0004654236042787,0.0
2020-01-05 16:00:00+00:00,0.0001,0.012321447857142858,0.0028750045,0.6428571428571429,14,False,False,hold_idle,0.0,3.5794127387411834e-05,0.0,3.5794127387411834e-05,1.000501234391098,0.0
