variant,note,final_equity,total_return,sharpe,calmar,max_drawdown,trade_count,governor_max_drawdown_observed,governor_min_scale_observed
baseline,当前 long participation 最优候选,12300.67993644455,0.23006799364445496,0.31927831297490156,0.1814732656376226,-0.17612000918543602,281.0,0.21725761798208443,0.0
no_governor,关闭账户级 governor,65798.064190771,5.5798064190771,0.9852155240772683,0.8617515784295872,-0.3845871615518186,510.0,0.4029933436229004,1.0
no_price_drawdown,关闭价格回撤刹车,12947.390257933397,0.29473902579333977,0.3776292269604608,0.22705530510434932,-0.176284421032064,281.0,0.21742015029525286,0.0
no_governor_no_price_drawdown,同时关闭 governor 与价格回撤刹车,66339.72170542645,5.633972170542645,0.9839705199273553,0.8652733206519846,-0.3849397200909892,510.0,0.4104510547093565,1.0
