,baseline,lighter_short,faster_trend_capture,tighter_breakout_filter,quicker_exit,rapid_lock_profit,tighter_governor,balanced_recovery,ref_plus_live
2023-01-01 00:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2023-01-01 04:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2023-01-01 08:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10003.629494752617
2023-01-01 12:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9989.985711009449,10000.0,10000.0,10000.0,9991.941090352617
2023-01-01 16:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9988.876911009449,10000.0,10000.0,10000.0,9990.594690352618
2023-01-01 20:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9974.467343334905,10000.0,10000.0,10000.0,9973.097358176385
2023-01-02 00:00:00+00:00,9998.762710109948,10000.0,9998.762710109948,9998.762710109948,9971.457055488685,9998.762710109948,9998.762710109948,10000.0,9968.849814145971
2023-01-02 04:00:00+00:00,9997.979596377258,10000.0,9997.979596377258,9997.979596377258,9971.457055488685,9997.979596377258,9997.979596377258,10000.0,9961.59583627687
2023-01-02 08:00:00+00:00,9997.979596377258,10000.0,9997.979596377258,9997.979596377258,9971.457055488685,9997.979596377258,9997.979596377258,10000.0,9961.59583627687
2023-01-02 12:00:00+00:00,9997.979596377258,10000.0,9997.979596377258,9997.979596377258,9971.457055488685,9997.979596377258,9997.979596377258,10000.0,9961.59583627687
2023-01-02 16:00:00+00:00,9997.979596377258,10000.0,9997.979596377258,9997.979596377258,9971.457055488685,9997.979596377258,9997.979596377258,10000.0,9961.59583627687
2023-01-02 20:00:00+00:00,9997.979596377258,10000.0,9997.979596377258,9997.979596377258,9971.457055488685,9997.979596377258,9997.979596377258,10000.0,9961.59583627687
2023-01-03 00:00:00+00:00,9997.979596377258,10000.0,9997.979596377258,9997.979596377258,9971.457055488685,9997.979596377258,9997.979596377258,10000.0,9961.59583627687
2023-01-03 04:00:00+00:00,9997.979596377258,10000.0,9997.979596377258,9997.979596377258,9971.457055488685,9997.979596377258,9997.979596377258,10000.0,9961.59583627687
2023-01-03 08:00:00+00:00,9997.979596377258,10000.0,9997.979596377258,9997.979596377258,9971.457055488685,9997.979596377258,9997.979596377258,10000.0,9961.59583627687
2023-01-03 12:00:00+00:00,9997.979596377258,10000.0,9997.979596377258,9997.979596377258,9971.457055488685,9997.979596377258,9997.979596377258,10000.0,9961.59583627687
2023-01-03 16:00:00+00:00,9997.979596377258,10000.0,9997.979596377258,9997.979596377258,9971.457055488685,9997.979596377258,9997.979596377258,10000.0,9961.59583627687
2023-01-03 20:00:00+00:00,9997.979596377258,10000.0,9997.979596377258,9997.979596377258,9971.457055488685,9997.979596377258,9997.979596377258,10000.0,9961.59583627687
2023-01-04 00:00:00+00:00,9997.979596377258,10000.0,9997.979596377258,9997.979596377258,9971.457055488685,9997.979596377258,9997.979596377258,10000.0,9961.59583627687
