entry_time,side,equity_before,entry_permission_reason,entry_trend_quality,entry_direction_context,exit_time,holding_minutes,pnl,exit_reason
2020-01-23 16:00:00+00:00,short,10000.0,,,,2020-01-24 20:00:00+00:00,1680.0,-51.47198659186506,signal
2020-01-27 16:00:00+00:00,long,9948.528013408135,,,,2020-01-31 20:00:00+00:00,6000.0,731.5434538169011,signal
2020-02-01 08:00:00+00:00,long,10680.071467225036,,,,2020-02-04 12:00:00+00:00,4560.0,-175.20872071885424,signal
2020-02-06 00:00:00+00:00,long,10504.862746506182,,,,2020-02-10 12:00:00+00:00,6480.0,-23.300441582623534,signal
2020-02-12 00:00:00+00:00,long,10481.562304923558,,,,2020-02-15 16:00:00+00:00,5280.0,-234.42928767299054,signal
2020-02-26 04:01:00+00:00,short,10247.133017250568,,,,2020-03-02 20:00:00+00:00,8159.0,103.2859638261616,signal
2020-03-08 20:00:00+00:00,short,10350.41898107673,,,,2020-03-17 20:00:00+00:00,12960.0,353.70229677534917,signal
2020-03-18 08:00:00+00:00,short,10704.121277852078,,,,2020-03-19 16:00:00+00:00,1920.0,-27.808932776890288,signal
2020-03-29 04:00:00+00:00,short,10676.312345075188,,,,2020-03-30 12:00:00+00:00,1920.0,-44.36678908973772,signal
2020-04-04 12:00:00+00:00,long,10631.94555598545,,,,2020-04-05 08:00:00+00:00,1200.0,7.0577366936395265,signal
2020-04-05 20:00:00+00:00,long,10639.00329267909,,,,2020-04-09 04:00:00+00:00,4800.0,52.29252608520801,signal
2020-04-09 16:00:00+00:00,long,10691.295818764298,,,,2020-04-10 08:00:00+00:00,960.0,-43.02022954122185,signal
2020-04-23 20:00:00+00:00,long,10648.275589223076,,,,2020-04-30 12:00:00+00:00,9600.0,4013.9119384439073,signal
2020-05-01 00:00:00+00:00,long,14662.187527666983,,,,2020-05-04 08:00:00+00:00,4800.0,290.13364018273387,signal
2020-05-04 20:02:00+00:00,long,14952.321167849717,,,,2020-05-10 00:00:00+00:00,7438.0,1656.6459828022525,signal
2020-05-14 12:01:00+00:00,long,16608.96715065197,,,,2020-05-20 16:00:00+00:00,8879.0,-745.9894597918101,signal
2020-05-26 16:00:00+00:00,short,15862.97769086016,,,,2020-05-27 12:00:00+00:00,1200.0,-200.58271258692548,signal
2020-05-29 08:00:00+00:00,long,15662.394978273234,,,,2020-06-01 20:02:00+00:00,5042.0,-152.5977736218174,signal
2020-06-02 08:03:00+00:00,long,15509.797204651417,,,,2020-06-02 16:00:00+00:00,477.0,-1052.6809475519349,signal
2020-06-15 12:00:00+00:00,short,14457.116257099482,,,,2020-06-15 20:00:00+00:00,480.0,-152.23376379174442,signal
2020-06-20 00:00:00+00:00,short,14304.882493307738,,,,2020-06-20 04:00:00+00:00,240.0,-3.2927027194891707,signal
2020-06-24 00:00:00+00:00,long,14301.589790588248,,,,2020-06-24 12:00:00+00:00,720.0,-811.1730425444221,signal
2020-06-26 04:01:00+00:00,short,13490.416748043826,,,,2020-06-27 12:00:00+00:00,1919.0,41.56658162513668,signal
2020-06-28 00:01:00+00:00,short,13531.983329668963,,,,2020-07-01 04:00:00+00:00,4559.0,-74.14206382460361,signal
2020-07-04 16:00:00+00:00,short,13457.84126584436,,,,2020-07-06 08:00:00+00:00,2400.0,-90.4344715837542,signal
2020-07-22 08:00:00+00:00,long,13367.406794260605,,,,2020-08-02 08:00:00+00:00,15840.0,10448.848045096514,signal
2020-09-04 04:00:00+00:00,short,23816.25483935712,,,,2020-09-09 20:00:00+00:00,8160.0,0.735291938897717,signal
2020-09-10 08:01:00+00:00,short,23816.990131296017,,,,2020-09-11 20:00:00+00:00,2159.0,-9.582923853104148,signal
2020-09-22 12:00:00+00:00,short,23807.407207442913,,,,2020-09-24 16:00:00+00:00,3120.0,-18.868552325868222,signal
2020-10-09 20:00:00+00:00,long,23788.538655117045,,,,2020-10-14 04:00:00+00:00,6240.0,2817.0876621187526,signal
2020-10-14 16:00:00+00:00,long,26605.626317235798,,,,2020-10-17 16:00:00+00:00,4320.0,-120.54576426851054,signal
2020-10-19 20:01:00+00:00,long,26485.080552967287,,,,2020-10-28 12:00:00+00:00,12479.0,10104.014172210824,signal
2020-11-01 00:00:00+00:00,long,36589.09472517811,,,,2020-11-07 20:00:00+00:00,9840.0,-616.3825714510094,signal
2020-11-08 20:00:00+00:00,long,35972.7121537271,,,,2020-11-09 16:00:00+00:00,1200.0,-2461.4837816910003,signal
2020-11-13 04:00:00+00:00,long,33511.2283720361,,,,2020-11-15 20:00:00+00:00,3840.0,-1339.480929052017,signal
2020-11-17 20:01:00+00:00,long,32171.747442984084,,,,2020-11-22 12:00:00+00:00,6719.0,1811.3911263856535,signal
2020-11-23 00:00:00+00:00,long,33983.13856936974,,,,2020-11-26 04:00:00+00:00,4560.0,-464.7726307563571,signal
2020-11-30 16:00:00+00:00,long,33518.36593861338,,,,2020-12-03 04:00:00+00:00,3600.0,-380.3328571685706,signal
2020-12-13 04:01:00+00:00,long,33138.03308144481,,,,2020-12-15 20:00:00+00:00,3839.0,2552.7081675043664,signal
2020-12-16 16:01:00+00:00,long,35690.741248949176,,,,2020-12-21 12:00:00+00:00,6959.0,10157.628611660148,signal
2020-12-27 00:00:00+00:00,long,45848.369860609324,,,,2021-01-04 08:00:00+00:00,12000.0,14375.864692304305,signal
2021-01-07 08:00:00+00:00,long,60224.23455291363,,,,2021-01-10 20:00:00+00:00,5040.0,79.0640208514742,signal
2021-01-23 12:00:00+00:00,short,60303.2985737651,,,,2021-01-25 04:00:00+00:00,2400.0,-403.9362051765929,signal
2021-02-04 08:00:00+00:00,long,59899.36236858851,,,,2021-02-07 16:00:00+00:00,4800.0,-170.5900280018468,signal
2021-02-08 04:00:00+00:00,long,59728.77234058666,,,,2021-02-22 12:00:00+00:00,20640.0,3923.8973970437874,signal
2021-02-28 08:00:00+00:00,long,63652.66973763045,,,,2021-02-28 16:00:00+00:00,480.0,-3.1187086238132906,signal
2021-03-01 04:00:00+00:00,short,63649.55102900664,,,,2021-03-02 00:00:00+00:00,1200.0,-133.3516001920798,signal
2021-03-10 08:00:00+00:00,long,63516.19942881456,,,,2021-03-15 08:00:00+00:00,7200.0,2262.398252578125,signal
2021-03-26 08:00:00+00:00,short,65778.59768139268,,,,2021-03-27 20:00:00+00:00,2160.0,-31.034904139407445,signal
2021-04-10 16:01:00+00:00,long,65747.56277725328,,,,2021-04-16 08:00:00+00:00,8159.0,1145.248742077063,signal
2021-04-22 08:01:00+00:00,long,66892.81151933034,,,,2021-04-22 12:00:00+00:00,239.0,0.6615359464631183,signal
2021-04-25 04:00:00+00:00,short,66893.4730552768,,,,2021-04-25 16:00:00+00:00,720.0,-123.55102967879793,signal
2021-04-26 04:00:00+00:00,short,66769.922025598,,,,2021-04-28 20:00:00+00:00,3840.0,-36.128135755236144,signal
2021-05-13 04:00:00+00:00,short,66733.79388984277,,,,2021-05-24 20:00:00+00:00,16800.0,2144.430733662026,signal
2021-05-25 08:00:00+00:00,short,68878.2246235048,,,,2021-05-27 04:00:00+00:00,2640.0,54.139679843210615,signal
2021-06-07 00:00:00+00:00,short,68932.364303348,,,,2021-06-09 12:00:00+00:00,3600.0,292.4001962915354,signal
2021-06-16 04:00:00+00:00,long,69224.76449963954,,,,2021-06-17 20:00:00+00:00,2400.0,-1048.733310623953,signal
2021-06-19 12:00:00+00:00,short,68176.03118901559,,,,2021-06-23 08:00:00+00:00,5520.0,665.2843189218838,signal
2021-06-23 20:00:00+00:00,short,68841.31550793747,,,,2021-06-27 08:00:00+00:00,5040.0,-29.19232633608044,signal
2021-07-19 12:00:00+00:00,long,68812.12318160139,,,,2021-07-19 16:00:00+00:00,240.0,-9.061358028644463,signal
2021-07-20 08:00:00+00:00,short,68803.06182357275,,,,2021-07-21 12:00:00+00:00,1680.0,-261.278190107274,signal
2021-07-30 12:00:00+00:00,long,68541.78363346547,,,,2021-08-02 00:00:00+00:00,3600.0,-3115.5142447731996,signal
2021-08-02 12:00:00+00:00,long,65426.26938869227,,,,2021-08-06 12:00:00+00:00,5760.0,-53.06521853752929,signal
2021-08-07 00:00:00+00:00,long,65373.20417015474,,,,2021-08-12 16:00:00+00:00,8160.0,3852.4067180071143,signal
2021-08-15 00:00:00+00:00,long,69225.61088816186,,,,2021-08-15 20:00:00+00:00,1200.0,-2964.239919427928,signal
2021-08-21 00:00:00+00:00,long,66261.37096873393,,,,2021-08-24 16:00:00+00:00,5280.0,-3037.255138030756,signal
2021-09-23 04:00:00+00:00,short,63224.11583070317,,,,2021-09-27 04:00:00+00:00,5760.0,0.4405395220237551,signal
2021-09-27 16:00:00+00:00,short,63224.5563702252,,,,2021-09-30 04:00:00+00:00,3600.0,-22.859600085117563,signal
2021-10-03 00:00:00+00:00,long,63201.69677014008,,,,2021-10-04 12:01:00+00:00,2161.0,-1028.8802263706093,signal
2021-10-05 00:00:00+00:00,long,62172.81654376947,,,,2021-10-13 08:00:00+00:00,12000.0,15383.63273586816,signal
2021-10-15 20:00:00+00:00,long,77556.44927963763,,,,2021-10-21 16:00:00+00:00,8400.0,3631.4211152981443,signal
2021-11-08 08:00:00+00:00,long,81187.87039493577,,,,2021-11-11 00:00:00+00:00,3840.0,-1581.6454556608514,signal
2021-11-23 04:00:00+00:00,short,79606.22493927492,,,,2021-11-24 00:00:00+00:00,1200.0,-48.812167944037355,signal
2021-11-27 00:00:00+00:00,short,79557.41277133088,,,,2021-11-29 00:00:00+00:00,2880.0,-391.01128662859264,signal
