code,strategy,kind,final_equity,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,holdout_rebased_final_equity,holdout_cagr,holdout_sharpe,holdout_max_drawdown,direction_final_equity,direction_fees_paid,direction_funding_paid,maker_fill_ratio,maker_fee_saved_vs_taker,maker_fill_count,taker_fill_count,liquidation_count
V4,V4 基线,direction,470818.46788062545,46.08184678806254,0.7954105969285701,0.44419430385483083,1.538957735451036,2.733257929401712,-0.3039274446274993,12663.799625687407,0.1612470692330359,0.5793410298017243,-0.26624464275098525,470818.46788062545,63833.35856390855,50478.634635916176,0.0,0.0,0.0,2172.0,0.0
V4.1.1,原 V4.1（局部优化）,direction,495116.0842500044,48.51160842500044,0.8091896173737336,0.44397386248359205,1.5567741814583609,2.7687443014362496,-0.3044831962409955,12352.464125056846,0.1430927249601388,0.5375732604027706,-0.26747412063049925,495116.0842500044,68054.62344310942,53827.64853316171,0.0,0.0,0.0,2278.0,0.0
V4.1.2,新 V4.3（maker + 止损）,direction_v43,453890.60501997545,44.38906050199755,0.7854499491684954,0.4017894658371435,1.6431615550460328,3.0117795651378723,-0.24193872174751685,14800.333336486103,0.28169447836135353,0.8808402092657269,-0.22088661288301348,453890.60501997545,26431.196480536426,35992.980180617225,0.5824449285329404,23785.67326150706,841.0,705.0,0.0
V4.2.1,原 V4.2（方向 + 中性覆盖）,v42,246565.1449639688,23.65651449639688,0.6273543640298938,0.33744025205922334,1.613299718372465,2.8877005176154906,-0.23239225369425232,12181.699129952844,0.13306393896067803,0.5721868778629057,-0.2023945355202753,225847.66011282682,24671.103596210283,20605.685766141658,0.0,0.0,0.0,1245.0,0.0
V4.2.2,新 V4.2（maker + 止损 + 中性覆盖）,v42_v43,222952.31809229945,21.295231809229946,0.6026534146789191,0.3037461448971855,1.7065847756505343,3.140232293635642,-0.18459861591615356,14011.383859843385,0.23801178136393042,0.9363205917462123,-0.1709148854661955,203339.68935904137,9825.79698591023,14231.863749570926,0.5817342805287392,8834.932801418645,569.0,484.0,0.0
