entry_time,side,equity_before,exit_time,pnl,exit_reason
2020-01-26 20:00:00+00:00,long,10000.0,2020-02-02 08:00:00+00:00,815.348363382147,signal
2020-02-02 16:00:00+00:00,long,10815.348363382147,2020-02-03 00:00:00+00:00,-134.86080233272696,signal
2020-02-03 04:00:00+00:00,long,10680.48756104942,2020-02-03 20:00:00+00:00,0.6844852192480175,signal
2020-02-06 20:00:00+00:00,long,10681.172046268668,2020-02-10 08:00:00+00:00,-69.16460101658595,signal
2020-02-11 16:00:00+00:00,long,10612.007445252082,2020-02-15 16:00:00+00:00,-195.51032480156573,signal
2020-02-19 00:00:00+00:00,long,10416.497120450516,2020-02-20 00:00:00+00:00,-318.4095298735065,signal
2020-02-23 12:00:00+00:00,long,10098.08759057701,2020-02-24 04:00:00+00:00,-74.8549246498169,signal
2020-04-04 00:00:00+00:00,long,10023.232665927193,2020-04-10 04:00:00+00:00,534.9239189612053,signal
2020-04-12 16:00:00+00:00,long,10558.156584888398,2020-04-13 04:00:00+00:00,-194.53902165574436,signal
2020-04-22 16:00:00+00:00,long,10363.617563232654,2020-05-04 08:00:00+00:00,4078.3151474326496,signal
2020-05-04 16:00:00+00:00,long,14441.932710665304,2020-05-10 04:00:00+00:00,1118.1537490307182,signal
2020-05-14 00:00:00+00:00,long,15560.086459696022,2020-05-16 00:00:00+00:00,-3.154050165825538,signal
2020-05-16 08:00:00+00:00,long,15556.932409530196,2020-05-16 12:00:00+00:00,6.6438377882186614,signal
2020-05-29 00:00:00+00:00,long,15563.576247318415,2020-06-02 16:00:00+00:00,364.2676924031948,signal
2020-06-04 00:00:00+00:00,long,15927.84393972161,2020-06-04 08:00:00+00:00,-17.60278712506988,signal
2020-06-11 20:00:00+00:00,long,15910.24115259654,2020-06-13 08:00:00+00:00,15.862715961820868,signal
2020-06-23 16:00:00+00:00,long,15926.10386855836,2020-06-24 12:00:00+00:00,-1020.6433373203399,signal
2020-07-22 04:00:00+00:00,long,14905.46053123802,2020-08-02 08:00:00+00:00,7586.783068967341,signal
2020-08-05 16:00:00+00:00,long,22492.243600205362,2020-08-07 00:00:00+00:00,96.23598823330758,signal
2020-08-15 04:00:00+00:00,long,22588.47958843867,2020-08-15 16:00:00+00:00,-206.0576644470275,signal
2020-08-16 00:00:00+00:00,long,22382.421923991642,2020-08-16 04:01:00+00:00,260.84047232351804,signal
2020-08-24 12:00:00+00:00,long,22643.26239631516,2020-08-24 16:00:00+00:00,-53.82109167315866,signal
