year,start_equity,end_equity,total_return,annualized_volatility,sharpe,max_drawdown
2020,10000.0,12483.884169595329,0.24838841695953295,0.2965749371747166,0.8918206369436988,-0.13546821905207573
2021,12483.884169595329,11985.275388014637,-0.03994019608056443,0.03728531988250935,-1.0896511302580405,-0.06566251752353369
2022,11985.275388014637,12441.525650347816,0.038067566039361234,0.056936769687228536,0.6882908123555548,-0.061931242096173955
2023,12441.525650347816,12425.744159412494,-0.001268453032115091,0.0570637945952538,0.006436961978859804,-0.046810844506870675
2024,12425.744159412494,12186.346499526251,-0.01926626339758486,0.033101443570205356,-0.5695648445556301,-0.03437508892332053
2025,12186.346499526251,12173.61145031702,-0.0010450260223379138,0.03179666656842885,-0.01699908492662034,-0.02404834147640411
2026,12173.61145031702,12309.691855919897,0.011178310245751666,0.027469714607108224,0.7137443311936489,-0.019226887256824754
