entry_time,side,equity_before,exit_time,pnl,exit_reason
2020-01-26 20:00:00+00:00,long,10000.0,2020-02-02 08:01:00+00:00,1725.5249003843292,signal
2020-02-02 16:00:00+00:00,long,11725.52490038433,2020-02-03 00:00:00+00:00,-316.57923431089876,signal
2020-02-03 04:00:00+00:00,long,11408.94566607343,2020-02-03 20:01:00+00:00,-174.99574074642078,signal
2020-02-06 20:00:00+00:00,long,11233.94992532701,2020-02-10 08:00:00+00:00,322.70342586980587,signal
2020-02-11 16:00:00+00:00,long,11556.653351196815,2020-02-15 16:00:00+00:00,-764.5815944346487,signal
2020-02-19 00:00:00+00:00,long,10792.071756762167,2020-02-20 00:00:00+00:00,-975.0120694346006,signal
2020-02-23 12:00:00+00:00,long,9817.059687327566,2020-02-24 04:01:00+00:00,-185.57031686586197,signal
2020-04-04 08:00:00+00:00,long,9631.489370461704,2020-04-10 04:00:00+00:00,662.285236015141,signal
2020-04-12 16:00:00+00:00,long,10293.774606476845,2020-04-13 04:00:00+00:00,-709.2518878076753,signal
2020-04-24 00:00:00+00:00,long,9584.52271866917,2020-05-04 08:00:00+00:00,1864.8196357816632,signal
2020-05-04 16:00:00+00:00,long,11449.342354450833,2020-05-10 04:00:00+00:00,-405.2869087327181,signal
2020-05-14 00:00:00+00:00,long,11044.055445718115,2020-05-16 00:00:00+00:00,-11.158071860923883,signal
2020-05-16 08:00:00+00:00,long,11032.897373857191,2020-05-16 12:00:00+00:00,14.807690440566148,signal
2020-05-29 00:00:00+00:00,long,11047.705064297757,2020-06-02 16:00:00+00:00,-235.6865280557122,signal
2020-06-04 00:00:00+00:00,long,10812.018536242045,2020-06-04 08:00:00+00:00,-48.935242708099395,signal
2020-06-11 20:00:00+00:00,long,10763.083293533946,2020-06-13 16:00:00+00:00,133.49236955302877,signal
2020-06-23 16:00:00+00:00,long,10896.575663086975,2020-06-24 12:00:00+00:00,-1042.0737691518425,signal
2020-07-22 08:00:00+00:00,long,9854.501893935132,2020-08-02 08:00:00+00:00,7984.874203174546,signal
2020-08-05 16:00:00+00:00,long,17839.376097109678,2020-08-07 00:01:00+00:00,136.04296444851934,signal
2020-08-15 04:00:00+00:00,long,17975.419061558197,2020-08-15 16:00:00+00:00,-158.72440140807157,signal
2020-08-16 00:00:00+00:00,long,17816.694660150126,2020-08-16 04:00:00+00:00,180.45711997196122,signal
2020-08-24 12:00:00+00:00,long,17997.151780122087,2020-08-24 16:02:00+00:00,-176.8515818910928,signal
2020-10-10 04:00:00+00:00,long,17820.300198230994,2020-10-16 08:00:00+00:00,-540.7177498448764,signal
2020-10-19 20:00:00+00:00,long,17279.582448386118,2020-10-26 20:00:00+00:00,4801.477355890529,signal
2020-10-27 00:00:00+00:00,long,22081.059804276647,2020-10-28 16:00:00+00:00,426.29491556839275,signal
2020-10-29 16:00:00+00:00,long,22507.35471984504,2020-11-02 12:00:00+00:00,-67.90544447709908,signal
2020-11-03 16:00:00+00:00,long,22439.44927536794,2020-11-07 20:00:00+00:00,2316.7820332307238,signal
2020-11-08 16:00:00+00:00,long,24756.231308598664,2020-11-11 00:00:00+00:00,-154.5611830951566,signal
2020-11-13 00:00:00+00:00,long,24601.670125503508,2020-11-14 12:00:00+00:00,-689.66991867658,signal
2020-11-15 12:00:00+00:00,long,23912.000206826928,2020-11-15 16:01:00+00:00,113.68164981505106,signal
2020-11-17 16:00:00+00:00,long,24025.68185664198,2020-11-22 12:00:00+00:00,1006.8330598893517,signal
2020-11-22 20:00:00+00:00,long,25032.51491653133,2020-11-23 04:00:00+00:00,-414.0357441530905,signal
2020-11-24 12:00:00+00:00,long,24618.47917237824,2020-11-25 08:00:00+00:00,-248.71747916449385,signal
2020-11-26 20:00:00+00:00,long,24369.761693213746,2020-11-27 00:00:00+00:00,1076.4632821293126,signal
2020-11-29 12:00:00+00:00,long,25446.22497534306,2020-12-01 16:00:00+00:00,1663.4262665079368,signal
2020-12-02 12:00:00+00:00,long,27109.651241850996,2020-12-02 16:00:00+00:00,-331.4353183468156,signal
2020-12-12 20:00:00+00:00,long,26778.21592350418,2020-12-21 12:00:00+00:00,8284.056556003688,signal
2020-12-23 00:00:00+00:00,long,35062.27247950787,2020-12-23 12:00:00+00:00,-1146.6034585580928,signal
2020-12-23 16:00:00+00:00,long,33915.669020949776,2020-12-24 00:00:00+00:00,-356.6869682378747,signal
2020-12-25 00:00:00+00:00,long,33558.9820527119,2020-12-25 04:01:00+00:00,-404.0475161187569,signal
2020-12-26 20:00:00+00:00,long,33154.934536593144,2021-01-04 12:00:00+00:00,6194.312150116952,signal
2021-01-05 20:00:00+00:00,long,39349.246686710096,2021-01-10 20:00:00+00:00,2264.690227328625,signal
2021-01-14 04:00:00+00:00,long,41613.93691403872,2021-01-15 08:00:00+00:00,676.1547479755682,signal
2021-02-04 12:00:00+00:00,long,42290.09166201429,2021-02-15 04:00:00+00:00,8109.9341724907645,signal
2021-02-15 20:00:00+00:00,long,50400.02583450505,2021-02-16 00:00:00+00:00,-826.3131420461141,signal
2021-02-18 00:00:00+00:00,long,49573.71269245894,2021-02-22 12:00:00+00:00,1372.559991622038,signal
2021-03-03 12:00:00+00:00,long,50946.27268408098,2021-03-05 04:00:00+00:00,-3591.8472263653966,signal
2021-03-10 00:00:00+00:00,long,47354.42545771558,2021-03-15 12:00:00+00:00,458.6499408965901,signal
2021-03-17 20:00:00+00:00,long,47813.07539861217,2021-03-21 08:00:00+00:00,-1013.9684181798948,signal
2021-03-31 04:00:00+00:00,long,46799.106980432276,2021-04-02 20:00:00+00:00,-202.222460393059,signal
2021-04-13 20:00:00+00:00,long,46596.88452003922,2021-04-16 08:00:00+00:00,-2464.562459541172,signal
2021-05-13 00:00:00+00:00,long,44132.322060498045,2021-05-13 04:00:00+00:00,299.377276348976,signal
