entry_time,side,equity_before,exit_time,pnl,exit_reason,equity_at_trigger
2020-01-26 20:00:00+00:00,long,10000.0,2020-02-02 08:00:00+00:00,873.1354718431085,signal,
2020-02-02 16:00:00+00:00,long,10873.135471843108,2020-02-03 00:00:00+00:00,-110.96432075197117,signal,
2020-02-03 04:00:00+00:00,long,10762.171151091137,2020-02-03 20:00:00+00:00,7.3956744764418545,signal,
2020-02-06 20:00:00+00:00,long,10769.56682556758,2020-02-10 05:58:00+00:00,-194.3653748316683,stop_loss,10577.840281075292
2020-02-11 16:00:00+00:00,long,10575.20145073591,2020-02-15 15:53:00+00:00,-166.6629292130201,stop_loss,10409.1529555557
2020-02-19 00:00:00+00:00,long,10408.53852152289,2020-02-19 21:47:00+00:00,-195.8249332328578,stop_loss,10214.426824112275
2020-02-23 12:00:00+00:00,long,10212.713588290033,2020-02-24 04:00:00+00:00,-88.31259494398364,signal,
2020-04-04 08:00:00+00:00,long,10124.40099334605,2020-04-10 04:00:00+00:00,170.1015945579984,signal,
2020-04-12 16:00:00+00:00,long,10294.502587904048,2020-04-13 00:30:00+00:00,-64.21777938813648,stop_loss,10230.735006402869
2020-04-22 16:00:00+00:00,long,10230.284808515911,2020-04-29 16:44:00+00:00,928.7952513539094,take_profit,11162.088347949906
2020-04-30 00:00:00+00:00,long,11159.08005986982,2020-04-30 09:52:00+00:00,-46.713291411389946,stop_loss,11120.65163518475
2020-04-30 16:00:00+00:00,long,11112.36676845843,2020-05-04 08:00:00+00:00,-100.97581333954258,signal,
2020-05-04 16:00:00+00:00,long,11011.390955118888,2020-05-10 00:15:00+00:00,1037.2444197206587,stop_loss,12049.083557202377
2020-05-14 00:00:00+00:00,long,12048.635374839547,2020-05-16 00:00:00+00:00,-1.3394219572273869,signal,
2020-05-16 08:00:00+00:00,long,12047.29595288232,2020-05-16 12:00:00+00:00,7.692546637503256,signal,
2020-05-29 00:00:00+00:00,long,12054.988499519823,2020-06-02 14:48:00+00:00,647.4478997129609,stop_loss,12705.457223153397
2020-06-04 00:00:00+00:00,long,12702.436399232784,2020-06-04 08:00:00+00:00,-14.22400672119511,signal,
2020-06-11 20:00:00+00:00,long,12688.212392511588,2020-06-13 08:00:00+00:00,16.546404093935053,signal,
2020-06-23 16:00:00+00:00,long,12704.758796605523,2020-06-24 10:38:00+00:00,-726.9854246357954,stop_loss,11981.129540134809
2020-07-22 08:00:00+00:00,long,11977.773371969728,2020-07-26 10:05:00+00:00,3711.12897821522,take_profit,15707.227025764743
2020-07-27 08:00:00+00:00,long,15688.902350184948,2020-08-01 06:16:00+00:00,1827.7523119032303,take_profit,17519.382257269903
2020-08-02 00:00:00+00:00,long,17516.654662088178,2020-08-02 04:39:00+00:00,19.248965359332942,stop_loss,17539.56818809357
2020-08-05 16:00:00+00:00,long,17535.90362744751,2020-08-07 00:00:00+00:00,97.2670927180261,signal,
2020-08-15 04:00:00+00:00,long,17633.170720165537,2020-08-15 16:00:00+00:00,-143.54773716555428,signal,
2020-08-16 00:00:00+00:00,long,17489.622982999983,2020-08-16 04:00:00+00:00,215.95655262932632,signal,
2020-08-24 12:00:00+00:00,long,17705.57953562931,2020-08-24 16:00:00+00:00,-43.78961451259238,signal,
2020-10-10 04:00:00+00:00,long,17661.789921116717,2020-10-16 08:00:00+00:00,-1021.2412489531598,signal,
2020-10-19 20:00:00+00:00,long,16640.548672163557,2020-10-21 22:53:00+00:00,6661.898634013858,take_profit,23328.14952792674
2020-10-25 08:00:00+00:00,long,23302.447306177415,2020-10-26 20:00:00+00:00,-463.0610635462508,signal,
2020-10-27 00:00:00+00:00,long,22839.386242631164,2020-10-28 13:54:00+00:00,-221.95543573559917,stop_loss,22621.433746139755
2020-10-29 16:00:00+00:00,long,22617.430806895565,2020-11-02 12:00:00+00:00,-657.4085416663802,signal,
2020-11-03 16:00:00+00:00,long,21960.022265229185,2020-11-07 18:58:00+00:00,672.6920171418169,stop_loss,22643.40430137585
2020-11-08 16:00:00+00:00,long,22632.714282371002,2020-11-09 16:00:00+00:00,-1217.8210375585331,signal,
2020-11-09 20:00:00+00:00,long,21414.89324481247,2020-11-11 00:00:00+00:00,-35.80150585166484,signal,
2020-11-13 00:00:00+00:00,long,21379.091738960804,2020-11-14 12:00:00+00:00,-426.64351831404565,signal,
2020-11-15 12:00:00+00:00,long,20952.44822064676,2020-11-15 16:00:00+00:00,39.085821735472564,signal,
2020-11-17 16:00:00+00:00,long,20991.53404238223,2020-11-22 11:54:00+00:00,1886.359031899803,stop_loss,22881.13357427156
2020-11-22 20:00:00+00:00,long,22877.893074282034,2020-11-23 04:00:00+00:00,-34.51231788743098,signal,
2020-11-24 12:00:00+00:00,long,22843.380756394603,2020-11-25 08:00:00+00:00,-68.03965640671595,signal,
2020-11-29 12:00:00+00:00,long,22775.341099987887,2020-12-01 13:01:00+00:00,993.5990623171165,stop_loss,23771.61081204251
2020-12-02 12:00:00+00:00,long,23768.940162305003,2020-12-02 16:00:00+00:00,-296.62663361951127,signal,
2020-12-12 20:00:00+00:00,long,23472.313528685492,2020-12-17 08:52:00+00:00,11099.763959520245,take_profit,34598.24808878865
2020-12-17 20:00:00+00:00,long,34572.07748820574,2020-12-21 12:00:00+00:00,-107.30848226400121,signal,
2020-12-23 00:00:00+00:00,long,34464.76900594174,2020-12-23 12:00:00+00:00,-355.3987520606752,signal,
2020-12-23 16:00:00+00:00,long,34109.37025388106,2020-12-24 00:00:00+00:00,-108.16190567325248,signal,
2020-12-25 00:00:00+00:00,long,34001.20834820781,2020-12-25 04:00:00+00:00,-123.64735117248347,signal,
2020-12-26 20:00:00+00:00,long,33877.560997035325,2021-01-02 18:55:00+00:00,10855.99339152567,take_profit,44757.924626252905
