code,strategy,final_equity,total_return,cagr,sharpe,sortino,max_drawdown,fill_count,liquidation_count
V1,基础趋势跟随与 ATR 仓位,325991.2080123464,31.59912080123464,0.6889003627034831,1.3634793619617325,2.2459351456657646,-0.3497441699658178,925.0,0.0
V2,资金费率拥挤过滤趋势,348070.75193574,33.807075193574,0.7056306680480908,1.3522944186236359,2.230963169624866,-0.33989131045401777,990.0,0.0
V3,波动率与下行风险自适应,609932.2630309769,59.993226303097686,0.8557840126069314,1.518754685471161,2.634745074476119,-0.3246758329368993,1704.0,0.0
V4.1,稳健长多趋势-反弹混合,551551.6512432483,54.155165124324824,0.8279113201218848,1.4889701362901973,2.5831746581291255,-0.3251416423352159,1602.0,0.0
V5,谨慎对称趋势与空头确认,510289.22812839935,50.02892281283994,0.8066571642551141,1.465757792399279,2.549719441774833,-0.33170821882664825,2514.0,0.0
V6,置信度驱动多周期动态风险,38010.909766262965,2.8010909766262966,0.22243295353342707,0.8035870718079666,1.2617997319440462,-0.2742063174626935,1185.0,0.0
BTC,BTCUSDT 价格基准,110309.27835051547,10.030927835051546,0.43493399136711774,0.9054577766124358,,-0.7708301064203099,,
