period,year,code,strategy,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,trade_count,win_rate,final_equity,max_leverage_observed,average_leverage,turnover_multiple,rebalance_events,start_price,end_price
2020,2020,V1,基础趋势跟随与 ATR 仓位,2.966364323458457,2.9576596790024317,0.6540468514620222,2.431194465857083,3.8441803527856093,-0.2580247450362624,41.0,0.43902439024390244,39663.64323458457,4.104406693057735,0.5540598614135533,126.2418949181702,88.0,,
2020,2020,V2,资金费率拥挤过滤趋势,3.1622914927284596,3.1528375735573064,0.4970977013593218,3.1081296942102687,5.55280720190385,-0.16512647282420567,41.0,0.4878048780487805,41622.9149272846,4.309627027710622,0.4653705843216074,176.6987807125051,175.0,,
2020,2020,V3,波动率与下行风险自适应,3.751991723741141,3.7401968240191055,0.5395581799916648,3.1455645477038177,6.156539413739185,-0.1615133661943976,41.0,0.4878048780487805,47519.91723741141,5.496850745953556,0.44459088944913744,192.41367901875017,230.0,,
2020,2020,V4,稳健长多趋势-反弹混合,3.824592401222886,3.8125009465485196,0.5271369907270841,3.235582156288423,6.5369004608064865,-0.17868244126867583,41.0,0.4634146341463415,48245.92401222886,6.059871996142064,0.42211202098051614,209.89072106355246,232.0,,
2020,2020,V5,谨慎对称趋势与空头确认,3.724715636302454,3.7130316985650333,0.5273950741909679,3.1946520173864097,6.465790089683228,-0.1835173161961594,93.0,0.3225806451612903,47247.15636302454,6.059871996142064,0.4364839908879426,221.6960005926822,355.0,,
2020,2020,P,BTCUSDT 价格,3.0090117909342053,,0.6730128265056327,2.403850236394501,,-0.5619870406211882,,,,,,,,7221.65,28951.68
2021,2021,V1,基础趋势跟随与 ATR 仓位,0.5434818114271416,0.5439407385794488,0.4350098844313121,1.2121896023718808,2.0564042038884267,-0.23348624476378088,29.0,0.4827586206896552,15434.818114271415,1.7317666626267783,0.2474607755438042,65.84380147465629,65.0,,
2021,2021,V2,资金费率拥挤过滤趋势,0.6003200694662214,0.6008355472233029,0.3664280252067037,1.4629290626194122,2.671060678004093,-0.17961378603869183,29.0,0.5172413793103449,16003.200694662215,1.8267267400667002,0.20276013167315443,78.89466989568425,102.0,,
2021,2021,V3,波动率与下行风险自适应,0.6270761794503255,0.6276187601077394,0.39507070960457596,1.423616528135645,2.6942385692047397,-0.21219748618148915,29.0,0.4827586206896552,16270.761794503254,2.372930492772426,0.19142357864010676,86.62365659762901,139.0,,
2021,2021,V4,稳健长多趋势-反弹混合,0.6236772490440905,0.624216369886021,0.39111222849185606,1.4286493723107787,2.741193848064851,-0.21078333635252755,34.0,0.38235294117647056,16236.772490440906,2.372930492772426,0.1983257975704483,103.50544996968466,158.0,,
