,baseline,relax_probes,softer_short_block,freer_range_rebound,balanced_relax,balanced_relax_plus,probe_range_relax_only
2020-03-19 20:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-20 00:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-20 04:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-20 08:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-20 12:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-20 16:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-20 20:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-21 00:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-21 04:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-21 08:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-21 12:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-21 16:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-21 20:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-22 00:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-22 04:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-22 08:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-22 12:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-22 16:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-22 20:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-23 00:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-23 04:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-23 08:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-23 12:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-23 16:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-23 20:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-24 00:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-24 04:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-24 08:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-24 12:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-24 16:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-24 20:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-25 00:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-25 04:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-25 08:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-25 12:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-25 16:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-25 20:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-26 00:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-26 04:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-26 08:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-26 12:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-26 16:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-26 20:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-27 00:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-27 04:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-27 08:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-27 12:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-27 16:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-27 20:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-28 00:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-28 04:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-28 08:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-28 12:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-28 16:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-28 20:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-29 00:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-29 04:00:00+00:00,10417.852939267606,10364.124201173565,10385.062967470887,10417.852939267606,10385.062967470887,10402.718277902099,10379.737632939754
2020-03-29 08:00:00+00:00,10425.224968106912,10371.449274415167,10392.388040712489,10425.224968106912,10392.388040712489,10410.090306741404,10387.062706181356
