entry_time,side,equity_before,entry_permission_reason,entry_trend_quality,entry_direction_context,entry_signal_mode,exit_time,holding_minutes,pnl,exit_reason,equity_at_trigger
2020-01-15 16:01:00+00:00,long,10000.0,confirmed_breakout_long,0.8649082654504272,breakout_follow,breakout,2020-01-15 20:00:00+00:00,239.0,-19.93108133755777,signal,
2020-01-17 08:01:00+00:00,long,9980.068918662442,confirmed_breakout_long,0.9097993143144805,breakout_follow,breakout,2020-01-17 12:00:00+00:00,239.0,-23.652889909006262,signal,
2020-01-19 04:01:00+00:00,long,9956.416028753436,confirmed_breakout_long,0.9337403650289422,breakout_follow,breakout,2020-01-19 08:00:00+00:00,239.0,-53.869935452588834,signal,
2020-01-23 12:00:00+00:00,short,9902.546093300847,confirmed_breakout_short,0.9070784193113263,breakout_follow,breakout,2020-01-23 20:00:00+00:00,480.0,32.938718253773914,signal,
2020-01-27 16:00:00+00:00,long,9935.484811554621,confirmed_breakout_long,0.8438320986604613,breakout_follow,breakout,2020-01-27 19:31:00+00:00,211.0,156.73707202377227,take_profit,10096.15195314464
2020-01-27 20:00:00+00:00,long,10092.221883578393,confirmed_breakout_long,0.9343190955559519,breakout_follow,breakout,2020-01-27 20:39:00+00:00,39.0,19.645435280255697,take_profit,10115.389593293165
2020-01-28 04:00:00+00:00,long,10111.867318858649,confirmed_breakout_long,0.9059983730025323,breakout_follow,breakout,2020-01-28 05:21:00+00:00,81.0,-80.00518182130145,stop_loss,10034.994128911581
2020-01-29 00:01:00+00:00,long,10031.862137037348,confirmed_breakout_long,0.9240963726660076,breakout_follow,breakout,2020-01-29 04:00:00+00:00,239.0,-39.89129808887628,signal,
2020-01-30 20:01:00+00:00,long,9991.970838948471,confirmed_breakout_long,0.9413161254992831,breakout_follow,breakout,2020-01-31 00:00:00+00:00,239.0,-7.237846211555734,signal,
2020-02-05 20:02:00+00:00,long,9984.732992736916,confirmed_breakout_long,0.846036824175562,breakout_follow,breakout,2020-02-06 00:00:00+00:00,238.0,-72.17979216953609,signal,
2020-02-06 16:00:00+00:00,long,9912.55320056738,confirmed_breakout_long,0.9198461250719099,breakout_follow,breakout,2020-02-06 20:00:00+00:00,240.0,-33.35831668562787,signal,
2020-02-16 20:00:00+00:00,short,9879.194883881752,confirmed_breakout_short,0.8914618912025769,breakout_follow,breakout,2020-02-16 23:05:00+00:00,185.0,-65.89489624780254,stop_loss,9815.405171705976
2020-02-17 12:00:00+00:00,short,9813.299987633949,confirmed_breakout_short,0.8787703155201575,breakout_follow,breakout,2020-02-17 20:00:00+00:00,480.0,-14.07929694446284,signal,
2020-02-25 16:00:00+00:00,short,9799.220690689486,confirmed_breakout_short,0.8685070447861252,breakout_follow,breakout,2020-02-26 00:00:00+00:00,480.0,34.86419880893118,signal,
2020-02-26 04:01:00+00:00,short,9834.084889498417,confirmed_breakout_short,0.8877056927658669,breakout_follow,breakout,2020-02-26 08:00:00+00:00,239.0,2.9245102694421803,signal,
2020-02-26 16:00:00+00:00,short,9837.00939976786,confirmed_breakout_short,0.9274629781369593,breakout_follow,breakout,2020-02-26 16:45:00+00:00,45.0,133.28228538108488,take_profit,9972.08368965131
2020-02-26 20:00:00+00:00,short,9970.291685148944,confirmed_breakout_short,0.9539209181675414,breakout_follow,breakout,2020-02-27 00:00:00+00:00,240.0,15.19357469327042,signal,
2020-03-01 20:00:00+00:00,short,9985.485259842215,confirmed_breakout_short,0.8266042736278622,breakout_follow,breakout,2020-03-02 00:00:00+00:00,240.0,3.747986650630992,signal,
2020-03-05 12:00:00+00:00,long,9989.233246492846,confirmed_breakout_long,0.7708431779163927,breakout_follow,breakout,2020-03-05 16:00:00+00:00,240.0,-12.376468687876695,signal,
2020-03-08 16:00:00+00:00,short,9976.85677780497,confirmed_breakout_short,0.9912176618370614,breakout_follow,breakout,2020-03-08 23:40:00+00:00,460.0,128.78701543914758,take_profit,10107.559036398727
2020-03-09 08:00:00+00:00,short,10105.643793244117,confirmed_breakout_short,0.912274056292949,breakout_follow,breakout,2020-03-09 12:00:00+00:00,240.0,32.68436249287515,signal,
2020-03-09 16:01:00+00:00,short,10138.328155736992,confirmed_breakout_short,0.8936076168288234,breakout_follow,breakout,2020-03-09 20:00:00+00:00,239.0,-36.163774474609454,signal,
2020-03-10 16:01:00+00:00,short,10102.164381262382,confirmed_breakout_short,0.8794300276479725,breakout_follow,breakout,2020-03-10 19:55:00+00:00,234.0,-69.92247458803286,stop_loss,10033.678019245144
2020-03-12 04:01:00+00:00,short,10032.24190667435,confirmed_breakout_short,0.8956369722487595,breakout_follow,breakout,2020-03-12 10:15:00+00:00,374.0,128.9956351850651,take_profit,10162.479020623812
2020-03-16 12:00:00+00:00,short,10161.237541859415,confirmed_breakout_short,0.9013130581057447,breakout_follow,breakout,2020-03-16 14:21:00+00:00,141.0,-66.04303068735499,stop_loss,10095.632576963044
2020-03-20 12:01:00+00:00,long,10095.19451117206,confirmed_breakout_long,0.9576455077508774,breakout_follow,breakout,2020-03-20 16:00:00+00:00,239.0,-20.421376241267353,signal,
2020-04-02 00:01:00+00:00,long,10074.773134930792,confirmed_breakout_long,0.770396802560207,breakout_follow,breakout,2020-04-02 04:00:00+00:00,239.0,-44.360789485601344,signal,
2020-04-02 16:00:00+00:00,long,10030.412345445191,confirmed_breakout_long,0.9250615705097531,breakout_follow,breakout,2020-04-02 17:04:00+00:00,64.0,160.13178256857827,take_profit,10192.389775617685
2020-04-02 20:00:00+00:00,long,10190.54412801377,confirmed_breakout_long,0.9537924249515952,breakout_follow,breakout,2020-04-03 00:00:00+00:00,240.0,-5.325010811458924,signal,
2020-04-05 00:01:00+00:00,long,10185.21911720231,confirmed_breakout_long,0.8779122715560372,breakout_follow,breakout,2020-04-05 04:00:00+00:00,239.0,-41.996292413437914,signal,
2020-04-06 08:00:00+00:00,long,10143.222824788872,confirmed_breakout_long,0.936278479947743,breakout_follow,breakout,2020-04-06 12:00:00+00:00,240.0,37.909911141299744,signal,
2020-04-06 20:00:00+00:00,long,10181.132735930172,confirmed_breakout_long,0.9192659572924575,breakout_follow,breakout,2020-04-07 00:00:00+00:00,240.0,33.495778806096496,signal,
2020-04-10 16:00:00+00:00,short,10214.628514736269,confirmed_breakout_short,0.904561299803194,breakout_follow,breakout,2020-04-10 18:32:00+00:00,152.0,-67.28727435774272,stop_loss,10149.03229530231
2020-04-13 04:01:00+00:00,short,10147.341240378526,confirmed_breakout_short,0.9417209619494351,breakout_follow,breakout,2020-04-13 08:00:00+00:00,239.0,-19.86241717665689,signal,
2020-04-16 04:00:00+00:00,short,10127.47882320187,confirmed_breakout_short,0.69434669856614,breakout_follow,breakout,2020-04-16 07:03:00+00:00,183.0,-67.53898007174575,stop_loss,10061.920070447
2020-04-18 16:00:00+00:00,long,10059.939843130123,confirmed_breakout_long,0.9143785976027314,breakout_follow,breakout,2020-04-18 20:00:00+00:00,240.0,-26.499198571051238,signal,
2020-04-23 16:01:00+00:00,long,10033.440644559072,confirmed_breakout_long,1.0,breakout_follow,breakout,2020-04-23 20:00:00+00:00,239.0,-44.98842442387104,signal,
2020-04-27 04:00:00+00:00,long,9988.452220135201,confirmed_breakout_long,0.8187597751872653,breakout_follow,breakout,2020-04-27 08:00:00+00:00,240.0,-28.42027710683942,signal,
2020-04-29 04:01:00+00:00,long,9960.031943028362,confirmed_breakout_long,0.8391577395957626,breakout_follow,breakout,2020-04-29 10:10:00+00:00,369.0,150.86800359114022,take_profit,10114.238872288028
2020-05-05 08:00:00+00:00,long,10110.899946619502,confirmed_breakout_long,0.7188719910957605,breakout_follow,breakout,2020-05-05 10:10:00+00:00,130.0,-79.24271801966825,stop_loss,10033.706778460366
2020-05-06 12:00:00+00:00,long,10031.657228599834,confirmed_breakout_long,0.9502977692504038,breakout_follow,breakout,2020-05-06 13:23:00+00:00,83.0,-78.53518659946894,stop_loss,9955.241603512066
2020-05-06 16:01:00+00:00,long,9953.122042000365,confirmed_breakout_long,0.908609707085519,breakout_follow,breakout,2020-05-06 20:00:00+00:00,239.0,-18.56589225022435,signal,
2020-05-07 16:00:00+00:00,long,9934.55614975014,confirmed_breakout_long,0.9652474797114485,breakout_follow,breakout,2020-05-07 19:35:00+00:00,215.0,158.2411889373525,take_profit,10094.84283998503
2020-05-07 20:00:00+00:00,long,10092.797338687493,confirmed_breakout_long,0.9802798047228964,breakout_follow,breakout,2020-05-07 22:02:00+00:00,122.0,11.325522030208958,take_profit,10105.990061660006
2020-05-11 20:00:00+00:00,short,10104.122860717702,confirmed_breakout_short,0.9345279836006501,breakout_follow,breakout,2020-05-12 00:00:00+00:00,240.0,37.39823218851052,signal,
2020-05-14 12:01:00+00:00,long,10141.521092906212,confirmed_breakout_long,0.980367982579855,breakout_follow,breakout,2020-05-14 16:00:00+00:00,239.0,11.437722699378355,signal,
2020-05-21 16:01:00+00:00,short,10152.95881560559,confirmed_breakout_short,0.9533443053290485,breakout_follow,breakout,2020-05-22 00:00:00+00:00,479.0,0.16311725631385343,signal,
2020-05-24 16:00:00+00:00,short,10153.121932861904,confirmed_breakout_short,0.9047985444397901,breakout_follow,breakout,2020-05-24 20:00:00+00:00,240.0,15.613309299449611,signal,
2020-05-28 16:00:00+00:00,long,10168.735242161354,confirmed_breakout_long,0.9694652115872808,breakout_follow,breakout,2020-05-28 20:00:00+00:00,240.0,-29.63013195675012,signal,
2020-05-31 00:00:00+00:00,long,10139.105110204604,confirmed_breakout_long,0.8903006496368046,breakout_follow,breakout,2020-05-31 03:46:00+00:00,226.0,-79.63119080654906,stop_loss,10062.33868668967
2020-06-11 20:00:00+00:00,short,10059.473919398055,confirmed_breakout_short,0.8794363564333207,breakout_follow,breakout,2020-06-12 00:00:00+00:00,240.0,-0.18039104087438318,signal,
2020-06-15 04:01:00+00:00,short,10059.29352835718,confirmed_breakout_short,0.9337563519605239,breakout_follow,breakout,2020-06-15 06:32:00+00:00,151.0,126.12634774526305,take_profit,10188.17707383009
2020-06-15 08:01:00+00:00,short,10185.419876102444,confirmed_breakout_short,1.0,breakout_follow,breakout,2020-06-15 12:00:00+00:00,239.0,-8.156896301792585,signal,
2020-06-22 20:01:00+00:00,long,10177.262979800651,confirmed_breakout_long,0.7825617421930848,breakout_follow,breakout,2020-06-22 21:10:00+00:00,69.0,149.86214094526986,take_profit,10331.888389654823
2020-06-23 00:02:00+00:00,long,10327.12512074592,confirmed_breakout_long,0.9390098520260727,breakout_follow,breakout,2020-06-23 04:00:00+00:00,238.0,-45.10957454962954,signal,
2020-06-25 04:00:00+00:00,short,10282.015546196291,confirmed_breakout_short,0.9171942722824311,breakout_follow,breakout,2020-06-25 08:00:00+00:00,240.0,-41.555859558317024,signal,
2020-06-27 20:01:00+00:00,short,10240.459686637974,confirmed_breakout_short,0.959792505297431,breakout_follow,breakout,2020-06-27 21:56:00+00:00,115.0,-83.96612976626602,stop_loss,10159.15780844552
2020-06-28 00:01:00+00:00,short,10156.493556871708,confirmed_breakout_short,0.8397391376598923,breakout_follow,breakout,2020-06-28 04:00:00+00:00,239.0,16.555315822355624,signal,
2020-07-02 20:00:00+00:00,short,10173.048872694064,confirmed_breakout_short,0.5893240936020065,breakout_follow,breakout,2020-07-02 21:59:00+00:00,119.0,-69.37268048625992,stop_loss,10107.368275730825
2020-07-06 16:00:00+00:00,long,10103.676192207804,confirmed_breakout_long,0.8224665772151323,breakout_follow,breakout,2020-07-06 20:00:00+00:00,240.0,-21.182988458449472,signal,
2020-07-08 16:01:00+00:00,long,10082.493203749355,confirmed_breakout_long,0.8220599736966008,breakout_follow,breakout,2020-07-08 20:00:00+00:00,239.0,9.110968119157405,signal,
2020-07-16 12:00:00+00:00,short,10091.604171868512,confirmed_breakout_short,0.8572944403749934,breakout_follow,breakout,2020-07-16 16:00:00+00:00,240.0,-47.52059085240944,signal,
2020-07-21 08:00:00+00:00,long,10044.083581016102,confirmed_breakout_long,0.8499509381348398,breakout_follow,breakout,2020-07-21 13:28:00+00:00,328.0,158.07854040466373,take_profit,10209.23993757103
2020-07-23 00:01:00+00:00,long,10202.162121420766,confirmed_breakout_long,0.950098859337319,breakout_follow,breakout,2020-07-23 04:00:00+00:00,239.0,-49.19837297063714,signal,
2020-07-31 16:00:00+00:00,long,10152.963748450129,confirmed_breakout_long,0.8900827444148148,breakout_follow,breakout,2020-07-31 20:00:00+00:00,240.0,-14.720422159161899,signal,
2020-08-01 08:00:00+00:00,long,10138.243326290967,confirmed_breakout_long,0.9334493798020072,breakout_follow,breakout,2020-08-01 12:00:00+00:00,240.0,-1.3256294599414105,signal,
2020-08-05 16:01:00+00:00,long,10136.917696831026,confirmed_breakout_long,0.9252510593394316,breakout_follow,breakout,2020-08-05 20:00:00+00:00,239.0,-10.986330096500751,signal,
2020-08-06 16:00:00+00:00,long,10125.931366734525,confirmed_breakout_long,0.6763678823723747,breakout_follow,breakout,2020-08-06 20:00:00+00:00,240.0,9.283526851846545,signal,
2020-08-10 04:01:00+00:00,long,10135.214893586372,confirmed_breakout_long,0.8338512966468532,breakout_follow,breakout,2020-08-10 08:00:00+00:00,239.0,-54.1812648610794,signal,
2020-08-17 20:02:00+00:00,long,10081.033628725292,confirmed_breakout_long,0.7597370488026782,breakout_follow,breakout,2020-08-18 00:00:00+00:00,238.0,-45.24481041090985,signal,
