year,long_bar_ratio,avg_long_signal,max_long_signal,drawdown_brake_bar_ratio,drawdown_brake_long_ratio,avg_drawdown_scale_on_long,variant
2020,0.23451730418943534,1.5349674706345742,6.0,0.22586520947176686,0.03495145631067961,0.9720388349514564,baseline
2023,0.22968036529680366,2.3346128983049512,6.0,0.13881278538812786,0.011928429423459244,0.9904572564612326,baseline
2020,0.23451730418943534,1.5349674706345742,6.0,0.22586520947176686,0.03495145631067961,0.9720388349514564,no_governor
2023,0.22968036529680366,2.3346128983049512,6.0,0.13881278538812786,0.011928429423459244,0.9904572564612326,no_governor
2020,0.23451730418943534,1.5657996280869784,6.0,0.0,0.0,1.0,no_price_drawdown
2023,0.22968036529680366,2.3687197506700066,6.0,0.0,0.0,1.0,no_price_drawdown
2020,0.23451730418943534,1.5657996280869784,6.0,0.0,0.0,1.0,no_governor_no_price_drawdown
2023,0.22968036529680366,2.3687197506700066,6.0,0.0,0.0,1.0,no_governor_no_price_drawdown
